,teryt_code,eligible_voters,issued_ballots,PATRIOTYCZNY,PPP,LPR,PD,SD,PIS,SLD,PO,PPN,PSL,CENTRUM,PKM,OKO,GIP,SAMOOBRONA,IRP,DO,NOP,SPRACY,SR,MN,MNS
159,T_1412,108782,45287,691,274,4200,483,972,11697,2900,12024,368,4247,0,643,91,0,4796,45,229,0,0,0,0,0
160,T_1415,64423,22518,594,109,3077,371,164,5051,861,1508,84,4904,0,186,58,0,4344,45,102,0,0,0,0,0
161,T_1416,59807,24002,310,61,5283,162,375,5520,1432,2256,54,3286,0,191,26,0,3911,72,159,0,0,0,0,0
162,T_1424,39556,16989,113,61,743,207,189,5728,672,1054,42,5160,0,162,24,0,1989,21,40,0,0,0,0,0
163,T_1426,61624,26636,290,125,2760,155,544,4366,821,1631,179,4251,0,203,30,0,9884,337,122,0,0,0,0,0
164,T_1429,47035,21828,307,92,3274,86,249,4044,991,1399,183,4660,0,195,35,0,5406,89,41,0,0,0,0,0
165,T_1433,54549,22601,244,115,2682,119,211,4737,1123,1668,89,5458,0,165,38,0,4756,49,58,0,0,0,0,0
166,T_1435,55116,21614,227,103,1671,159,255,5047,3261,2328,83,4012,0,247,24,0,2952,102,281,0,0,0,0,0
167,T_1461,42909,18186,417,67,1561,482,400,8278,1643,2376,128,839,0,220,20,0,1122,18,91,0,0,0,0,0
168,T_1464,60008,28078,289,182,2940,483,1451,7911,3007,5109,173,1428,0,547,34,0,3698,127,103,0,0,0,0,0
169,T_1465,1343728,745362,7571,3899,41435,34987,47880,217087,85335,237732,1572,6807,711,19552,388,448,17348,187,909,391,0,0,0,0
170,T_1499,49840,35679,480,173,2941,2275,1481,10066,2142,13249,143,291,47,900,31,25,423,18,38,38,0,0,0,0
171,T_1405,61401,26181,503,109,1793,655,578,7125,1854,7742,67,2682,0,557,39,0,1767,0,61,0,0,0,0,0
172,T_1408,73886,32209,646,170,2339,1229,1904,9243,3001,8954,74,803,0,582,81,0,2206,0,108,0,0,0,0,0
173,T_1414,59688,21687,392,166,1280,290,1090,5744,2242,4431,47,1735,0,365,67,0,2861,0,67,0,0,0,0,0
174,T_1417,89075,41927,1188,247,3327,851,805,14931,2827,10054,93,2444,0,924,225,0,2904,0,80,0,0,0,0,0
175,T_1418,106556,48805,895,183,2360,1249,1259,14043,3479,15750,109,4186,0,889,60,0,2871,0,101,0,0,0,0,0
176,T_1421,113381,55672,1236,223,3421,1463,1519,18603,3769,18016,148,1532,0,1244,106,0,2840,0,186,0,0,0,0,0
177,T_1432,74810,33443,760,167,2065,817,818,11433,1981,9891,98,1175,0,738,38,0,2501,0,129,0,0,0,0,0
178,T_1434,150526,66182,2710,359,6691,993,1472,23410,3608,14282,187,2769,0,1222,91,0,5326,0,1255,0,0,0,0,0
179,T_1601,73183,25898,316,167,2515,442,908,6035,2491,5635,53,1762,0,423,0,0,3973,0,0,100,0,0,133,0
180,T_1602,40152,13743,183,107,1327,258,336,3165,1103,2330,71,1605,0,159,0,0,2168,0,0,30,0,0,259,0
181,T_1603,81128,26451,398,167,1538,697,671,5268,3883,6119,61,312,0,465,0,0,1502,0,0,39,0,0,4285,0
182,T_1604,55672,18170,187,102,908,235,406,5614,1756,2839,52,1675,0,181,0,0,1856,0,0,40,0,0,1596,0
183,T_1605,54032,14199,141,61,666,361,350,2000,879,3144,41,106,0,197,0,0,744,0,0,13,0,0,4847,0
184,T_1606,34542,13694,167,100,848,171,289,3347,1946,1831,39,2389,0,155,0,0,1571,0,0,25,0,0,163,0
185,T_1607,118239,42509,450,408,3932,1527,990,8851,3672,10647,115,1808,0,657,0,0,7156,0,0,50,0,0,480,0
186,T_1608,54667,16392,146,117,902,625,403,2036,1274,3216,49,1077,0,159,0,0,2417,0,0,35,0,0,3124,0
187,T_1609,106458,29404,369,140,1385,608,581,4160,1779,6743,85,725,0,469,0,0,2003,0,0,53,0,0,8850,0
188,T_1610,47675,16266,412,93,1111,283,452,3425,1415,3341,44,427,0,268,0,0,2121,0,0,26,0,0,2212,0
189,T_1611,65178,18592,177,132,885,380,386,2571,1394,3162,36,283,0,214,0,0,1258,0,0,37,0,0,6798,0
190,T_1661,99788,42741,395,266,2187,2126,1710,8307,6126,15676,95,609,0,959,0,0,1475,0,0,58,0,0,1722,0
191,T_1801,17763,6212,35,32,457,105,193,1620,624,1982,49,237,28,41,0,0,592,0,13,0,0,0,0,0
192,T_1802,50415,19718,186,51,2936,237,227,7401,667,1988,44,2138,125,147,0,0,2772,0,46,0,0,0,0,0
193,T_1804,94671,42961,289,170,4806,199,494,13560,2585,6414,78,6630,177,303,0,0,5564,0,215,0,0,0,0,0
194,T_1805,90738,36544,308,291,4126,217,510,16099,2022,4267,126,2596,35,337,0,0,4236,0,109,0,0,0,0,0
195,T_1807,84926,34580,257,179,6338,260,864,11602,1975,4601,82,2471,62,466,0,0,4140,0,75,0,0,0,0,0
196,T_1809,45466,18813,102,93,1825,76,355,5217,1610,1567,34,3887,185,116,0,0,2763,0,173,0,0,0,0,0
197,T_1813,55281,21896,142,99,2847,631,464,5269,4101,2608,48,1537,182,135,0,0,2686,0,93,0,0,0,0,0
198,T_1814,60977,25867,139,80,3770,130,1345,8506,1307,2096,46,3351,76,251,0,0,3525,0,196,0,0,0,0,0
199,T_1817,74824,28120,141,146,5164,244,548,6800,3465,4993,51,2079,37,304,0,0,3072,0,53,0,0,0,0,0
