,teryt_code,eligible_voters,issued_ballots,Nawrocki,Trzaskowski
314,T_2810,37327,23897,11259,12436
315,T_2811,23750,14949,8898,5916
316,T_2812,31826,20433,12545,7717
317,T_2813,23700,13778,7824,5858
318,T_2814,99163,65788,28893,36300
319,T_2815,75545,47527,22083,25088
320,T_2816,41385,25403,15091,10107
321,T_2817,52795,33803,18280,15237
322,T_2818,18712,10841,5524,5271
323,T_2819,16667,10302,4732,5508
324,T_2861,81831,56446,22593,33353
325,T_2862,126177,94490,34128,59509
326,T_3001,34493,23239,9439,13570
327,T_3002,63012,41595,19153,22100
328,T_3003,107295,74900,35025,39193
329,T_3004,55864,37030,22162,14544
330,T_3005,38452,25807,13753,11826
331,T_3006,52724,36112,20059,15665
332,T_3007,63685,43998,29125,14522
333,T_3008,42207,29261,15527,13469
334,T_3009,63430,42705,28599,13773
335,T_3010,99705,68599,46299,21738
336,T_3011,58964,40956,20033,20539
337,T_3012,56413,37975,21410,16203
338,T_3013,45492,31297,16244,14715
339,T_3014,27682,17891,7727,9976
340,T_3015,56393,39099,16954,21736
341,T_3016,43423,29784,12541,16965
342,T_3017,120186,84352,43262,40407
343,T_3018,41707,28441,15821,12363
344,T_3019,96456,65859,28961,36385
345,T_3020,47131,31866,18046,13513
346,T_3021,323518,255986,82399,171070
347,T_3022,45058,29527,15307,13917
348,T_3023,44818,30160,17516,12379
349,T_3024,70457,49382,20412,28483
350,T_3025,45138,31622,15137,16127
351,T_3026,45738,31298,14961,16038
352,T_3027,62206,43264,28121,14809
353,T_3028,51793,34802,16429,18068
354,T_3029,42969,29597,14742,14554
355,T_3030,58297,41192,20746,20068
356,T_3031,50017,31289,14556,16496
357,T_3061,69761,50466,20275,29834
358,T_3062,51322,36686,17255,19151
359,T_3063,44057,31839,10908,20691
360,T_3064,413189,326832,88225,235288
361,T_3201,33225,20416,9407,10829
362,T_3202,34277,21167,10392,10593
363,T_3203,41113,25296,11601,13485
364,T_3204,61537,40470,17857,22234
365,T_3205,49551,33336,14223,18804
366,T_3206,59161,37951,18970,18667
367,T_3207,39847,27183,11162,15832
368,T_3208,71349,52891,20739,31774
369,T_3209,54099,36892,15977,20596
370,T_3210,46506,29101,13633,15240
371,T_3211,61856,46141,16082,29642
372,T_3212,28073,17973,10302,7522
373,T_3213,46192,31627,15021,16330
374,T_3214,88295,60133,27189,32463
375,T_3215,54630,34715,16672,17766
376,T_3216,33233,20687,9948,10542
377,T_3217,37313,24057,10311,13513
378,T_3218,25473,15323,7428,7761
379,T_3261,76751,55709,19859,35422
380,T_3262,280400,209014,74229,132943
381,T_3263,31972,23135,8265,14708
