,teryt_code,eligible_voters,issued_ballots,PPP,LPR,PIS,PO,PSL,SAMOOBRONA,MN,LID,PK,SPATRIOTYCZNA
366,T_3213,45797,20480,225,223,4214,8169,2115,1567,0,3320,0,0
367,T_3215,62102,29510,319,294,6434,13679,1998,1036,0,4825,0,0
368,T_3216,39369,17621,239,201,3708,6742,1976,819,0,3272,0,0
369,T_3217,43116,20677,231,196,3943,9489,1657,583,0,4040,0,0
370,T_3261,87076,53193,405,561,10900,26454,2413,1539,0,9864,0,0
371,T_3204,63565,30421,366,427,5956,14399,3370,672,0,4533,0,0
372,T_3205,48950,23005,220,256,4166,10743,3067,553,0,3296,0,0
373,T_3206,65674,30165,296,597,8128,13009,2173,798,0,4211,0,0
374,T_3207,39329,18515,202,244,3878,8900,1236,380,0,3186,0,0
375,T_3210,53691,24449,272,319,5712,10874,2165,555,0,3923,0,0
376,T_3211,50028,28258,215,247,6227,15667,1049,276,0,4079,0,0
377,T_3212,32170,14138,189,216,3623,5269,1570,543,0,2220,0,0
378,T_3214,95146,48031,465,661,11350,21768,3375,851,0,8311,0,0
379,T_3218,30498,12775,162,205,2639,5071,1308,467,0,2452,0,0
380,T_3262,324296,199203,1522,2452,49472,99970,6770,1914,0,34143,0,0
381,T_3263,34179,19307,122,209,4358,9163,752,139,0,4237,0,0
382,T_3299,54,54,0,1,14,19,4,2,0,9,0,0
