,teryt_code,eligible_voters,issued_ballots,Kaczynski,Tusk
166,T_1432,75029,44155,22920,20899
167,T_1433,54657,26987,20233,6455
168,T_1434,150855,88536,55971,31922
169,T_1435,55059,28460,20779,7460
170,T_1436,29375,13465,10606,2710
171,T_1437,32104,13218,9550,3545
172,T_1438,58882,29384,17025,12042
173,T_1461,42792,22278,13777,8283
174,T_1462,102266,55226,29523,25036
175,T_1463,180848,101698,60136,40592
176,T_1464,60166,34209,20497,13342
177,T_1465,1359912,900924,359203,531319
178,T_1499,80071,48196,21418,26378
179,T_1601,73148,34637,17920,16400
180,T_1602,40128,17674,9110,8357
181,T_1603,80890,34083,11924,21821
182,T_1604,55507,22990,10552,12242
183,T_1605,54094,19065,5323,13557
184,T_1606,34542,15992,8105,7747
185,T_1607,118093,53622,27416,25698
186,T_1608,54570,19924,8837,10859
187,T_1609,106359,38603,12183,26097
188,T_1610,47484,20133,9488,10473
189,T_1611,65081,23495,8390,14921
190,T_1661,100565,54590,17883,36108
191,T_1801,17542,7498,4461,2973
192,T_1802,50348,25916,20794,4913
193,T_1803,101898,56549,42352,13773
194,T_1804,94456,50752,38670,11684
195,T_1805,90095,47173,34990,11825
196,T_1806,46639,23899,19323,4412
197,T_1807,84591,44722,33160,11249
198,T_1808,53138,29161,23080,5886
199,T_1809,45334,22233,16118,5854
200,T_1810,59088,35638,28631,6763
201,T_1811,102971,53710,38831,14405
202,T_1812,51651,24652,18940,5530
203,T_1813,55210,27771,20917,6624
204,T_1814,60921,31825,25570,6045
205,T_1815,53825,31019,25688,5092
206,T_1816,131721,78440,60935,16954
207,T_1817,75182,35161,22470,12410
208,T_1818,87259,43196,29104,13632
209,T_1819,47486,25152,19592,5389
210,T_1820,42563,20557,14436,5927
211,T_1821,21706,10375,6518,3766
212,T_1861,38742,21077,12252,8643
213,T_1862,54030,28528,16871,11397
214,T_1863,122911,74356,41798,31782
215,T_1864,39137,19786,10871,8749
216,T_2001,46717,20979,13757,7049
217,T_2002,109518,53251,35518,17352
218,T_2003,49044,21113,13181,7714
219,T_2004,38982,15989,11274,4572
