,teryt_code,eligible_voters,issued_ballots,KE,LEWICA,POLEXIT,JEDNOSC,PIS,EC,WIOSNA,KONFEDERACJA,KUKIZ15,GWIAZDOWSKI
334,T_3009,69948,27683,7087,345,0,0,16548,0,1232,1222,942,0
335,T_3010,103276,40030,9003,510,0,0,24839,0,2051,1621,1562,0
336,T_3011,62181,24584,10007,433,0,0,10179,0,1559,1048,1034,0
337,T_3012,60338,24010,8400,461,0,0,11762,0,1175,1037,872,0
338,T_3013,43879,16565,5830,224,0,0,7426,0,1203,858,795,0
339,T_3014,29028,11428,5474,189,0,0,4062,0,723,416,410,0
340,T_3015,58058,24294,11752,306,0,0,8682,0,1289,1025,1006,0
341,T_3016,45124,18503,8523,293,0,0,6473,0,1375,889,719,0
342,T_3017,127458,55854,21195,686,0,0,25049,0,3627,2640,2161,0
343,T_3018,43893,18269,7305,175,0,0,8385,0,758,824,583,0
344,T_3019,105152,45971,19964,635,0,0,16566,0,3601,2077,2688,0
345,T_3020,49484,20042,7092,263,0,0,9821,0,1034,795,794,0
346,T_3021,291764,154366,79838,2505,0,0,41335,0,15179,7421,6924,0
347,T_3022,47649,17636,6628,272,0,0,7746,0,1234,821,693,0
348,T_3023,47620,18484,5743,340,0,0,9664,0,1036,723,763,0
349,T_3024,71696,29806,14241,398,0,0,10394,0,2072,1275,1064,0
350,T_3025,45102,18721,6506,324,0,0,7151,0,1283,2499,753,0
351,T_3026,47114,19035,7671,353,0,0,7369,0,1547,889,987,0
352,T_3027,66846,27437,6963,310,0,0,16510,0,1219,1017,1151,0
353,T_3028,53983,20728,8556,338,0,0,8196,0,1544,917,925,0
354,T_3029,44247,17705,7462,281,0,0,7019,0,953,826,922,0
355,T_3030,59890,25572,9439,392,0,0,11095,0,1719,1047,1644,0
356,T_3031,53993,19873,8101,349,0,0,7788,0,1530,913,916,0
357,T_3061,77735,38232,17477,535,0,0,13500,0,3260,1716,1515,0
358,T_3062,59218,28415,11472,366,0,0,11940,0,2168,1260,1026,0
359,T_3063,48612,22797,11695,353,0,0,6663,0,1981,1116,828,0
360,T_3064,400937,230824,124414,4533,0,0,55945,0,25129,10447,9049,0
361,T_3201,36972,12879,5849,149,0,0,4989,0,1021,440,292,0
362,T_3202,38302,12545,5458,156,0,0,5288,0,731,409,394,0
363,T_3203,46154,16530,7164,245,0,0,6544,0,1204,638,547,0
