,teryt_code,eligible_voters,issued_ballots,KE,LEWICA,POLEXIT,JEDNOSC,PIS,EC,WIOSNA,KONFEDERACJA,KUKIZ15,GWIAZDOWSKI
221,T_2005,36916,11872,5650,271,0,0,3829,0,942,547,501,0
222,T_2006,30956,10890,1734,115,0,0,7801,0,335,469,324,0
223,T_2007,41203,15540,2335,115,0,0,11450,0,316,722,448,0
224,T_2008,33498,11599,2489,113,0,0,7761,0,269,535,326,0
225,T_2009,16736,5520,2014,85,0,0,2693,0,237,238,209,0
226,T_2010,37489,13367,3645,176,0,0,7856,0,528,606,426,0
227,T_2011,55490,19968,4756,214,0,0,12553,0,621,1006,651,0
228,T_2012,29137,10619,2573,145,0,0,6441,0,345,460,559,0
229,T_2013,46625,19535,2888,173,0,0,14556,0,353,868,512,0
230,T_2014,35792,13797,3059,142,0,0,9002,0,304,702,474,0
231,T_2061,220702,109543,45508,1690,0,0,45501,0,5583,6779,3836,0
232,T_2062,48054,20063,6469,181,0,0,10851,0,774,1010,659,0
233,T_2063,53774,21706,8187,282,0,0,10134,0,1003,1047,902,0
234,T_2201,60855,23536,9288,173,0,0,10564,0,1758,809,525,167
235,T_2202,73904,31518,12474,244,0,0,14608,0,1610,1195,814,274
236,T_2203,45089,15929,6954,210,0,0,6148,0,1236,584,396,169
237,T_2204,84869,38866,21110,390,0,0,11489,0,2162,1673,1274,440
238,T_2205,98643,47326,18857,340,0,0,22247,0,1864,1716,1482,411
239,T_2206,54937,24251,9407,200,0,0,11672,0,991,799,745,204
240,T_2207,63330,23707,10704,298,0,0,9315,0,1276,920,725,210
241,T_2208,50291,21558,10318,172,0,0,7550,0,1765,835,559,146
242,T_2209,49323,19298,9804,202,0,0,6441,0,1123,732,601,209
243,T_2210,29512,12013,6078,120,0,0,4209,0,602,439,339,85
244,T_2211,67732,32218,15670,248,0,0,11518,0,1833,1297,914,421
245,T_2212,75852,28890,12794,285,0,0,10541,0,2996,943,731,276
246,T_2213,96822,39858,15200,287,0,0,19136,0,1737,1410,1206,445
247,T_2214,86605,35204,15377,362,0,0,14348,0,1846,1555,960,423
248,T_2215,157340,73742,33799,681,0,0,27071,0,4746,3480,2428,851
249,T_2216,33386,10893,4879,142,0,0,4275,0,631,365,354,110
