,teryt_code,eligible_voters,issued_ballots,PIS,PO,RAZEM,KORWIN,PSL,LEWICA,KUKIZ,NOWOCZESNA,BEZPARTYJNI,STONOGA,RSRP,ZDŚ,SAMOOBRONA,BRAUN,PRAWICA,MN,ODP
367,T_3206,65874,25885,8493,7404,861,1367,1032,1908,2296,1436,0,0,0,0,0,0,0,0,0
368,T_3207,39067,16119,4183,5498,567,621,834,1330,1276,1277,0,0,0,0,0,0,0,0,0
369,T_3208,64704,31423,8982,9372,899,974,958,3529,2790,2903,0,0,0,0,0,0,0,0,0
370,T_3209,52215,21795,5597,6033,908,1050,1248,2108,2163,1712,0,0,0,0,0,0,0,0,0
371,T_3210,52974,20432,6327,5641,671,991,1328,1704,1781,1162,0,0,0,0,0,0,0,0,0
372,T_3211,56608,30190,7636,10216,1377,1744,457,2135,2452,3511,0,0,0,0,0,0,0,0,0
373,T_3212,31945,12641,4197,2580,419,716,1610,843,1064,644,0,0,0,0,0,0,0,0,0
374,T_3213,45723,18743,5387,5313,687,1105,1094,1587,1650,1160,0,0,0,0,0,0,0,0,0
375,T_3214,94871,42387,12043,12847,1485,2300,1817,3730,3827,2761,0,0,0,0,0,0,0,0,0
376,T_3215,61965,26087,8416,7097,911,1232,735,2445,2043,2216,0,0,0,0,0,0,0,0,0
377,T_3216,38790,14925,4227,3459,593,576,725,2459,1464,823,0,0,0,0,0,0,0,0,0
378,T_3217,42362,17917,4694,5887,642,657,648,2226,1472,1039,0,0,0,0,0,0,0,0,0
379,T_3218,29783,10432,2861,2991,401,403,1060,770,768,705,0,0,0,0,0,0,0,0,0
380,T_3261,84986,46818,11323,14928,2041,2327,799,5333,4711,4482,0,0,0,0,0,0,0,0,0
381,T_3262,307750,168794,47923,54911,7665,9422,2647,13797,12866,17115,0,0,0,0,0,0,0,0,0
382,T_3263,33422,16901,4515,5089,613,734,320,2282,1575,1467,0,0,0,0,0,0,0,0,0
