,teryt_code,eligible_voters,issued_ballots,Grabowski,Ikonowicz,Kalinowski,KorwinMikke,Krzaklewski,Kwasniewski,Lepper,Lopuszanski,Olechowski,Pawlowski,Walesa,Wilecki
268,T_2461,137305,92518,685,225,1614,1697,17798,44993,1165,905,21064,76,1287,137
269,T_2462,158710,79889,384,298,828,1106,10217,49741,1071,302,14131,58,946,77
270,T_2463,96337,52307,233,186,362,795,6927,31226,586,240,10504,43,635,74
271,T_2464,198166,132609,694,406,1798,2317,19303,76177,1804,962,26178,118,1297,299
272,T_2465,104232,70183,381,271,733,1074,5231,51993,1030,253,8129,43,409,84
273,T_2466,160965,95394,522,267,1150,1792,13211,53050,1091,550,21718,91,999,122
274,T_2467,75005,47089,256,105,782,557,6314,29892,788,316,7283,49,351,53
275,T_2468,73921,48206,238,111,693,661,6362,30949,560,297,7377,50,416,69
276,T_2469,261059,164901,908,540,1569,2886,24716,88676,1803,787,39084,133,2124,182
277,T_2470,57981,36179,186,88,442,526,5419,21213,491,180,6838,32,397,53
278,T_2471,48463,27230,159,87,195,384,5646,14160,353,157,5268,22,383,35
279,T_2472,117365,67738,363,162,659,796,9930,40786,789,223,12280,78,835,87
280,T_2473,107188,65364,297,156,809,860,9937,36322,946,323,14042,47,905,81
281,T_2474,59777,34323,152,101,266,532,4311,20817,418,149,6711,23,455,64
282,T_2475,189565,127513,525,532,1328,1895,10761,93316,1527,448,15254,119,757,141
283,T_2476,45220,23383,101,74,160,341,3103,14509,287,98,4169,20,285,25
284,T_2477,103724,67251,386,171,877,1093,10578,37658,901,475,13679,62,770,116
285,T_2478,153647,74589,353,239,846,1188,8737,47661,1123,282,12506,47,857,88
286,T_2479,48403,30578,143,63,468,354,3560,19444,528,136,5365,14,233,35
287,T_2601,61049,34792,106,51,6016,257,2912,19726,2015,132,2876,21,188,38
288,T_2602,70883,41890,206,124,6472,335,2975,26038,1974,311,2672,25,186,75
289,T_2603,29671,15297,35,18,4005,90,1114,7714,1153,35,803,8,86,17
290,T_2604,140832,75306,376,160,8646,638,9378,42730,3871,814,6723,77,516,141
291,T_2605,68867,38796,255,153,2586,492,5299,22526,1633,363,4407,63,349,83
292,T_2606,46036,24299,83,47,4711,189,1679,14323,1490,115,1219,15,98,21
293,T_2607,94426,56530,304,181,3413,646,4167,38995,2040,415,5405,68,328,63
294,T_2608,34385,19586,47,68,2783,125,1228,12583,1092,67,1230,18,78,31
295,T_2609,64566,37183,136,61,7837,318,4132,18600,1712,213,3362,41,209,46
296,T_2610,64591,39405,343,117,1308,685,5093,23466,716,437,6457,58,288,70
297,T_2611,76429,46053,303,162,3049,510,4807,28822,1377,414,5617,49,342,83
298,T_2612,57395,30804,113,56,4271,220,3108,17123,1762,168,3299,33,175,36
299,T_2613,36757,22291,98,45,2882,186,2224,13313,1288,157,1612,19,128,32
300,T_2661,163320,111639,820,367,2465,2113,14155,69112,1342,1315,17914,136,887,160
301,T_2801,49116,27602,90,25,1496,209,2448,18757,1345,84,2698,24,151,24
302,T_2802,33953,19010,64,45,899,201,1523,13002,697,98,2141,9,119,11
303,T_2803,48884,29793,122,43,2010,178,3038,19811,912,166,2885,23,256,41
