,teryt_code,eligible_voters,issued_ballots,Grabowski,Ikonowicz,Kalinowski,KorwinMikke,Krzaklewski,Kwasniewski,Lepper,Lopuszanski,Olechowski,Pawlowski,Walesa,Wilecki
130,T_1218,113990,72149,408,109,3310,681,14802,33033,1825,553,15372,51,882,105
131,T_1219,73327,43148,153,71,1927,792,9106,16822,958,473,11523,43,551,61
132,T_1261,572723,379768,1742,817,5007,10753,76961,147735,3092,3799,120227,308,5053,536
133,T_1262,62104,40984,251,62,757,754,9617,17302,480,413,10120,50,708,62
134,T_1263,92699,58828,238,88,950,1343,11273,26557,646,712,15631,38,673,63
135,T_1401,24920,12881,43,20,3435,147,1651,4849,814,96,1467,15,121,17
136,T_1402,69713,40819,172,93,3947,381,3992,24969,1175,208,5076,30,282,55
137,T_1403,78258,44649,177,74,9716,411,6854,17111,2558,438,6094,71,426,79
138,T_1404,36806,20471,107,37,3450,154,2054,11324,1016,75,1800,34,128,33
139,T_1405,55977,32437,161,75,1459,493,4679,15915,546,472,7827,38,389,55
140,T_1406,83099,47290,244,85,10282,383,5531,21352,2815,434,5200,47,319,59
141,T_1407,49078,26722,160,53,4111,336,3025,12771,1698,277,3655,31,200,68
142,T_1408,67191,41220,223,76,1552,683,6889,20245,681,546,9360,44,430,59
143,T_1409,30688,16459,37,38,4369,138,1112,8026,1336,113,926,20,70,28
144,T_1410,26153,15913,55,29,4542,119,2048,6291,1309,147,1029,11,108,25
145,T_1411,36747,20752,66,31,4888,116,3006,9477,883,164,1635,17,100,27
146,T_1412,113950,66186,332,101,4501,988,12444,29320,1914,1075,13596,100,736,136
147,T_1413,56159,32287,136,52,4033,227,3321,19555,1043,130,3133,32,237,36
148,T_1414,56182,31672,125,66,1831,402,4404,18162,776,298,4857,37,265,56
149,T_1415,60528,32022,95,61,7893,195,6903,11575,1903,258,2160,25,263,58
150,T_1416,58144,32253,135,43,6791,265,6601,12495,1435,399,3285,33,222,84
151,T_1417,84217,52786,339,101,4118,1163,11723,18807,1079,863,13070,123,659,87
152,T_1418,85118,51370,247,93,2507,895,8986,22709,862,509,13228,71,572,64
153,T_1419,77715,40313,138,55,6676,238,3883,23032,2067,136,3138,30,292,36
154,T_1420,68168,34563,128,60,4548,273,3892,19381,1595,191,3707,36,236,53
155,T_1421,106385,67030,363,173,1786,1478,13497,27265,966,795,18857,103,901,85
156,T_1422,41135,22776,85,40,4011,205,3521,11414,938,149,1850,22,189,23
157,T_1423,35041,19577,158,41,3790,156,3016,7691,1899,371,1736,24,228,51
158,T_1424,37890,21388,74,53,4969,240,2526,10223,615,114,2151,19,100,27
159,T_1425,102988,54028,355,120,8224,598,7258,24255,3436,757,7418,69,524,142
160,T_1426,59350,34163,139,73,9292,234,4369,12318,3808,450,2579,38,262,45
161,T_1427,41252,22424,88,33,3245,133,2365,12898,1017,156,2027,21,149,22
162,T_1428,63023,34435,160,60,3820,349,4316,18170,1000,252,5376,34,313,55
163,T_1429,46531,28879,174,62,8272,237,4172,10580,1900,240,2505,36,214,41
164,T_1430,30973,16029,79,39,1769,175,2541,8203,747,249,1736,21,136,44
165,T_1431,1296891,875870,4963,2472,12764,21592,166293,384611,6141,10133,245786,1305,10961,1307
166,T_1432,66846,39125,239,69,1681,729,7134,16990,803,512,9822,60,498,53
167,T_1433,53072,29155,163,42,4861,232,5265,12089,2180,425,3075,38,241,38
168,T_1434,138075,79582,392,171,4509,1434,19041,29199,1718,1382,19270,84,993,162
169,T_1435,52109,29595,106,35,6502,297,4617,12448,839,326,3621,25,269,47
170,T_1436,28748,15064,73,24,3724,119,1450,6940,1063,141,1204,4,87,15
171,T_1437,31484,17600,45,23,3300,76,1938,9931,701,45,1220,12,102,12
172,T_1438,57392,32555,174,62,1632,415,4109,18468,777,451,5662,40,303,49
173,T_1461,40675,25586,178,40,1696,383,4864,13140,402,248,4144,35,187,54
174,T_1462,98989,64584,355,229,1454,952,7860,40684,922,366,10485,58,596,84
175,T_1463,175311,107586,941,408,3128,2180,17413,53299,2185,2057,23165,137,1228,332
176,T_1464,55868,36966,294,117,2017,656,5063,19836,705,733,6630,73,431,90
177,T_1499,69625,57711,124,66,961,765,21469,17912,303,1161,13027,47,1193,137
178,T_1601,70946,41876,215,78,1883,554,6440,23419,1393,214,6737,32,366,52
179,T_1602,39262,20802,66,43,1054,189,3195,11270,1164,92,3133,21,239,36
180,T_1603,81126,39701,178,84,830,880,5525,21773,1061,327,7700,52,703,41
181,T_1604,54123,28178,156,53,1266,321,4351,14917,981,233,5103,22,405,24
182,T_1605,54125,20515,93,38,527,308,2511,11296,587,123,4138,7,552,26
183,T_1606,32948,19791,90,31,1650,154,2803,10721,780,108,2934,17,202,45
184,T_1607,114277,68633,346,105,3069,873,11405,37935,2078,271,11314,45,442,79
185,T_1608,53587,25665,109,61,1322,216,3043,15047,1313,72,3785,20,308,25
186,T_1609,103502,41632,212,63,1220,592,6605,20605,1376,212,8674,36,1205,41
187,T_1610,47256,23621,118,51,1177,360,3748,11878,1159,107,4214,29,444,25
188,T_1611,63864,25741,117,53,638,355,4234,13067,781,157,5142,33,686,30
189,T_1661,97304,60379,263,108,652,1306,7730,33445,535,354,14671,43,745,57
190,T_1801,37012,20805,111,29,1056,293,3820,11363,674,98,2770,17,221,57
191,T_1802,48195,27789,235,45,2884,274,8556,9464,1572,233,3704,39,311,61
192,T_1803,95311,58835,340,96,6539,744,13585,21036,3129,1050,10438,61,800,121
193,T_1804,89865,55395,350,75,7686,524,14959,20410,2592,431,7010,54,528,66
