,teryt_code,eligible_voters,issued_ballots,Jurek,Kaczynski,Komorowski,KorwinMikke,Lepper,Morawiecki,Napieralski,Olechowski,Pawlak,Zietek
371,T_3212,32255,14894,72,4536,5987,236,436,15,2873,195,373,38
372,T_3213,48907,24241,182,6027,11892,436,974,27,3902,306,320,31
373,T_3214,95594,48236,285,12225,23526,1067,762,51,8696,632,574,71
374,T_3215,62630,30112,210,7121,15485,708,619,29,5043,336,315,47
375,T_3216,39688,18252,132,4549,8612,334,454,22,3479,189,304,30
376,T_3217,43333,20948,159,4325,11199,500,354,26,3620,290,338,23
377,T_3218,30530,12948,55,2939,6221,265,377,28,2593,136,210,28
378,T_3261,87300,52376,316,11791,28543,1275,563,69,8360,760,316,59
379,T_3262,318492,189018,1378,50755,90478,5852,1123,227,32954,3534,1011,256
380,T_3263,35234,20095,100,4964,10412,436,109,24,3508,292,109,22
