,teryt_code,eligible_voters,issued_ballots,Jurek,Kaczynski,Komorowski,KorwinMikke,Lepper,Morawiecki,Napieralski,Olechowski,Pawlak,Zietek
84,T_0809,72916,37239,337,8102,20090,876,533,44,5939,523,483,52
85,T_0810,65696,30824,212,8195,14588,633,512,61,5473,377,449,75
86,T_0811,79155,37795,308,9439,19105,834,526,37,6285,491,370,72
87,T_0812,30782,15368,128,4870,6717,305,287,17,2407,252,269,18
88,T_0861,99462,54937,646,14467,27534,1446,413,64,8835,733,339,84
89,T_0862,93140,56907,473,12938,31514,1495,251,55,8507,901,341,91
90,T_1001,91367,52112,491,28180,11403,1392,726,56,7906,593,787,104
91,T_1002,84719,42494,252,17555,12878,724,1049,37,7242,409,1928,89
92,T_1003,41366,21289,154,9343,6034,535,428,16,3677,193,709,34
93,T_1004,44057,21665,135,9798,5838,294,906,19,3315,169,965,50
94,T_1005,66818,34324,364,15658,9002,775,654,46,5003,350,2134,61
95,T_1006,53681,31315,255,13328,10784,852,438,31,4203,472,659,58
96,T_1007,63411,35528,573,20375,6527,641,814,29,4732,298,1142,69
97,T_1008,97598,56949,331,19845,23281,1718,531,70,9043,874,764,114
98,T_1009,43035,21758,119,11525,4611,370,553,33,3613,216,497,44
99,T_1010,72108,38204,376,22069,7129,549,1018,32,4927,313,1377,56
100,T_1011,34708,17363,79,7473,4346,254,717,24,3266,185,849,26
101,T_1012,95386,47521,315,21334,13114,937,865,62,8668,425,1290,96
102,T_1013,40338,20311,261,10626,4461,378,613,20,2732,162,855,32
103,T_1014,97926,50927,348,22691,13580,1012,1409,63,8773,558,2028,92
104,T_1015,30531,16348,193,8890,2886,287,595,13,2293,161,836,34
105,T_1016,97627,54970,560,25040,16503,988,794,69,8514,694,1293,86
106,T_1017,63579,33059,242,13850,9840,696,713,38,5741,336,1294,66
107,T_1018,33871,17370,133,6984,5008,341,477,72,3111,181,906,31
108,T_1019,54352,28929,212,11892,9889,707,345,42,4722,380,508,66
109,T_1020,132168,73804,466,27040,29625,1772,864,95,11155,1075,1067,130
110,T_1021,24925,13212,139,6192,3573,285,317,12,1970,155,463,16
111,T_1061,597276,360258,2124,101310,178964,11273,1913,460,52295,6616,2019,573
112,T_1062,63143,36759,396,14457,13435,975,314,39,5972,504,326,52
113,T_1063,39157,23410,449,8037,9267,737,171,29,3891,382,246,45
114,T_1201,79897,45702,800,25114,11931,1037,505,47,4320,575,1049,62
115,T_1202,71373,38721,954,21624,9913,909,425,25,3332,410,819,46
116,T_1203,104122,58823,573,19453,24410,1790,502,71,10099,833,533,146
117,T_1204,47119,23002,313,14508,4120,364,418,24,2068,159,849,30
118,T_1205,86309,45633,631,23760,12731,946,708,51,5134,465,824,82
119,T_1206,199347,110837,1162,48823,38630,3621,1072,104,12767,1703,2013,132
120,T_1207,94278,54814,1082,36414,10168,840,524,46,3758,499,1030,54
121,T_1208,41300,18445,123,7928,4519,420,563,17,3494,192,1005,47
122,T_1209,92151,53202,974,28874,14736,1486,487,47,4593,720,811,59
123,T_1210,155546,92779,1694,59995,19024,1674,879,71,6196,852,1681,75
124,T_1211,144575,76168,1060,42372,22749,1636,825,66,5026,821,904,87
125,T_1212,93722,51773,438,20313,17299,1536,658,68,9573,643,689,99
126,T_1213,124444,72589,772,27833,28700,1844,537,87,10373,978,791,189
127,T_1214,35119,15391,83,7376,3353,303,442,14,2349,108,1233,23
128,T_1215,65379,35872,387,19316,10577,762,384,38,3180,351,539,55
129,T_1216,151678,80008,1433,47574,17788,1455,1079,100,7029,794,2167,113
130,T_1217,55820,32089,349,16456,11478,639,209,25,1964,439,291,34
131,T_1218,123830,70157,923,31399,25094,1445,690,84,7944,883,1051,107
132,T_1219,86198,47994,514,20508,18094,1615,361,58,4975,812,656,56
133,T_1261,598591,381506,4713,122672,184539,17154,1088,453,37947,7831,2369,449
134,T_1262,66929,41319,639,19287,14831,1251,186,42,3969,555,303,36
135,T_1263,94798,54254,802,20949,22405,1796,279,51,6364,894,393,76
