,teryt_code,eligible_voters,issued_ballots,SOLIDARNA,RN,SLDUP,PIS,EPTR,GOWIN,NP,PO,PSL,DB,SAMOOBRONA,ZIELONI
337,T_3012,61396,12179,568,87,1414,2669,341,214,637,2313,3380,0,0,0
338,T_3013,42040,6993,223,88,944,1645,255,188,538,1719,1009,0,0,0
339,T_3014,29199,4866,164,63,967,911,232,119,275,1402,452,0,0,0
340,T_3015,57979,11431,399,136,1179,2584,484,233,694,3863,1241,0,0,0
341,T_3016,45531,9223,387,199,1035,1833,807,193,491,2801,996,0,0,0
342,T_3017,129619,27670,2467,235,2314,6866,1015,509,1798,6635,4696,0,0,0
343,T_3018,43839,9862,631,64,660,1476,293,159,540,1116,4480,0,0,0
344,T_3019,108274,24202,679,312,2901,6100,1406,920,1726,7606,1486,0,0,0
345,T_3020,50046,8599,391,117,821,2098,293,143,553,1903,1850,0,0,0
346,T_3021,267608,72307,1600,786,7703,14134,3518,2259,5161,31080,3565,0,0,0
347,T_3022,48304,8294,288,117,1440,1726,397,144,580,1896,1267,0,0,0
348,T_3023,48003,8541,310,96,977,2197,373,183,487,1498,1950,0,0,0
349,T_3024,71559,13465,367,176,2034,2930,606,410,766,4343,1123,0,0,0
350,T_3025,44737,8658,210,106,1083,2009,392,165,775,2212,1258,0,0,0
351,T_3026,47507,9483,338,109,1312,2245,445,222,653,2742,956,0,0,0
352,T_3027,67660,12212,490,170,1258,4500,467,311,832,2213,1404,0,0,0
353,T_3028,54272,9778,370,149,1404,2079,438,218,582,2739,1289,0,0,0
354,T_3029,44273,8254,297,143,893,1931,330,211,631,2335,1055,0,0,0
355,T_3030,60160,11671,363,173,1738,2902,525,261,858,3254,1088,0,0,0
356,T_3031,55280,10049,394,125,1153,2453,421,237,691,3120,928,0,0,0
357,T_3061,82953,21765,798,209,2855,5698,1232,433,1457,7169,1275,0,0,0
358,T_3062,62760,15548,541,147,2106,4343,885,389,1024,4953,629,0,0,0
359,T_3063,50449,12378,307,130,2521,2518,555,368,894,4120,483,0,0,0
360,T_3064,420931,137703,2752,1357,16514,28913,7907,4540,9524,59669,2861,0,0,0
361,T_3201,38640,5940,127,96,876,1601,166,132,330,2056,239,0,0,60
362,T_3202,40219,5649,160,62,760,1311,169,123,352,1642,793,0,0,49
363,T_3203,47364,7315,196,91,1049,1872,219,161,422,2483,421,0,0,58
364,T_3204,65570,11564,241,102,1642,2400,286,375,815,4012,1106,0,0,90
365,T_3205,49605,8725,200,98,1181,1944,232,241,448,3249,695,0,0,64
366,T_3206,66243,10878,734,128,1389,2917,284,228,909,3313,450,0,0,77
367,T_3207,39451,7677,189,107,1039,1599,298,223,511,2961,377,0,0,85
368,T_3208,64004,14841,217,137,1792,4501,518,209,726,5492,434,0,0,307
369,T_3209,52268,9237,259,137,1037,2139,279,262,654,3429,512,0,0,99
370,T_3210,53541,8623,272,97,1036,2369,199,223,510,2913,594,0,0,74
371,T_3211,56131,13966,241,154,1544,2975,497,504,1159,5982,303,0,0,170
372,T_3212,32236,5022,301,69,640,1376,98,171,239,1282,570,0,0,34
373,T_3213,46085,7825,158,83,825,1811,224,137,546,2530,1094,0,0,46
374,T_3214,95597,18910,460,207,2469,4842,490,534,1194,7175,661,0,0,187
375,T_3215,62709,11674,221,133,1601,3218,257,189,1035,3900,553,0,0,87
376,T_3216,39164,6444,144,96,1501,1631,177,139,354,1634,373,0,0,77
377,T_3217,42873,7206,217,80,1295,1587,188,166,440,2451,432,0,0,58
378,T_3218,30046,4026,121,37,470,1015,114,120,237,1355,294,0,0,30
379,T_3261,86561,24157,357,198,3856,5446,746,463,1456,10254,397,0,0,215
380,T_3262,311358,87797,1782,997,10799,21666,2650,2373,6129,36532,1761,0,0,954
381,T_3263,33303,7904,143,129,1450,1817,223,138,423,3104,161,0,0,114
