,teryt_code,eligible_voters,issued_ballots,SOLIDARNA,RN,SLDUP,PIS,EPTR,GOWIN,NP,PO,PSL,DB,SAMOOBRONA,ZIELONI
76,T_0664,54263,13431,302,290,1093,5660,694,374,907,2526,1167,61,0,0
77,T_0801,54341,9566,205,132,1339,2566,296,202,670,3103,630,0,0,59
78,T_0802,45082,7037,141,83,1042,1497,242,170,383,2185,920,0,0,51
79,T_0803,47613,8445,225,156,1804,1788,233,155,515,2489,552,0,0,67
80,T_0804,69279,12309,304,242,1777,3459,314,242,823,4033,591,0,0,84
81,T_0805,36968,6003,158,86,923,1353,201,117,410,2044,349,0,0,71
82,T_0806,40219,5738,134,80,744,1442,163,85,338,1808,632,0,0,40
83,T_0807,28566,4670,116,93,813,1220,107,84,305,1280,396,0,0,36
84,T_0808,44516,8120,155,129,1181,2106,191,137,611,2620,662,0,0,58
85,T_0809,75108,14258,291,228,2315,3065,416,311,1069,4843,1023,0,0,121
86,T_0810,65215,10540,268,169,1645,2690,367,176,658,3439,660,0,0,73
87,T_0811,78902,13632,294,159,2311,3408,427,329,1032,4208,741,0,0,121
88,T_0812,31040,4847,110,88,469,1608,112,98,365,1382,382,0,0,31
89,T_0861,98299,23371,295,373,3872,6630,762,529,1662,7889,539,0,0,140
90,T_0862,92670,27401,334,261,4861,6103,769,601,1623,10507,1511,0,0,214
91,T_1001,91831,20648,544,469,2030,9239,299,383,1566,4160,920,106,60,110
92,T_1002,83286,15569,1420,206,1242,5996,282,221,838,3567,958,95,36,62
93,T_1003,41446,8366,176,66,604,3627,157,204,553,1904,621,59,30,69
94,T_1004,43529,7542,248,62,506,3119,325,182,359,1480,824,47,33,37
95,T_1005,65994,13583,304,181,806,5377,194,482,1057,2402,2090,80,32,59
96,T_1006,55522,14855,356,155,808,6315,285,358,952,4536,549,70,18,89
97,T_1007,63128,14788,513,131,660,7739,389,207,664,1577,2226,41,14,45
98,T_1008,97202,24508,590,332,1783,8634,643,605,1593,8456,779,177,42,223
99,T_1009,42956,7244,205,75,546,3440,163,105,495,1019,784,43,43,33
100,T_1010,73131,14406,503,176,1050,7394,168,228,716,1800,1674,74,37,67
101,T_1011,34642,6776,138,63,403,2945,116,260,301,1291,871,23,42,23
102,T_1012,94997,17669,862,381,1405,7547,340,236,958,3590,1423,119,35,67
103,T_1013,40244,8495,127,116,344,4140,88,117,430,1226,1463,36,43,27
104,T_1014,98051,20067,507,264,1787,7717,413,364,1303,4589,2043,97,96,97
105,T_1015,30653,6263,103,53,188,3418,67,81,390,565,1098,29,14,23
106,T_1016,96429,21980,397,188,1358,9842,763,409,1080,4926,2008,104,106,86
107,T_1017,63272,13870,250,112,849,5657,258,234,808,2366,2501,77,130,43
108,T_1018,34125,6857,183,69,450,2428,125,109,373,1085,1620,35,49,32
109,T_1019,54336,11254,269,118,972,4386,237,296,687,3195,576,73,15,78
110,T_1020,132745,30536,635,359,2221,10475,703,715,1911,11026,1088,196,50,247
111,T_1021,24994,5356,114,55,255,2420,85,80,312,1070,738,25,7,25
112,T_1061,572680,167801,2429,1876,12453,46614,4995,4910,10175,76134,1787,1072,250,1515
113,T_1062,61824,14750,229,121,1924,5669,264,293,856,4373,456,64,18,75
114,T_1063,39013,9877,176,108,700,3516,238,253,825,3137,518,104,12,45
115,T_1201,82048,19942,2178,251,768,8298,310,1387,1575,3224,1123,81,0,0
116,T_1202,73230,17971,1951,309,605,7712,290,1091,1455,2749,1056,68,0,0
117,T_1203,103533,23141,1269,295,2270,6491,1231,1166,1860,7017,547,133,0,0
118,T_1204,47969,9347,1228,76,325,3712,117,822,668,912,1094,38,0,0
119,T_1205,87623,20644,2736,348,1188,8786,320,843,1322,3162,944,82,0,0
120,T_1206,208684,50499,3927,542,2191,16394,1433,3899,4588,12897,2686,223,0,0
121,T_1207,97390,25676,3060,300,492,10574,216,4603,1550,2314,1412,73,0,0
122,T_1208,40980,7638,671,113,670,2182,191,476,641,1082,1281,41,0,0
123,T_1209,95882,24031,2561,222,736,9933,325,1699,2039,4867,694,108,0,0
124,T_1210,161227,42852,8195,565,1038,19157,435,2020,2853,4870,1860,145,0,0
125,T_1211,148265,33303,6061,422,867,13345,521,1614,2507,5703,880,107,0,0
126,T_1212,93135,21843,1668,262,2961,6306,625,1099,1837,5510,628,95,0,0
127,T_1213,125133,30627,2244,302,2612,9041,926,1472,2033,8946,1724,165,0,0
128,T_1214,35381,5871,623,73,287,1781,156,247,393,749,1319,15,0,0
129,T_1215,66429,14618,1517,180,535,6069,263,807,1149,2597,719,88,0,0
130,T_1216,157172,35154,4177,441,1031,15010,447,3043,2515,4195,2630,149,0,0
131,T_1217,53904,13274,1403,178,372,5203,262,691,830,3734,245,41,0,0
132,T_1218,125894,27537,2329,488,1556,10044,863,1474,1844,6576,1208,131,0,0
133,T_1219,91183,23603,2155,260,818,7041,526,2109,2208,6539,1100,102,0,0
134,T_1261,589845,236988,12597,2370,15839,58916,11075,15428,20890,86605,3542,1840,0,0
135,T_1262,66797,20027,2535,308,1203,7133,441,1011,1546,4916,361,65,0,0
136,T_1263,92870,25457,1730,411,2215,8223,707,1713,2059,7041,574,109,0,0
137,T_1401,27174,4586,108,54,214,2153,68,68,287,729,693,0,0,0
138,T_1402,73500,13595,404,266,1027,4773,308,229,934,2817,2384,0,0,0
139,T_1403,85805,17433,633,372,724,8432,380,377,1107,2346,2517,0,0,0
140,T_1404,38066,6538,156,75,438,2449,184,130,324,1168,1337,0,0,0
141,T_1405,68443,20370,399,318,1024,5296,797,709,1267,6118,3800,0,0,148
142,T_1406,79511,16020,540,224,889,5902,342,288,1037,2515,3768,0,0,0
143,T_1407,51714,9559,340,168,579,4223,256,244,721,1810,875,0,0,0
144,T_1408,84462,23548,613,370,1896,6821,1278,874,1565,8307,1142,0,0,162
145,T_1409,29902,4489,109,95,453,1610,91,98,342,576,944,0,0,0
146,T_1410,26509,4963,114,63,215,2036,77,108,348,466,1399,0,0,0
147,T_1411,37592,6915,183,92,424,2857,111,334,386,848,1427,0,0,0
148,T_1412,116425,27781,706,563,1554,10361,923,654,2164,6725,3249,0,0,0
149,T_1413,58909,8964,262,160,734,3120,182,180,570,1752,1618,0,0,0
150,T_1414,62587,12480,389,245,1150,3629,564,538,739,3513,1227,0,0,77
151,T_1415,69962,11473,383,166,300,5040,188,253,778,1361,2592,0,0,0
152,T_1416,60378,11785,346,152,556,5679,204,177,624,1718,2008,0,0,0
153,T_1417,96113,28667,969,479,1356,10513,990,1009,2042,8182,2224,0,0,185
154,T_1418,127224,39192,895,511,2474,10379,2112,1553,2417,15939,1774,0,0,268
155,T_1419,87882,14719,506,181,822,5270,348,369,841,2118,3558,0,0,0
156,T_1420,71314,10289,327,135,779,3627,287,195,595,1914,1984,0,0,0
157,T_1421,122706,39979,960,682,2453,11752,1982,2301,2577,14790,1342,0,0,304
158,T_1422,42548,7558,188,91,381,2722,125,528,483,986,1773,0,0,0
159,T_1423,35742,7726,272,111,363,3682,137,202,442,701,1504,0,0,0
160,T_1424,41030,7773,185,81,711,2654,233,320,399,869,2064,0,0,0
161,T_1425,119205,22853,644,400,1127,11327,505,862,1616,3092,2488,0,0,0
162,T_1426,64896,12928,376,186,473,6025,194,251,1029,1075,2940,0,0,0
163,T_1427,42812,7174,186,73,764,2472,158,164,432,1012,1562,0,0,0
164,T_1428,67450,13057,372,132,699,4502,311,261,926,2565,2827,0,0,0
165,T_1429,46249,10284,336,189,449,4528,202,171,671,1236,2184,0,0,0
166,T_1430,32561,5816,189,131,322,2944,110,99,356,940,446,0,0,0
167,T_1432,84341,25389,619,398,1291,7725,1231,1007,1820,9672,859,0,0,166
168,T_1433,54800,10578,357,195,491,4922,175,187,645,1663,1594,0,0,0
169,T_1434,173072,45674,1941,876,2239,18776,1705,1685,3655,11652,1727,0,0,277
170,T_1435,58259,12016,377,377,408,4412,277,256,772,1746,3032,0,0,0
171,T_1436,29985,4805,124,134,339,2130,100,141,310,592,729,0,0,0
172,T_1437,32564,4772,163,42,423,1698,85,61,224,673,1164,0,0,0
173,T_1438,59831,13350,393,201,808,4685,550,303,881,4064,964,0,0,0
174,T_1461,42666,10250,251,161,634,4354,292,189,815,2387,846,0,0,0
175,T_1462,99810,23056,536,275,2029,7182,1169,923,1426,7009,1824,0,0,0
176,T_1463,174354,46745,1026,922,3352,19785,1638,1487,3535,12067,1765,0,0,0
177,T_1464,61332,16016,372,219,1166,6219,500,376,1651,3829,1200,0,0,0
178,T_1465,1345374,512579,8340,7354,41872,133227,33287,19600,29236,220467,4742,0,0,5222
179,T_1499,36375,25920,463,1036,1255,8655,2241,920,4476,9828,261,0,0,694
180,T_1601,73416,13935,769,263,1347,4139,370,313,1053,4554,664,0,0,0
181,T_1602,39050,6323,436,77,524,2152,145,149,422,1764,347,0,0,0
182,T_1603,77880,13245,707,217,1114,2718,475,328,1088,5632,432,0,0,0
183,T_1604,55325,9339,505,156,583,2299,209,203,637,2872,1524,0,0,0
184,T_1605,52893,6939,372,78,466,1045,179,268,610,3315,300,0,0,0
185,T_1606,34762,6893,717,88,713,1597,136,159,373,2012,759,0,0,0
186,T_1607,116892,21493,1082,249,3145,6209,520,531,1485,5974,1536,0,0,0
187,T_1608,54046,8150,504,60,776,1592,234,235,579,2826,968,0,0,0
188,T_1609,108871,16595,975,193,1082,2804,450,597,1199,7630,970,0,0,0
189,T_1610,46213,7940,428,88,633,2127,202,195,627,2739,553,0,0,0
190,T_1611,63716,8934,621,114,564,1530,228,281,666,4134,356,0,0,0
191,T_1661,96106,27249,1198,312,2746,4782,791,693,1975,13365,640,0,0,0
192,T_1801,18115,3444,144,53,278,1200,83,84,199,893,405,0,0,0
193,T_1802,53054,11043,409,169,334,6045,124,266,698,1377,1221,0,0,0
194,T_1803,108130,24482,1205,745,808,12417,385,1205,1732,3658,1590,0,0,0
195,T_1804,98193,23515,4389,338,942,9268,308,485,1307,2803,2822,0,0,0
196,T_1805,93974,22773,1961,222,751,11231,320,1235,1550,3294,1425,0,0,0
197,T_1806,50123,11301,330,220,329,7195,150,205,877,961,710,0,0,0
198,T_1807,90165,19697,839,308,1048,9856,307,568,1458,3507,1193,0,0,0
199,T_1808,56088,14243,869,297,325,8239,208,234,920,2175,562,0,0,0
200,T_1809,47003,9656,1305,111,550,3556,162,188,628,1271,1495,0,0,0
201,T_1810,63485,15745,723,265,405,9064,263,685,1021,1759,1138,0,0,0
202,T_1811,108929,25900,968,454,1273,13473,358,654,1531,4842,1700,0,0,0
203,T_1812,54864,11177,426,278,487,6117,182,243,1061,1333,656,0,0,0
204,T_1813,59472,12325,1012,250,504,4910,277,636,705,2577,895,0,0,0
205,T_1814,63899,13520,1602,204,501,6033,225,307,797,1497,1849,0,0,0
206,T_1815,58140,14726,594,183,341,7995,147,310,941,1014,2744,0,0,0
207,T_1816,130414,34726,1096,515,1329,20270,533,1896,2415,3784,1963,0,0,0
208,T_1817,78026,16418,978,332,890,6524,284,543,965,3995,1379,0,0,0
209,T_1818,87941,20070,770,384,1212,9245,346,739,1829,4401,505,0,0,0
210,T_1819,49899,10537,639,234,304,5762,175,253,843,1253,760,0,0,0
211,T_1820,44273,9739,376,175,347,4403,120,181,704,2500,545,0,0,0
212,T_1821,22870,5417,193,92,262,2217,109,141,308,1381,478,0,0,0
213,T_1861,38815,10576,258,182,632,4456,300,370,733,3087,359,0,0,0
214,T_1862,52467,13286,707,303,812,4843,364,538,747,4263,337,0,0,0
215,T_1863,142640,46196,1101,577,3354,18647,1858,1674,3868,12437,1799,0,0,0
216,T_1864,39550,9993,618,313,743,3281,238,180,637,3319,397,0,0,0
217,T_2001,47820,8464,183,89,594,3627,187,195,502,1760,1015,33,44,0
218,T_2002,116248,25729,773,588,1733,11625,605,830,1950,5050,1740,102,66,0
219,T_2003,48226,9822,205,113,1552,4773,236,479,501,1048,631,21,22,0
220,T_2004,39337,6901,130,177,257,2473,120,80,365,948,2071,12,29,0
221,T_2005,39336,5972,83,84,1975,1025,248,89,412,1232,547,24,18,0
222,T_2006,31766,5472,139,118,173,2145,100,81,299,545,1633,20,27,0
223,T_2007,41522,7189,243,137,318,3784,91,137,437,594,1167,24,29,0
224,T_2008,34672,5763,164,104,203,2420,87,115,320,864,1253,15,28,0
225,T_2009,17185,2657,48,36,249,834,55,46,155,607,525,8,15,0
226,T_2010,39342,7317,176,120,905,3139,120,136,380,1277,797,21,33,0
227,T_2011,58273,10913,243,157,570,4080,183,204,674,1398,2987,31,40,0
228,T_2012,29127,4503,130,73,281,1820,118,115,333,721,704,17,43,0
229,T_2013,47998,11080,270,172,329,7200,114,150,514,1049,867,29,107,0
230,T_2014,36800,7736,234,167,374,3641,158,127,457,1111,1018,34,66,0
231,T_2061,228876,66324,1023,1133,6873,25339,2156,2253,5564,18386,1712,310,83,0
232,T_2062,49512,10958,202,206,848,4857,241,299,826,2541,654,25,15,0
233,T_2063,54990,11193,227,213,1187,4416,331,317,864,2986,333,30,16,0
234,T_2201,60973,11292,344,113,952,3489,229,264,658,4144,541,42,0,73
235,T_2202,74135,15800,585,155,1142,5089,359,356,902,5759,680,56,0,74
236,T_2203,46468,8026,228,77,877,1384,246,192,431,2937,1199,21,0,49
237,T_2204,78112,19751,391,230,1246,4117,419,392,1406,9668,1107,83,0,157
238,T_2205,90892,24164,865,301,881,7966,362,657,1374,10074,788,76,0,111
239,T_2206,54110,12321,439,169,848,4290,196,314,562,4393,623,29,0,50
240,T_2207,64805,11785,317,158,1333,3055,274,193,763,4735,450,39,0,56
241,T_2208,50966,11182,296,130,1237,2755,327,168,778,4652,321,33,0,47
242,T_2209,50472,9777,340,131,1343,2067,230,229,576,4083,317,42,0,63
243,T_2210,28988,4982,152,71,480,1016,92,106,316,2202,333,11,0,26
244,T_2211,62898,15805,563,179,991,3783,359,335,1087,7236,545,66,0,73
245,T_2212,75893,12481,570,139,1198,2720,568,274,750,4879,738,33,0,71
246,T_2213,97403,19928,597,278,1635,6160,411,329,1078,6515,2017,77,0,83
247,T_2214,88527,19368,519,262,1455,5249,408,463,1352,8070,632,72,0,95
248,T_2215,153220,40851,1109,455,2236,11367,999,892,2894,17473,1661,150,0,275
249,T_2216,34278,5438,393,81,607,1042,165,88,300,2094,290,21,0,32
250,T_2261,357280,128407,1991,1217,8633,29364,2806,2409,8380,68179,1455,465,0,985
251,T_2262,193546,69957,1025,880,5265,15304,1777,1242,4866,36620,719,304,0,461
252,T_2263,74991,17741,485,185,2037,4461,853,364,1131,7396,211,35,0,79
253,T_2264,31145,13420,116,122,755,2916,265,268,685,7779,185,64,0,77
254,T_2299,210,201,4,4,13,26,5,4,35,74,5,1,0,6
255,T_2401,123730,27019,720,285,4959,5439,1179,498,2465,9779,436,122,0,189
256,T_2402,127267,35154,1394,461,1957,11592,792,1098,2790,12409,1427,119,0,129
257,T_2403,140569,36126,1208,326,2607,9372,1107,912,2804,15471,1019,100,0,147
258,T_2404,111287,19493,856,287,1978,6021,583,437,1961,4839,1650,82,0,91
259,T_2405,91655,18722,775,209,1198,4570,637,664,1526,7924,436,77,0,85
260,T_2406,70298,11354,390,116,1006,3578,299,227,1204,2742,1229,26,0,46
261,T_2407,62934,12247,523,116,621,3766,322,579,992,4377,372,39,0,67
262,T_2408,75407,19588,493,172,1036,6270,664,536,1607,7925,199,87,0,96
263,T_2409,58880,11122,353,91,1095,3915,304,173,1130,3181,428,25,0,54
264,T_2410,85010,20981,951,181,1122,7698,628,591,1876,6799,395,63,0,67
265,T_2411,88087,16329,653,139,1011,3769,486,692,1491,7213,235,59,0,72
266,T_2412,60479,12189,492,121,613,4236,307,345,995,4482,105,39,0,42
267,T_2413,111639,26456,972,248,1559,6795,969,671,2147,10691,1399,89,0,128
268,T_2414,46006,11316,582,122,584,4124,341,295,1133,3554,135,47,0,48
269,T_2415,125142,26989,955,344,1775,8706,830,940,2248,9617,584,82,0,134
270,T_2416,100653,19562,674,241,2646,4822,644,362,1758,5464,2165,62,0,74
271,T_2417,122441,29070,2260,371,1299,11558,495,863,2167,8057,764,81,0,92
272,T_2461,138243,44277,1491,613,2922,13158,1194,1457,3467,18168,556,133,0,214
273,T_2462,131420,26023,882,313,2335,5622,1232,705,2333,10909,635,103,0,163
274,T_2463,86320,20730,679,176,1657,3808,1022,467,1773,10246,115,60,0,150
275,T_2464,188799,47992,1469,536,5470,15122,1628,1005,4324,16267,604,183,0,241
276,T_2465,101083,22126,673,229,4620,4613,916,501,1874,7660,207,98,0,123
277,T_2466,147464,40946,1130,422,3308,8402,1655,1405,3356,19663,305,138,0,261
278,T_2467,72793,17355,1039,310,1667,5826,452,289,1459,5526,176,54,0,50
279,T_2468,75944,16746,646,186,1881,4468,648,565,1527,5928,195,51,0,118
280,T_2469,243538,75816,1991,553,5831,16010,3885,1805,6001,36133,805,339,0,630
281,T_2470,59208,14848,555,154,1323,3845,717,330,1199,5878,179,98,0,107
282,T_2471,45576,9884,373,106,654,2638,404,225,830,4108,103,31,0,42
283,T_2472,112031,24405,916,275,1922,6721,1124,618,1906,9678,243,108,0,119
284,T_2473,110024,26781,814,236,1495,8383,920,580,2394,10861,230,108,0,97
285,T_2474,54852,13112,355,134,1208,2611,666,283,1149,6066,102,50,0,113
286,T_2475,173346,42415,1277,421,9945,8727,1759,747,3317,14165,381,178,0,284
287,T_2476,40799,8380,213,71,696,1825,407,256,668,3822,55,26,0,84
288,T_2477,102929,28702,1255,324,2119,7642,1172,781,2350,11809,199,124,0,184
289,T_2478,140015,27267,900,444,2589,5647,1181,887,2321,11830,280,127,0,178
290,T_2479,47870,11118,462,149,835,3216,353,265,1031,4237,132,36,0,38
291,T_2601,61505,11698,665,111,1043,3198,215,392,703,1759,3149,42,0,0
292,T_2602,71898,12895,843,227,1275,4160,305,378,771,1926,2372,51,0,0
293,T_2603,29264,4837,659,51,358,1087,80,116,208,475,1602,11,0,0
294,T_2604,165397,33551,3256,531,2239,11026,670,941,2231,5949,5231,122,0,0
295,T_2605,69267,13614,1639,171,1900,4367,256,360,705,2244,1355,32,0,0
296,T_2606,45169,10613,536,105,757,2621,175,275,498,878,4051,40,0,0
297,T_2607,94198,17039,944,298,2401,5111,608,587,1055,3876,1419,75,0,0
298,T_2608,34550,6091,383,83,641,1347,192,156,415,964,1641,25,0,0
299,T_2609,66464,12477,704,230,1556,3876,229,351,781,1941,2337,38,0,0
300,T_2610,65703,14075,804,200,1317,4692,353,453,921,4105,697,75,0,0
301,T_2611,77174,14367,936,260,1623,4915,347,504,1041,3338,915,60,0,0
302,T_2612,60431,10940,742,118,887,3522,124,319,805,1486,2466,30,0,0
303,T_2613,38226,7116,467,111,540,2725,128,207,566,856,1205,25,0,0
304,T_2661,163125,49948,3040,718,5632,13626,1855,1525,3331,16328,2474,192,0,0
305,T_2801,50357,7162,201,101,983,1695,346,130,459,2262,572,34,58,0
306,T_2802,34821,5617,150,63,690,1305,630,145,336,1534,433,24,48,0
307,T_2803,52758,7599,285,109,760,2468,229,154,382,1939,848,37,39,0
308,T_2804,46107,5863,188,79,557,1490,286,137,435,1848,542,26,44,0
309,T_2805,69153,11090,267,209,1155,3544,338,228,968,3304,642,42,26,0
310,T_2806,46687,7881,234,96,856,1806,378,140,674,2705,637,29,34,0
311,T_2807,73809,11810,406,184,1262,3212,547,205,741,3682,864,40,79,0
312,T_2808,53758,7661,212,120,1102,2016,337,113,448,2346,580,30,60,0
313,T_2809,34313,5252,138,79,610,1351,189,110,447,1715,350,17,23,0
314,T_2810,40868,6569,140,74,657,1697,204,121,552,2089,766,26,22,0
315,T_2811,26809,3709,116,48,561,1222,123,71,221,862,320,17,19,0
316,T_2812,34540,5516,300,60,399,1717,154,111,273,1196,897,31,71,0
317,T_2813,27540,3882,80,54,341,1147,175,282,240,1029,385,13,13,0
318,T_2814,97232,16843,422,282,2053,3860,734,383,1302,5384,1612,83,71,0
319,T_2815,84232,12574,297,147,1568,3448,498,264,781,4222,688,62,36,0
320,T_2816,46146,7804,207,198,540,2287,249,126,421,1870,1582,18,15,0
321,T_2817,56791,9446,261,138,984,2487,310,157,557,2151,1898,36,25,0
322,T_2818,22075,2814,81,16,453,678,98,88,180,861,246,13,9,0
323,T_2819,19467,2734,160,31,408,559,79,57,161,906,223,10,12,0
