,teryt_code,eligible_voters,issued_ballots,Kaczynski,Komorowski
166,T_1432,79113,50493,23836,26062
167,T_1433,56022,31842,21235,10248
168,T_1434,162715,101337,58426,41823
169,T_1435,58814,34425,22023,11998
170,T_1436,29890,15931,11689,4042
171,T_1437,32539,16158,10599,5392
172,T_1438,59642,33712,17643,15666
173,T_1461,42576,24751,13248,11176
174,T_1462,100192,57995,26577,30683
175,T_1463,176120,104893,56923,46738
176,T_1464,60183,37262,20124,16707
177,T_1465,1304507,872844,315215,545158
178,T_1499,277016,203598,79975,121611
179,T_1601,73350,37281,16283,20505
180,T_1602,39803,18930,8905,9791
181,T_1603,79340,37221,10768,25988
182,T_1604,55320,25318,9656,15385
183,T_1605,53771,20940,5090,15585
184,T_1606,34764,17724,7601,9960
185,T_1607,118686,57182,25501,31029
186,T_1608,54698,22983,8658,13994
187,T_1609,108531,44895,11816,32552
188,T_1610,47124,21110,8340,12535
189,T_1611,65036,25891,7682,17867
190,T_1661,97130,56741,14704,41335
191,T_1801,18650,9095,4371,4648
192,T_1802,52509,28606,21392,6979
193,T_1803,106418,62186,42447,19127
194,T_1804,97046,53546,36220,16832
195,T_1805,92781,51205,34826,15667
196,T_1806,48874,26177,19447,6461
197,T_1807,89367,48676,32198,16020
198,T_1808,55333,31234,23641,7307
199,T_1809,46850,23695,14837,8573
200,T_1810,61932,37229,26967,9961
201,T_1811,107059,60657,40170,19931
202,T_1812,53856,27208,19560,7388
203,T_1813,57734,29711,18857,10558
204,T_1814,63138,34281,23951,9982
205,T_1815,56511,33510,25912,7229
206,T_1816,125159,74971,54368,19949
207,T_1817,77387,39753,22214,17142
208,T_1818,87135,46221,28019,17670
209,T_1819,49322,27099,19664,7199
210,T_1820,43578,21949,14372,7336
211,T_1821,25508,14444,7624,6687
212,T_1861,38661,22182,11023,10906
213,T_1862,52678,29994,14034,15603
214,T_1863,139183,86889,42021,43921
215,T_1864,38998,21907,9986,11640
216,T_2001,49891,26789,13324,13168
217,T_2002,112307,62278,34450,27180
218,T_2003,48366,27751,13256,14218
219,T_2004,39864,19351,11928,7222
220,T_2005,40897,21347,3387,17713
221,T_2006,31815,15377,10876,4348
222,T_2007,41023,21804,16650,4943
223,T_2008,34990,16016,9952,5849
224,T_2009,18248,9704,3409,6180
225,T_2010,39841,20602,10276,10137
226,T_2011,59030,28437,15873,12281
227,T_2012,29232,14775,7980,6649
228,T_2013,48282,28912,22417,6221
229,T_2014,36694,19864,13526,6097
230,T_2061,226907,136659,57084,77962
231,T_2062,49147,27224,14943,11962
232,T_2063,53836,29564,12536,16713
233,T_2201,60819,30303,11213,18759
234,T_2202,73777,41058,16979,23686
235,T_2203,46782,22917,6433,16209
236,T_2204,71393,39839,13563,25826
237,T_2205,87492,52993,26055,26347
238,T_2206,55424,31711,14365,17034
239,T_2207,63805,29889,10653,18914
240,T_2208,55296,31113,10771,19900
241,T_2209,50100,24710,8124,16261
242,T_2210,35920,20369,6847,13298
243,T_2211,88348,62399,20636,41254
244,T_2212,82286,40822,12890,27513
245,T_2213,96721,50323,23516,26264
246,T_2214,87601,45485,17786,27160
247,T_2215,148158,86055,33043,52034
248,T_2216,34158,14794,5017,9589
249,T_2261,363888,235588,74937,157778
250,T_2262,206079,138412,39087,97411
251,T_2263,76061,42644,13284,28859
252,T_2264,37250,27076,7413,19348
253,T_2299,253,251,89,157
254,T_2401,123904,66552,23341,42209
255,T_2402,123706,75568,33909,40862
256,T_2403,143103,84833,30708,53172
257,T_2404,109580,56218,28642,26873
258,T_2405,90910,44086,18878,24719
259,T_2406,69357,34497,17677,16371
260,T_2407,62613,31358,14028,16934
261,T_2408,73147,41584,18658,22495
262,T_2409,59370,30353,14679,15302
263,T_2410,82754,48970,27093,21363
264,T_2411,89338,40113,14105,25590
265,T_2412,59100,31675,17134,14218
266,T_2413,111722,58408,24364,33401
267,T_2414,44770,25275,14709,10302
268,T_2415,124642,66773,34159,31942
269,T_2416,102444,54273,25611,27977
270,T_2417,123087,72435,39802,31916
271,T_2461,138943,86511,33355,52252
272,T_2462,136128,66005,25382,39799
273,T_2463,86997,44177,14264,29345
274,T_2464,192652,111486,43968,66141
275,T_2465,102140,54759,19330,34662
276,T_2466,148054,83759,27541,55240
277,T_2467,72590,40490,22305,17795
278,T_2468,75734,41224,16658,24103
279,T_2469,246478,141683,50691,89194
280,T_2470,58916,32781,15109,17276
281,T_2471,46604,24634,11543,12810
282,T_2472,112635,58132,27541,29859
283,T_2473,110713,60478,27340,32491
284,T_2474,55783,29312,9880,19039
285,T_2475,177308,95598,34175,60061
286,T_2476,42004,19352,7325,11773
287,T_2477,103366,60465,24359,35429
288,T_2478,143997,64704,23700,40160
289,T_2479,47958,26062,11912,13850
290,T_2601,63223,31865,19387,12142
291,T_2602,72802,36747,24265,12089
292,T_2603,29955,12726,8276,4287
293,T_2604,160844,86989,59830,26167
294,T_2605,70216,37557,23200,13859
295,T_2606,45581,21336,14541,6490
296,T_2607,95426,46931,24293,22085
297,T_2608,35077,16427,9655,6608
298,T_2609,66616,33140,20113,12628
299,T_2610,65838,35868,18664,16753
300,T_2611,77241,41014,23238,17323
301,T_2612,60446,30802,21068,9461
302,T_2613,38433,20341,13937,6175
303,T_2661,164561,101046,44876,54854
304,T_2801,50543,22316,8103,13964
305,T_2802,34996,15221,5606,9433
306,T_2803,52668,25638,12417,12948
307,T_2804,45163,19027,7349,11429
308,T_2805,68274,32317,13072,18840
309,T_2806,49343,26281,8105,17811
310,T_2807,74270,36134,14951,20805
311,T_2808,54464,24014,8267,15440
312,T_2809,34336,15944,5734,9982
313,T_2810,44003,23062,7670,15102
314,T_2811,27123,12978,6011,6787
315,T_2812,34402,16258,7998,8022
316,T_2813,27635,13014,5022,7839
317,T_2814,96211,46094,15343,30124
318,T_2815,85447,41045,14359,26242
319,T_2816,49542,25554,10846,14392
320,T_2817,58952,29362,11911,17048
321,T_2818,22491,10004,3394,6496
322,T_2819,20373,9605,3104,6410
323,T_2861,96912,51579,19004,31949
324,T_2862,134564,82341,26798,54276
325,T_3001,37146,19790,5829,13732
326,T_3002,68379,34570,11895,22262
327,T_3003,113422,60006,23931,35247
328,T_3004,60079,28630,12734,15530
329,T_3005,38216,18687,7694,10737
330,T_3006,56191,28042,12927,14678
331,T_3007,64372,31471,19847,11202
332,T_3008,44025,23343,10752,12333
333,T_3009,71536,35982,22908,12626
334,T_3010,99440,50471,32612,17237
335,T_3011,62068,31646,12526,18618
336,T_3012,60765,31061,14758,15851
337,T_3013,40625,20135,8085,11802
338,T_3014,29303,14393,4373,9780
339,T_3015,56465,29613,9959,19327
340,T_3016,44633,23458,7811,15389
341,T_3017,127331,68528,32380,35322
342,T_3018,43498,21566,10313,10944
343,T_3019,106556,57550,19955,36855
344,T_3020,49364,24283,11731,12189
345,T_3021,243166,146151,43891,100470
346,T_3022,47429,22991,8300,14370
347,T_3023,48171,23987,11988,11617
348,T_3024,69927,35449,11445,23597
349,T_3025,43462,22317,9068,12925
350,T_3026,46546,24115,9514,14265
351,T_3027,66658,35299,21953,12957
352,T_3028,53641,26458,9607,16490
353,T_3029,43733,23390,8042,15039
354,T_3030,59434,30511,13342,16805
355,T_3031,54885,26420,8976,17182
356,T_3061,83977,48136,18272,29291
357,T_3062,63963,36735,16516,19715
358,T_3063,50286,28273,8599,19325
359,T_3064,431897,272947,74604,194780
360,T_3201,38536,17383,5356,11836
361,T_3202,40907,17089,6046,10842
362,T_3203,48077,22377,7117,15023
363,T_3204,64570,30548,9916,20225
364,T_3205,61274,34764,10884,23559
365,T_3206,65785,30064,11435,18223
366,T_3207,49735,28745,8904,19579
367,T_3208,76935,47593,15401,31732
368,T_3209,58689,31299,9812,21151
369,T_3210,53735,24752,8755,15747
370,T_3211,51708,27816,9264,18169
371,T_3212,32225,14421,6249,7973
372,T_3213,53744,28076,9749,18032
373,T_3214,95220,46619,16216,29852
374,T_3215,63123,29928,9623,19954
375,T_3216,39587,17642,6033,11385
376,T_3217,43488,20744,6185,14316
377,T_3218,30600,12720,4025,8529
378,T_3261,86641,51849,14903,36359
379,T_3262,311764,177538,62110,113028
380,T_3263,37191,21746,6662,14843
