,teryt_code,eligible_voters,issued_ballots,SLDUP,AWSP,UW,SAMOOBRONA,PIS,PSL,PO,ARS,PWN,LPR,MN,PUG,PPS,NMNGSL
334,T_3003,106211,55410,28551,4281,698,5020,2409,4192,4130,105,61,2999,0,80,0,0
335,T_3009,69895,32782,12978,902,313,5116,1206,6151,2290,63,30,1674,0,49,0,0
336,T_3010,88722,36353,12742,1611,414,7384,1307,5139,2851,122,30,1956,0,77,0,0
337,T_3023,43431,20749,8709,563,254,3042,553,3397,1567,47,17,1131,0,36,0,0
338,T_3025,40296,20238,9282,736,289,2980,976,1868,1653,61,21,999,0,41,0,0
339,T_3026,43278,21133,10634,617,775,1917,869,1887,1706,50,28,1314,0,31,0,0
340,T_3027,63126,28097,12359,1352,421,4663,1156,2315,2591,169,31,1319,0,61,0,0
341,T_3030,55519,27453,12433,1111,453,2934,1456,2654,2787,80,30,1673,0,40,0,0
342,T_3062,64138,32557,16538,2128,1041,2500,2427,1675,3363,52,23,1565,0,29,0,0
343,T_3001,35294,18711,8696,461,273,1734,622,2554,1873,97,0,894,0,0,0,0
344,T_3002,65146,29993,13456,1467,828,3245,1742,1892,3395,107,0,1523,0,0,0,0
345,T_3005,35191,17285,6747,489,668,2405,552,2660,1163,57,0,1295,0,0,0,0
346,T_3014,27110,12437,6024,348,358,1215,404,1625,953,39,0,613,0,0,0,0
347,T_3015,52502,25466,10300,1444,740,2551,1011,3115,2680,98,0,1575,0,0,0,0
348,T_3016,40902,19591,9367,996,392,2220,975,1270,1944,84,0,928,0,0,0,0
349,T_3019,102114,53426,23806,3092,1074,5166,2780,4671,5589,237,0,3579,0,0,0,0
350,T_3024,65178,30392,14353,977,616,2793,1317,2597,3060,105,0,2226,0,0,0,0
351,T_3028,49418,25183,11385,693,337,3167,889,2966,2837,88,0,1094,0,0,0,0
352,T_3029,39773,21328,10751,756,784,1865,763,2142,1287,71,0,1312,0,0,0,0
353,T_3031,51575,23349,9359,963,815,3802,814,1626,2120,122,0,2018,0,0,0,0
354,T_3021,191752,93086,36134,3624,3291,7345,9026,5685,16334,210,0,6388,0,205,0,0
355,T_3064,444592,239555,98772,10060,12665,8981,32136,3899,48864,406,0,16801,0,440,0,0
356,T_3201,36771,14498,6251,341,195,3148,310,397,1907,125,0,871,0,0,37,0
357,T_3202,38953,15309,6680,435,353,2963,363,1908,1189,45,0,320,0,0,26,0
358,T_3203,46215,19130,8512,719,421,4280,599,665,1781,61,0,835,0,0,50,0
359,T_3208,59508,26465,12317,686,822,4726,1284,720,3257,66,0,1194,0,0,64,0
360,T_3209,46007,18516,7762,490,432,4894,610,919,1187,36,0,702,0,0,67,0
361,T_3213,44147,20286,7673,390,376,7547,473,753,1146,40,0,536,0,0,37,0
362,T_3215,60351,26545,10686,2560,929,5181,872,682,2943,56,0,971,0,0,64,0
363,T_3216,38159,15899,7420,607,259,3318,414,1003,1230,34,0,563,0,0,36,0
364,T_3217,42427,18047,9132,696,539,2824,797,582,1517,47,0,731,0,0,35,0
365,T_3261,86267,43557,20616,1426,1861,7982,1963,818,4729,63,0,2438,0,0,152,0
366,T_3204,62955,24954,13126,728,689,2977,1380,1516,2414,81,0,956,0,0,0,0
367,T_3205,56565,22265,11803,560,458,2711,1112,1722,1777,130,0,978,0,0,0,0
368,T_3206,62974,24665,12729,900,502,3232,1078,1294,2151,85,0,1605,0,0,0,0
369,T_3207,38014,15758,8418,668,375,1685,712,654,1947,56,0,597,0,0,0,0
370,T_3210,52322,20845,10131,1075,1324,2798,746,888,1646,59,0,1121,0,0,0,0
371,T_3211,42939,17657,8691,822,996,1494,1340,457,2379,53,0,723,0,0,0,0
372,T_3212,31257,12467,5683,446,406,2360,481,1070,901,30,0,436,0,0,0,0
373,T_3214,108514,44702,23726,1851,1345,5066,2252,1739,4522,161,0,2047,0,0,0,0
374,T_3262,320189,152355,68624,6843,7892,11560,17720,3070,22689,407,0,10107,0,0,0,0
375,T_3263,33716,15233,8403,476,457,867,1217,300,2120,31,0,980,0,0,0,0
376,T_3299,773,702,351,22,28,19,53,15,73,4,0,22,0,0,0,0
