,teryt_code,eligible_voters,issued_ballots,Bartoszewicz,Biejat,Braun,Holownia,Jakubiak,Maciak,Mentzen,Nawrocki,Senyszyn,Stanowski,Trzaskowski,Woch,Zandberg
305,T_2801,41528,23179,102,852,1382,1170,186,44,3468,6528,199,199,8173,16,708
306,T_2802,29128,16376,91,700,877,896,109,36,2700,4417,160,185,5601,22,490
307,T_2803,47600,27997,146,1097,1699,1279,237,54,4720,9612,204,267,7433,27,1078
308,T_2804,41935,23652,96,931,1582,1226,170,55,3797,6509,241,265,7822,13,807
309,T_2805,64027,36322,252,1276,2717,1792,316,71,6364,10414,310,400,10931,33,1236
310,T_2806,41595,24740,138,1027,1622,1242,164,56,3496,6019,258,298,9475,45,786
311,T_2807,68570,42397,176,1733,2609,2123,288,73,7250,12700,385,418,12794,44,1588
312,T_2808,44469,24417,111,992,1522,1137,143,54,3807,6740,185,221,8576,31,788
313,T_2809,29256,16658,87,745,1049,801,112,31,2505,4495,176,187,5775,6,599
314,T_2810,36636,21902,105,851,1520,1092,154,60,3337,5779,186,244,7652,16,795
315,T_2811,23855,13790,69,455,874,489,107,26,2470,4788,95,90,3802,5,450
316,T_2812,32027,19456,67,660,1145,914,121,30,3966,6780,157,216,4655,16,647
317,T_2813,23818,12991,94,427,1188,627,79,44,2169,3981,117,161,3633,12,400
318,T_2814,98952,61510,342,3018,3328,3449,521,119,9539,14395,629,809,22182,50,2814
319,T_2815,75625,44384,181,1876,2898,2178,275,91,6870,11290,411,452,16010,40,1572
320,T_2816,41431,23644,122,749,1719,1030,185,50,4376,8128,176,229,6023,12,712
321,T_2817,52448,31311,178,1170,2078,1490,256,83,5160,9780,283,322,9234,26,1099
322,T_2818,18822,10204,52,396,743,511,37,28,1745,2754,90,76,3472,3,276
323,T_2819,16620,9541,63,423,581,463,59,27,1531,2429,82,100,3446,7,285
324,T_2861,82651,53353,244,2344,2352,2815,365,85,6345,12878,535,735,22262,43,2108
325,T_2862,124544,88076,472,4855,3659,4786,713,133,10731,17742,1104,1313,36278,95,5873
326,T_3001,34907,22457,113,1075,1380,1524,159,45,3214,4655,224,258,8650,29,1045
327,T_3002,63508,39008,193,1514,2398,2209,219,79,6008,10016,410,435,13928,42,1375
328,T_3003,107998,70755,385,3635,3848,4513,505,126,11074,18049,712,903,23581,69,3080
329,T_3004,56386,35045,115,1413,2567,1795,267,73,7356,10815,347,379,8483,26,1271
330,T_3005,38684,24540,124,1055,1569,1554,183,57,4528,6915,293,308,6691,35,1086
331,T_3006,53137,33610,165,1333,2152,1870,288,60,6011,10300,374,400,8977,25,1507
332,T_3007,64240,41192,186,1398,2961,2028,287,57,7466,16240,363,455,8182,24,1368
333,T_3008,42650,27546,135,932,1798,1512,210,51,4957,8096,270,319,8113,16,1027
334,T_3009,64140,39616,180,1267,2552,1418,247,88,6488,16636,265,359,8635,28,1275
335,T_3010,100439,63986,309,2322,4423,2593,448,109,10776,26583,546,703,12427,72,2379
336,T_3011,59252,38328,165,1844,2309,2483,309,72,6328,9962,405,445,12043,38,1724
337,T_3012,56853,35525,190,1393,2487,1897,277,65,6362,10973,358,423,9467,41,1397
338,T_3013,45615,29753,159,1425,1962,1940,250,56,5753,7691,371,370,8296,35,1322
339,T_3014,27709,16900,80,785,1232,946,118,28,2708,3705,157,205,6164,26,668
340,T_3015,56628,37224,193,1687,2440,2447,234,52,6036,8406,438,475,12986,46,1623
341,T_3016,43729,28539,125,1364,1688,1674,192,54,4159,6343,336,396,10774,30,1276
342,T_3017,121687,79171,422,3056,5277,4444,584,153,12521,22454,777,945,25057,75,3135
343,T_3018,42122,26478,142,988,1839,1518,186,55,4847,8081,275,276,7044,24,1071
344,T_3019,97503,62795,326,2859,3564,3566,384,90,9434,15171,614,684,23388,63,2437
345,T_3020,47434,29993,129,1098,1822,1663,232,71,5326,9695,262,350,8167,24,995
346,T_3021,322805,242631,1151,13759,10317,17002,1789,339,30438,39492,3417,3963,105458,241,14309
347,T_3022,45487,28017,133,1311,2090,1598,235,50,4944,7401,277,330,8373,21,1113
348,T_3023,45085,28098,147,1027,1671,1475,184,49,4692,9733,257,289,7343,25,1082
349,T_3024,70770,46498,269,2306,2949,2886,282,69,6671,9918,575,573,17607,44,2140
350,T_3025,45226,29673,130,1502,1731,2057,251,56,4921,7436,340,394,9237,46,1410
351,T_3026,45914,29562,166,1579,1953,1921,215,92,4914,7165,339,391,9310,23,1375
352,T_3027,62743,40382,162,1480,2903,1766,289,69,6549,16073,337,408,8732,30,1387
353,T_3028,52092,32997,144,1485,2055,2267,231,73,5421,8122,330,376,10959,26,1365
354,T_3029,43235,28389,142,1188,1867,1817,219,55,5416,6951,273,356,8640,32,1253
355,T_3030,58746,38795,184,1805,2398,2626,318,92,6212,10572,411,523,11762,47,1671
356,T_3031,50543,29886,131,1182,1965,1763,204,66,5008,7223,307,308,10440,33,1120
357,T_3061,70555,47703,173,1973,2441,2318,297,82,5294,11700,468,583,20023,40,2177
358,T_3062,51830,34607,139,1600,1655,1528,215,61,3852,10510,338,396,12741,28,1433
359,T_3063,44607,30011,133,1703,1288,1750,180,47,3677,5672,319,357,13383,23,1412
360,T_3064,407035,304655,1313,20865,9862,18420,1819,419,29425,44505,5389,4325,134124,306,32927
361,T_3201,33643,18796,65,849,1117,716,107,37,2775,4902,165,210,7122,20,584
362,T_3202,34774,19372,92,848,1045,970,101,52,2947,5473,142,180,6709,12,672
363,T_3203,41749,23773,97,949,1639,1093,124,58,3456,6007,202,227,9081,24,709
364,T_3204,61919,37816,194,1698,2052,1714,239,58,5547,9321,357,448,14426,25,1518
365,T_3205,46132,27491,107,1081,1446,1277,145,62,3338,7386,196,262,11083,17,930
366,T_3206,59514,35407,152,1261,2266,1598,195,57,5044,10501,360,400,11971,27,1369
367,T_3207,37025,22674,79,936,1190,948,141,64,2737,5553,198,210,9748,32,730
368,T_3208,65755,44009,203,1967,2117,2130,241,63,4806,10666,396,410,19436,28,1366
369,T_3209,51408,32398,149,1475,2042,1767,218,53,4779,7704,325,348,12269,31,1063
370,T_3210,47022,26912,112,994,1874,1108,129,63,3916,7331,231,276,9794,25,889
371,T_3211,61789,43037,221,2095,2103,2428,303,55,5195,8156,519,637,18862,39,2240
372,T_3212,28236,16673,56,568,1037,731,88,41,2702,5814,148,149,4672,11,563
373,T_3213,43740,27583,120,1130,1671,1264,158,46,4131,7496,242,279,10099,24,814
374,T_3214,88775,56417,284,2296,3201,3003,372,79,7878,14666,501,705,20885,46,2234
375,T_3215,55070,32389,151,1271,2006,1415,205,76,4436,9104,289,299,11921,32,1022
376,T_3216,33685,19391,76,754,1184,888,116,35,2749,5478,169,184,7041,15,583
377,T_3217,37754,22593,117,1027,1286,1118,154,29,3260,5285,217,238,8842,25,886
378,T_3218,25581,13939,70,475,881,672,75,36,1835,4046,128,114,5066,9,451
379,T_3261,77068,52026,211,2678,2428,2811,324,87,6010,10701,587,648,23379,51,1924
380,T_3262,280501,194424,918,9815,8574,9711,1290,273,20633,40601,2626,2937,83816,166,12308
381,T_3263,30732,20442,88,890,1060,805,109,44,2294,4207,157,195,9756,12,743
