,teryt_code,eligible_voters,issued_ballots,Bartoszewicz,Biejat,Braun,Holownia,Jakubiak,Maciak,Mentzen,Nawrocki,Senyszyn,Stanowski,Trzaskowski,Woch,Zandberg
95,T_1005,59746,39610,206,1448,2381,1907,366,90,6497,15856,363,464,8294,39,1475
96,T_1006,58497,42740,237,1878,2709,2236,388,67,6103,12889,465,586,13065,44,1908
97,T_1007,56860,40353,135,986,2831,1475,413,81,6346,20026,271,393,6041,28,1141
98,T_1008,90846,64090,331,3325,3602,3452,552,150,7668,17210,728,919,22840,53,2947
99,T_1009,38981,25417,105,800,1803,873,230,67,4431,11115,195,234,4528,15,884
100,T_1010,70774,48389,226,1303,4238,1834,414,103,8401,21762,384,527,7307,45,1606
101,T_1011,32313,20775,105,838,1462,979,164,46,3097,8251,206,219,4646,16,654
102,T_1012,84440,53507,277,1962,3722,2119,402,100,8321,21143,497,509,12446,43,1737
103,T_1013,36544,24329,111,730,1872,1029,245,48,3944,10465,199,252,4579,19,698
104,T_1014,88774,57648,227,2204,3799,2801,448,116,9226,22462,543,607,13072,41,1858
105,T_1015,29479,20675,114,617,1651,872,223,43,3719,9208,205,248,2885,15,763
106,T_1016,86172,59167,282,2010,4160,2667,505,122,8952,22113,516,696,14760,40,2102
107,T_1017,57693,37526,203,1486,2554,1703,318,41,5955,13781,348,397,9199,28,1331
108,T_1018,32418,20296,100,681,1637,1020,183,43,3979,6938,185,262,4444,24,695
109,T_1019,48768,32273,186,1321,2102,1767,242,61,4553,10889,301,410,8857,22,1419
110,T_1020,127565,88511,470,4413,4841,4455,696,172,11607,24750,924,1187,30498,62,4050
111,T_1021,23884,16221,84,591,1230,866,143,44,2554,5963,168,192,3674,15,618
112,T_1061,491800,347351,1640,22263,15220,17011,2386,581,33413,69956,5074,4768,150722,322,22889
113,T_1062,52214,35072,197,1457,2249,1649,297,46,4526,10508,329,477,11713,23,1464
114,T_1063,34626,24815,156,1100,1266,1296,252,46,3055,7118,293,339,8498,29,1268
115,T_1201,82208,58085,268,1256,4461,2733,540,85,10366,25409,381,709,9508,57,2114
116,T_1202,70608,46345,207,855,3910,1919,371,79,8988,20245,313,424,7225,32,1601
117,T_1203,92304,60845,425,2700,3515,3175,476,98,8867,17299,657,817,19794,49,2768
118,T_1204,44720,26637,85,365,2356,988,220,38,4662,13659,163,211,3073,14,701
