,teryt_code,eligible_voters,issued_ballots,Braun,Duda,Jarubas,Komorowski,KorwinMikke,Kowalski,Kukiz,Ogorek,Palikot,Tanajno,Wilk
196,T_1805,93134,45255,364,24001,546,8545,1408,218,8689,786,295,40,133
197,T_1806,49643,23522,174,13534,350,3350,760,179,4347,413,123,37,75
198,T_1807,89925,43552,417,22224,646,8961,1387,273,8180,707,317,48,148
199,T_1808,55529,28192,244,17100,295,3873,869,232,4707,430,193,13,61
200,T_1809,46692,20602,152,9842,574,4514,666,152,3823,431,147,23,51
201,T_1810,63443,34575,389,19732,386,5303,1088,207,6501,436,228,38,111
202,T_1811,108422,53357,558,26301,1047,9671,1602,278,11611,1220,466,47,237
203,T_1812,54429,25167,347,13407,389,3773,1039,281,4978,433,226,23,90
204,T_1813,59529,26986,208,13134,441,5761,790,233,5426,477,246,14,70
205,T_1814,63956,30224,240,15880,692,5420,919,200,5871,474,202,27,100
206,T_1815,58031,30574,310,17895,455,4029,834,159,5903,490,165,25,94
207,T_1816,130755,70710,735,39247,827,11155,2484,419,13622,997,408,91,252
208,T_1817,77232,34523,300,15296,496,8913,963,237,6966,696,303,36,115
209,T_1818,86246,41644,366,19601,493,9048,1530,332,8561,847,428,38,153
210,T_1819,49770,24473,274,13296,365,4094,1000,245,4398,403,115,28,82
211,T_1820,43873,20316,158,9940,432,4086,574,141,4279,368,148,13,59
212,T_1821,23006,10508,81,4997,158,2607,245,50,1901,242,123,12,21
213,T_1861,38202,19426,199,7736,149,5883,682,123,3793,417,255,20,79
214,T_1862,51141,24556,245,9173,156,7367,633,217,5675,555,295,21,84
215,T_1863,142941,80768,977,29901,602,23179,3573,480,18178,1799,1043,163,388
216,T_1864,38845,18743,146,6338,238,6002,602,220,4153,536,262,24,83
217,T_2001,47442,20689,146,8399,354,6235,581,101,3977,433,209,25,96
218,T_2002,116267,57757,639,23945,684,14767,2180,504,12326,1370,586,65,218
219,T_2003,47602,21342,183,8926,333,5748,821,137,3704,917,305,24,70
220,T_2004,38939,15781,145,7226,331,3943,586,134,2846,251,130,18,62
221,T_2005,38584,15302,84,2628,381,6040,857,85,3378,1175,407,19,85
222,T_2006,31441,12925,119,7141,334,2331,352,75,2152,227,50,14,35
223,T_2007,41506,17913,167,10102,304,2856,530,111,3296,296,92,20,57
224,T_2008,34591,13532,113,6218,364,3100,400,111,2637,289,101,16,42
225,T_2009,17129,6902,44,2087,151,2910,230,21,1143,164,86,5,24
226,T_2010,38751,15985,132,6559,329,4728,509,107,2668,568,194,19,56
227,T_2011,58069,24284,225,10321,596,6538,1040,188,4281,625,168,26,89
228,T_2012,29098,12255,105,4846,251,3377,519,73,2498,278,173,22,42
229,T_2013,47375,23368,192,14511,443,3522,572,191,3147,407,115,27,62
230,T_2014,36306,16552,129,8735,281,3369,485,105,2831,307,95,9,58
231,T_2061,226876,123068,1407,40099,885,38957,5219,780,28645,3429,1876,262,576
232,T_2062,48539,23251,274,9848,177,6106,676,156,5119,446,176,25,110
233,T_2063,53638,25333,236,8564,192,8310,932,150,5595,634,368,27,112
234,T_2201,60973,26923,164,8606,278,11072,747,113,4706,586,279,29,86
235,T_2202,74099,34716,214,11984,302,13659,1011,131,5890,856,313,45,113
236,T_2203,46201,18567,93,4421,311,8459,554,92,3463,640,263,25,83
237,T_2204,79725,39358,318,9465,313,16921,1347,188,8648,841,617,121,218
238,T_2205,92679,49185,433,18302,426,18310,1231,258,8318,803,404,80,212
239,T_2206,54376,26660,201,9836,258,10277,557,139,4329,563,185,35,81
240,T_2207,64458,26530,142,7582,237,10527,944,154,5549,756,301,30,108
241,T_2208,50797,23353,178,6321,167,10213,770,105,4233,577,307,27,126
242,T_2209,50352,21318,123,5348,251,9165,637,98,4516,559,300,25,103
243,T_2210,29141,11978,78,2846,197,5439,335,49,2399,292,174,28,58
244,T_2211,63599,33271,307,8498,254,14126,1051,115,7377,613,417,57,163
245,T_2212,75972,30314,148,7897,368,13134,926,147,5877,810,508,49,111
246,T_2213,97151,44502,275,15808,550,16399,1173,214,7962,1078,453,83,220
247,T_2214,88045,40385,273,12057,356,16754,1248,217,7751,795,383,59,195
248,T_2215,154091,79738,713,23334,595,31625,2815,415,16411,1551,994,198,420
249,T_2216,33921,12695,63,3272,217,5528,396,55,2523,339,136,19,33
250,T_2261,357316,202660,1838,49875,1057,91207,7124,884,39119,4075,3712,753,1307
251,T_2262,192140,111364,887,25060,603,52012,3625,640,21599,2551,2172,383,761
252,T_2263,73615,34405,254,8809,250,15073,1020,201,6580,932,756,80,154
253,T_2264,30744,18427,217,4352,89,9018,561,87,2975,356,388,63,122
254,T_2299,83,78,0,18,1,22,0,0,34,2,0,0,0
255,T_2401,122838,59620,348,15051,529,22844,1904,256,14651,2015,1160,119,281
256,T_2402,127526,70731,511,25228,577,23731,2174,295,15051,1451,783,120,314
257,T_2403,141702,74643,556,22247,616,29572,2414,290,14911,1983,1142,108,322
258,T_2404,111338,52258,298,18622,1091,14596,1627,303,12761,1487,731,95,184
259,T_2405,91135,42546,276,13167,334,15294,1386,155,9926,999,452,65,169
260,T_2406,70107,31950,228,11246,579,9285,1098,149,7504,970,433,39,132
261,T_2407,62937,28897,232,10088,242,9625,835,76,6480,690,284,33,106
262,T_2408,75432,40835,284,13607,215,13613,1171,157,9906,945,433,78,160
263,T_2409,58649,26672,199,9399,393,7810,1021,119,6255,741,355,53,115
264,T_2410,85175,48125,342,19669,349,13056,1303,205,11231,962,433,67,204
265,T_2411,87200,35503,270,10148,277,13919,1357,143,7506,878,465,49,127
266,T_2412,60453,30795,177,12175,170,9096,863,127,6780,859,236,36,102
267,T_2413,111287,54933,509,17234,340,19586,1972,169,12352,1250,687,82,241
268,T_2414,46080,24698,218,10554,122,6170,713,85,5899,426,203,39,108
269,T_2415,124554,62842,525,22994,435,19634,1736,266,14255,1685,610,86,209
270,T_2416,99731,46765,227,15931,1009,13998,1528,223,10962,1503,751,57,183
271,T_2417,122303,63878,666,29445,530,17772,1805,240,11031,1118,503,81,220
272,T_2461,136574,75367,678,23462,462,28412,2359,272,15968,1534,1164,166,341
273,T_2462,129023,56580,404,14907,302,20725,2079,256,14824,1405,882,117,250
274,T_2463,85476,40463,297,9139,192,16976,1535,139,9860,1001,616,93,233
275,T_2464,185456,94643,671,28919,639,33359,2945,376,22284,2515,1630,188,410
276,T_2465,99433,48321,257,12503,367,17964,1601,229,11965,1638,1004,94,272
277,T_2466,145096,75715,679,18043,516,31232,2793,256,17871,1893,1237,189,372
278,T_2467,72036,37728,254,14083,232,10123,940,211,10207,830,416,40,138
279,T_2468,74850,36580,238,11513,260,12099,1216,178,8944,977,589,67,213
280,T_2469,240678,127940,901,32948,660,53245,4260,430,27919,3107,2356,333,700
281,T_2470,58535,29662,190,9330,131,9998,878,105,7380,782,417,82,131
282,T_2471,44957,21956,140,7201,102,7590,731,70,5191,427,204,33,83
283,T_2472,110419,53980,309,16811,285,17780,1497,171,14615,1079,610,95,212
284,T_2473,109078,56083,401,18025,289,18553,1887,194,13354,2089,628,86,215
285,T_2474,54472,26710,165,6364,147,11060,973,96,6412,656,416,50,146
286,T_2475,171412,82491,460,21304,667,31523,2663,374,19748,2881,1751,166,367
287,T_2476,40066,17589,128,4681,85,6709,639,64,4372,446,210,35,74
288,T_2477,101685,55243,383,16996,326,18784,1720,217,14108,1181,790,138,291
289,T_2478,137888,58833,384,14681,360,21804,1899,238,16215,1417,880,113,257
290,T_2479,47216,24545,141,8064,145,7725,764,84,6418,642,267,32,102
291,T_2601,61777,27579,111,9861,6340,5363,726,104,3993,506,234,23,93
292,T_2602,71537,31752,169,13081,4965,5626,834,124,5635,710,291,18,88
293,T_2603,29103,10516,35,3940,2151,1978,231,47,1584,306,93,12,83
294,T_2604,166341,80588,531,34599,12605,12699,2745,415,14243,1236,574,72,289
295,T_2605,68923,30868,170,13458,3013,6522,794,182,5305,791,310,25,92
296,T_2606,44955,20172,90,7235,4446,3496,486,91,3304,495,226,16,61
297,T_2607,92756,38474,232,12676,3044,10739,1019,258,8466,1078,567,47,133
298,T_2608,34323,14286,77,4884,3167,2825,465,51,2078,404,155,17,42
299,T_2609,65921,28461,196,10791,3136,6487,839,238,5522,576,308,32,85
300,T_2610,64641,29938,165,10793,2229,8489,854,127,5960,632,318,28,111
301,T_2611,76072,34703,282,13622,2769,8484,1094,202,6799,711,385,34,98
302,T_2612,60312,25990,110,11284,3807,4381,845,121,4473,470,187,29,82
303,T_2613,37967,18191,93,7853,3082,2875,566,65,2957,370,149,14,33
304,T_2661,160675,88144,726,27321,7154,26489,3190,394,18206,2002,1344,192,406
305,T_2801,49461,19383,109,5191,277,7939,588,90,4152,613,216,16,55
306,T_2802,34421,13471,60,3738,188,5617,447,73,2691,370,160,11,38
307,T_2803,52587,21160,121,7736,300,7850,579,80,3396,562,217,18,75
308,T_2804,46051,17021,93,4679,231,6917,600,74,3606,414,199,32,54
309,T_2805,68396,26632,278,8912,331,8566,1120,143,5966,600,334,33,105
310,T_2806,46310,18865,158,4792,264,8329,700,96,3460,507,328,24,68
311,T_2807,73488,31462,194,9964,379,11714,1190,155,6242,843,395,49,128
312,T_2808,52962,20080,101,5686,336,7950,594,117,4161,572,296,25,83
313,T_2809,33970,13635,81,3995,154,5443,466,70,2698,354,168,26,57
314,T_2810,40507,17006,139,4935,232,6378,628,82,3673,464,230,20,83
315,T_2811,26715,10352,62,3785,160,3628,320,51,1763,314,111,5,42
316,T_2812,34472,14760,84,5524,254,5216,346,102,2554,366,126,10,52
317,T_2813,27151,10343,117,3317,129,3656,372,71,2187,227,130,8,43
318,T_2814,97620,40721,329,10653,611,16260,1464,225,8874,1093,599,76,170
319,T_2815,84256,33393,151,8986,349,14273,1043,192,6668,869,424,35,122
320,T_2816,45720,18085,93,6634,288,6070,585,185,3315,398,253,14,91
321,T_2817,56805,23555,197,7713,428,8131,785,157,4835,548,339,26,120
322,T_2818,21827,7778,46,2102,98,3274,249,35,1570,207,98,11,19
323,T_2819,19168,6794,36,1785,107,3097,189,33,1243,167,69,16,18
324,T_2861,95674,44108,267,11902,266,18399,1518,187,9213,1141,618,87,180
325,T_2862,134733,71327,714,17830,589,28718,2805,388,15841,1827,1254,220,434
326,T_3001,37563,17619,74,3945,222,8515,436,92,3205,593,254,28,64
327,T_3002,68988,30229,164,8473,449,13143,764,108,5514,799,356,43,122
328,T_3003,114239,53520,300,15877,734,20142,1473,302,11449,1653,773,82,208
329,T_3004,60769,26506,166,8661,476,9458,795,130,5349,874,270,39,115
330,T_3005,39655,17531,107,5264,319,7370,513,84,2914,555,156,22,87
331,T_3006,56802,25970,113,8397,418,9562,641,92,5536,706,230,34,71
332,T_3007,66202,27662,195,10500,845,7947,844,146,5377,1087,321,49,134
333,T_3008,44744,21308,119,6750,344,8618,472,93,3923,549,230,26,77
334,T_3009,71531,29879,167,12681,625,8545,777,167,5279,941,313,35,123
335,T_3010,102361,43207,239,19013,807,11518,1095,208,8030,1237,480,54,169
336,T_3011,62975,28389,129,8457,520,11772,836,123,5008,809,288,44,141
337,T_3012,61240,27522,140,8802,697,10660,801,112,4798,898,266,37,100
338,T_3013,42431,18838,94,5618,384,7345,541,88,3734,600,193,26,75
339,T_3014,29245,12330,79,2982,197,5734,292,57,2214,442,149,26,47
340,T_3015,58046,27283,188,7244,321,12707,802,111,4454,794,326,41,113
341,T_3016,45585,21177,130,5385,271,9649,538,113,3887,612,284,43,89
342,T_3017,129119,60583,434,19631,1054,22432,1900,226,11733,1702,751,113,234
343,T_3018,43814,19305,125,6136,473,7034,596,81,3739,632,238,30,96
344,T_3019,107548,51514,290,14361,575,20072,1705,216,11112,1578,750,74,250
345,T_3020,50011,22395,101,7159,497,8578,587,114,4150,698,222,25,94
346,T_3021,272496,146218,1016,32618,1247,68984,4531,591,28744,3155,2721,432,827
347,T_3022,48038,20814,137,5734,493,8887,634,93,3647,696,259,24,86
348,T_3023,48061,20871,105,7253,456,7096,511,70,4093,693,252,24,87
349,T_3024,71564,32244,169,8459,409,14336,792,98,5951,1103,382,65,142
350,T_3025,44947,21605,109,6158,313,8575,764,135,4229,644,307,60,99
351,T_3026,47459,21965,118,6195,330,8818,726,100,4316,742,311,42,111
352,T_3027,67586,31056,168,12964,596,8238,808,125,6337,1063,330,37,102
353,T_3028,54341,23205,118,6139,552,9873,645,100,4399,824,254,32,72
354,T_3029,44324,21496,163,5736,383,9507,815,101,3665,593,253,42,86
355,T_3030,60141,27804,146,8438,394,10875,743,94,5624,783,320,55,115
356,T_3031,54941,23580,84,6410,362,9999,801,87,4313,866,269,27,81
357,T_3061,81661,41159,289,11045,332,17196,1257,135,8370,1342,680,58,201
358,T_3062,61864,31319,149,10425,242,11321,770,109,6309,992,518,49,145
359,T_3063,50255,24734,128,5740,220,11256,842,106,4888,816,390,52,114
360,T_3064,419262,232249,1844,50798,1210,113937,7850,897,40887,5222,4954,955,1428
361,T_3201,38374,14460,64,3962,170,5950,365,64,3005,479,208,26,51
362,T_3202,39960,14462,63,3885,224,6148,439,57,2846,416,230,14,47
363,T_3203,47432,18755,82,5054,255,7980,527,106,3638,525,286,20,82
364,T_3204,65750,27115,138,6789,321,11218,926,108,5967,867,406,34,78
365,T_3205,49663,20142,96,5289,297,8430,582,71,4123,618,297,17,54
366,T_3206,66117,26292,162,7511,259,10847,924,136,5032,719,371,30,73
367,T_3207,39541,16627,93,3926,179,7663,440,63,3295,513,275,15,54
368,T_3208,65217,30251,152,7503,295,13325,810,128,6391,764,562,27,124
369,T_3209,52746,22412,132,5662,296,9374,716,102,4874,635,349,19,75
370,T_3210,53300,20963,116,6261,250,8690,706,83,3869,521,234,18,75
371,T_3211,56705,27944,187,6418,169,11660,1112,126,6588,711,546,77,132
372,T_3212,32006,12875,51,4234,261,4585,402,48,2657,302,166,17,36
373,T_3213,46226,19144,107,5398,263,7713,543,80,4084,439,315,26,68
374,T_3214,95001,42223,230,11489,372,16493,1558,185,9440,1135,715,58,167
375,T_3215,62160,26078,141,7490,280,10021,959,123,5442,832,420,22,127
376,T_3216,38829,15121,75,4149,193,6255,382,70,3113,510,220,17,55
377,T_3217,42583,17817,72,4303,231,7851,501,71,3658,545,284,24,95
378,T_3218,29915,10760,56,2849,254,4578,324,43,2047,302,160,12,37
379,T_3261,85575,44342,262,9984,388,19120,1347,167,10154,1397,934,70,232
380,T_3262,308005,155069,1173,38973,1003,64577,5759,749,33072,3951,3278,446,753
381,T_3263,33449,16157,76,3683,99,6775,457,75,3909,509,325,24,53
