,teryt_code,eligible_voters,issued_ballots,Duda,Trzaskowski
275,T_2464,168613,115746,51415,64472
276,T_2465,90460,61102,25251,35820
277,T_2466,131136,88718,34512,54335
278,T_2467,66078,42195,26031,16900
279,T_2468,69220,45292,21273,24115
280,T_2469,219590,150282,57971,92727
281,T_2470,54459,36304,18013,18287
282,T_2471,41462,26916,14163,12762
283,T_2472,101814,64348,32879,31412
284,T_2473,102295,67286,35092,32667
285,T_2474,48856,31886,13192,18689
286,T_2475,152089,100540,41023,59432
287,T_2476,36003,21321,9969,11333
288,T_2477,93694,65060,29777,35454
289,T_2478,123491,69999,31315,38561
290,T_2479,45350,30161,15847,14527
291,T_2601,59874,38655,26350,12340
292,T_2602,69417,46023,33354,12730
293,T_2603,27848,16298,11808,4562
294,T_2604,168224,115483,82043,33194
295,T_2605,65935,43949,29903,13999
296,T_2606,42681,26551,19676,6869
297,T_2607,85436,52474,30807,21757
298,T_2608,33373,20851,14368,6502
299,T_2609,63074,39840,25624,14145
300,T_2610,59094,38565,21772,16813
301,T_2611,70510,45486,28248,17530
302,T_2612,58610,37933,27822,10082
303,T_2613,36916,24815,17987,6747
304,T_2661,148221,104078,49605,54478
305,T_2801,45659,25784,12815,12851
306,T_2802,32703,18188,8855,9299
307,T_2803,51118,31147,18251,12768
308,T_2804,44260,25185,12630,12519
309,T_2805,68316,38417,19230,19112
310,T_2806,51250,34036,13164,20771
311,T_2807,72749,45508,24284,21194
312,T_2808,48984,27754,13297,14466
313,T_2809,32068,18567,8746,9783
314,T_2810,44514,28739,12301,16325
315,T_2811,25712,15453,8947,6466
316,T_2812,33813,21045,13289,7678
317,T_2813,26310,14780,8099,6648
318,T_2814,102598,64291,26776,37273
319,T_2815,82783,50488,22612,27755
320,T_2816,48736,29517,15861,13512
321,T_2817,59223,37022,19242,17674
322,T_2818,20901,11738,5522,6229
323,T_2819,19728,12309,5222,7021
324,T_2861,87762,56545,24050,32363
325,T_2862,129254,90694,32530,58029
326,T_3001,36237,24348,9534,14715
327,T_3002,66619,43304,19536,23751
328,T_3003,111104,74745,35281,39430
329,T_3004,58630,36678,21447,15364
330,T_3005,39133,25625,13447,12134
331,T_3006,54736,35803,20240,15572
332,T_3007,65605,43802,29489,14341
333,T_3008,43493,24679,15222,13587
334,T_3009,67938,44089,29921,14124
335,T_3010,102839,68624,46776,21734
336,T_3011,61284,40877,20086,20780
337,T_3012,59050,37959,21501,16536
338,T_3013,44542,29779,14325,15395
339,T_3014,29065,18815,7720,11074
340,T_3015,57387,39153,16737,22294
341,T_3016,44606,29852,12543,17281
342,T_3017,124958,84162,43455,40665
343,T_3018,43444,28313,15789,12842
344,T_3019,102006,67301,29249,37934
345,T_3020,48722,32177,18506,13730
346,T_3021,296370,224369,73009,151678
347,T_3022,46565,29415,15078,14316
348,T_3023,47761,31153,18236,12867
349,T_3024,71074,48514,20009,28397
350,T_3025,45068,30323,14969,15256
351,T_3026,46781,31018,14786,16119
352,T_3027,65773,43229,28868,14415
353,T_3028,53313,34643,16326,18251
354,T_3029,44306,30923,14675,16000
355,T_3030,59459,40386,20589,19769
356,T_3031,53195,31992,14746,17194
357,T_3061,74433,51533,21119,30383
358,T_3062,57280,39002,18860,20126
359,T_3063,46988,33072,11226,21808
360,T_3064,411294,306625,86290,221266
361,T_3201,35833,21004,9503,11510
362,T_3202,37447,21972,10747,11162
363,T_3203,45419,27295,12174,15046
364,T_3204,64509,40054,17601,22334
365,T_3205,59476,40016,16715,23291
366,T_3206,62701,38860,19046,19730
367,T_3207,48668,33954,13147,20808
368,T_3208,78463,56323,21819,34388
369,T_3209,63762,43602,17722,25746
370,T_3210,50165,30402,13750,16631
371,T_3211,58100,40666,14194,26500
372,T_3212,30372,18355,10568,7770
373,T_3213,54886,37492,16419,20998
374,T_3214,91185,59125,26550,32612
375,T_3215,59455,35931,16825,19150
376,T_3216,35989,21001,10218,10754
377,T_3217,40538,25174,10437,14683
378,T_3218,27963,16052,7793,8254
379,T_3261,80659,55870,19766,36310
380,T_3262,291294,203296,73873,129521
381,T_3263,34480,24247,8229,15915
