,teryt_code,eligible_voters,issued_ballots,PO,LEWICA,TD,KONFEDERACJA,NK,POLEXIT,PLSP,PIS,RNP,BSNPWNE,GSP
209,T_1817,72895,26288,8179,686,1058,3543,0,51,0,12404,0,206,0
210,T_1818,80682,31775,7573,660,1276,3575,0,69,0,18028,0,387,0
211,T_1819,47932,17133,3109,264,654,2972,0,70,0,9775,0,183,0
212,T_1820,41681,14477,2595,230,881,2049,0,29,0,8402,0,182,0
213,T_1821,22383,8708,2854,212,270,1131,0,19,0,4071,0,85,0
214,T_1861,35251,14646,5951,468,476,1700,0,41,0,5797,0,159,0
215,T_1862,45042,16809,6631,412,594,2229,0,39,0,6587,0,209,0
216,T_1863,150347,70599,28770,2794,3592,9938,0,155,0,24070,0,1058,0
217,T_1864,35149,13631,5782,406,590,1315,0,31,0,5150,0,282,0
218,T_2001,44538,15115,4106,374,1236,2330,62,52,0,6726,0,132,0
219,T_2002,120989,49329,14752,1274,4220,7392,260,125,0,20595,0,438,0
220,T_2003,42271,14322,3482,578,1576,1962,54,33,0,6418,0,130,0
221,T_2004,35796,11031,2039,178,1480,1544,25,21,0,5586,0,73,0
222,T_2005,34044,10236,3797,747,1524,1469,73,52,0,2332,0,150,0
223,T_2006,29610,9148,1045,93,1138,1658,23,14,0,5035,0,69,0
224,T_2007,40110,13583,1751,129,1265,2540,35,34,0,7650,0,73,0
225,T_2008,31323,9299,1843,147,810,1607,39,27,0,4675,0,91,0
226,T_2009,15773,4539,1426,141,528,626,19,7,0,1726,0,40,0
227,T_2010,34515,11322,2647,370,1084,1908,46,22,0,5068,0,97,0
228,T_2011,51532,16770,3872,355,1486,2682,62,33,0,7997,0,167,0
229,T_2012,28146,9017,1933,173,795,1876,51,39,0,3987,0,96,0
230,T_2013,43832,17128,1981,155,1518,3270,42,32,0,9843,0,171,0
231,T_2014,33895,11758,1749,131,1834,1793,24,34,0,6029,0,73,0
232,T_2061,211580,96245,38775,3965,8355,11792,433,209,0,31521,0,803,0
233,T_2062,44937,17361,5300,328,1757,1836,53,32,0,7868,0,101,0
234,T_2063,51756,18120,7067,443,1195,2203,76,54,0,6830,0,158,0
235,T_2201,58897,20331,8230,494,1320,1821,0,64,0,8075,0,199,0
236,T_2202,72464,26537,11311,611,1119,2838,0,96,0,10161,0,228,0
237,T_2203,42914,13373,6691,385,640,1325,0,59,0,3979,0,146,0
238,T_2204,91167,38432,20413,1533,2585,4170,0,142,0,8846,0,520,0
239,T_2205,105964,44151,18360,1114,2060,5680,0,137,0,16049,0,545,0
240,T_2206,54819,21296,8646,506,959,2413,0,89,0,8386,0,174,0
241,T_2207,61128,19569,8940,775,755,2223,0,77,0,6379,0,263,0
242,T_2208,48920,19505,9771,595,928,1743,0,60,0,6076,0,225,0
243,T_2209,46664,16135,8290,684,716,1548,0,55,0,4497,0,260,0
244,T_2210,29660,11712,6141,461,478,1081,0,36,0,3352,0,105,0
