,teryt_code,eligible_voters,issued_ballots,PO,ZER,KONFEDERACJA,PSL,PRAWICA,PIS,LIROY,SLD,BIS,MN
57,T_0605,37088,22331,1331,0,1177,1460,0,17032,0,946,120,0
58,T_0606,53057,27530,3943,0,1636,2656,0,16648,0,1997,283,0
59,T_0607,76382,42777,5386,0,2095,5434,0,26351,0,2562,358,0
60,T_0608,70489,40991,4432,0,3679,4336,0,25045,0,2426,603,0
61,T_0609,121567,73886,10785,0,5275,9308,0,42433,0,4456,908,0
62,T_0610,44265,25338,4325,0,1933,2023,0,15061,0,1356,352,0
63,T_0611,83226,49604,4351,0,2941,5146,0,33301,0,2384,833,0
64,T_0612,48455,25417,3076,0,1495,2706,0,15665,0,1783,331,0
65,T_0613,28340,15413,1795,0,1008,2152,0,9023,0,972,238,0
66,T_0614,92349,56170,11348,0,4371,4477,0,29971,0,4634,789,0
67,T_0615,47448,26835,2236,0,1465,3681,0,16962,0,1426,614,0
68,T_0616,44868,26703,2820,0,1356,3671,0,15991,0,2258,318,0
69,T_0617,56693,33835,6137,0,2204,3304,0,18855,0,2628,420,0
70,T_0618,68734,35812,3161,0,1963,5565,0,22372,0,1962,346,0
71,T_0619,31594,16786,2380,0,894,2978,0,8731,0,1397,143,0
72,T_0620,87264,46781,3732,0,2427,5812,0,30871,0,2426,832,0
73,T_0661,44418,27402,8794,0,1821,1568,0,13100,0,1667,268,0
74,T_0662,49999,28368,8252,0,1774,1744,0,12991,0,3112,269,0
75,T_0663,262775,174097,55194,0,13486,9609,0,73579,0,18719,2458,0
76,T_0664,50726,28917,5990,0,1725,3122,0,14093,0,3398,367,0
77,T_0801,54478,30978,9721,0,2420,3063,0,10588,0,4697,0,0
78,T_0802,42919,22806,6111,0,1170,5011,0,7087,0,3001,0,0
79,T_0803,45660,25432,6978,0,1770,3602,0,8585,0,4024,0,0
80,T_0804,66082,37409,10958,0,2748,4138,0,13776,0,5121,0,0
81,T_0805,35997,19435,6562,0,1365,1842,0,6160,0,3151,0,0
82,T_0806,38522,19729,5188,0,1130,3012,0,7607,0,2455,0,0
83,T_0807,27277,14086,3750,0,1058,1511,0,5550,0,1913,0,0
84,T_0808,42974,24004,7198,0,1788,3050,0,8307,0,3274,0,0
85,T_0809,58487,33316,10006,0,2505,3779,0,10931,0,5506,0,0
86,T_0810,61228,32243,8195,0,2384,3751,0,12642,0,4767,0,0
87,T_0811,74698,39776,11282,0,3318,4998,0,13831,0,5732,0,0
88,T_0812,30222,16027,3320,0,1023,1856,0,7587,0,1964,0,0
89,T_0861,93039,57537,22314,0,4266,3195,0,18551,0,8624,0,0
90,T_0862,105352,71770,25372,0,4545,8135,0,18986,0,14112,0,0
91,T_1001,88570,56579,6527,0,5594,3930,0,33413,0,6475,0,0
92,T_1002,78510,44229,7812,0,2294,3467,0,22804,0,6534,723,0
