,teryt_code,eligible_voters,issued_ballots,PO,ZER,KONFEDERACJA,PSL,PRAWICA,PIS,LIROY,SLD,BIS,MN
175,T_1462,92579,59428,17144,0,2985,7210,0,23951,0,7001,635,0
176,T_1463,160150,103913,29160,0,6361,6091,0,49314,953,10468,935,0
177,T_1464,59557,38832,8171,125,2966,3498,0,19096,0,4150,539,0
178,T_1465,1392416,1074004,458611,0,68041,52754,0,301624,0,186453,0,0
179,T_1498,174,173,77,0,23,14,0,38,0,21,0,0
180,T_1499,349810,316464,122389,0,35779,12915,0,78218,0,64960,0,0
181,T_1601,69849,39277,8954,0,2498,5979,0,17178,0,4042,0,148
182,T_1602,36712,18832,4348,0,904,1468,0,10016,0,1633,0,167
183,T_1603,72793,37845,11564,0,2299,2828,0,12344,0,4492,0,3690
184,T_1604,52271,26606,6061,0,1657,3705,0,10639,0,2877,0,1304
185,T_1605,50162,23149,5793,0,1347,1909,0,6568,0,2253,0,4780
186,T_1606,33838,18724,3923,0,1029,3038,0,8141,0,2110,0,167
187,T_1607,110473,58772,13259,0,2953,5427,0,27933,0,8115,0,349
188,T_1608,51954,25576,4881,0,1420,2816,0,10528,0,2756,0,2779
189,T_1609,98153,48280,12861,0,2547,5227,0,13953,0,4527,0,8264
190,T_1610,43544,21757,4190,0,1168,1950,0,9634,0,2046,0,2363
191,T_1611,60447,28213,7106,0,1458,1870,0,9000,0,2322,0,5874
192,T_1661,99340,65494,25630,0,3896,5684,0,17065,0,10526,0,2209
193,T_1801,18443,9599,2064,0,729,1095,0,4719,0,858,0,0
194,T_1802,52182,29211,2367,0,1898,1536,0,21872,0,1192,0,0
195,T_1803,106401,63821,8768,0,4509,5179,0,41279,259,3107,0,0
196,T_1804,96003,55421,8707,0,3345,4582,0,35874,0,2154,0,0
197,T_1805,91554,52404,7386,0,3745,2507,0,35592,0,2542,0,0
198,T_1806,49533,27595,1885,0,2677,1835,0,19712,107,1080,0,0
199,T_1807,90734,52169,7026,0,3633,3949,0,33987,0,2932,0,0
200,T_1808,54805,31855,2701,0,2512,1712,0,23421,91,1146,0,0
201,T_1809,45267,24065,1521,0,1641,3404,0,15208,0,1954,0,0
202,T_1810,63498,39674,4049,0,3356,2850,0,27119,197,1782,0,0
203,T_1811,106690,63707,8609,0,4067,6647,0,39459,401,3854,0,0
204,T_1812,53574,28697,2197,0,2376,1717,0,19985,168,1938,0,0
205,T_1813,59462,31674,3693,0,2233,3394,0,20400,0,1395,0,0
206,T_1814,63104,35875,3793,0,2148,3336,0,24544,0,1540,0,0
207,T_1815,58327,35810,2504,0,2571,3288,0,25488,130,1407,0,0
208,T_1816,131843,83192,8949,0,7056,6042,0,55706,442,4220,0,0
209,T_1817,75096,41305,9352,0,2391,2425,0,24240,0,2399,0,0
