,teryt_code,eligible_voters,issued_ballots,SAMOOBRONA,NP,PO,PJN,PPP,PSL,PRAWICA,PIS,RP,SLD,MN
365,T_3209,51572,21239,0,0,9012,310,148,2000,0,3602,2571,1864,0
366,T_3213,45922,18110,0,0,7650,297,118,1661,0,3356,2366,1265,0
367,T_3215,62608,26114,0,0,12077,402,177,1120,0,5632,2585,2449,0
368,T_3216,39486,15635,0,0,5316,223,96,1127,0,3404,1843,2325,0
369,T_3217,43255,18687,0,0,8367,337,154,1207,0,2998,1903,2441,0
370,T_3261,86854,48143,0,0,23224,772,299,1109,0,9229,6349,5575,0
371,T_3204,65185,27782,0,365,11857,360,183,2059,188,4704,3282,3050,0
372,T_3205,49471,20550,0,211,8639,218,97,2767,49,3190,1846,2144,0
373,T_3206,66393,26258,0,565,10382,753,150,1196,76,5739,2391,3091,0
374,T_3207,39844,17067,0,194,7903,233,124,1023,42,2961,1845,1684,0
375,T_3210,53895,21410,0,242,8899,256,103,1441,65,4497,2001,2568,0
376,T_3211,53930,28119,0,512,13109,516,106,635,69,5309,3771,2792,0
377,T_3212,32385,12444,0,103,4068,242,79,1380,47,2726,1320,1536,0
378,T_3214,95596,42550,0,583,17475,748,173,1984,182,8927,4755,5011,0
379,T_3218,30508,10993,0,109,4709,191,70,744,44,1907,1151,1199,0
380,T_3262,316217,175553,0,3224,83355,3292,665,3063,579,39208,20792,16161,0
381,T_3263,33819,17213,0,182,7728,253,65,253,38,3361,1957,2929,0
