,teryt_code,eligible_voters,issued_ballots,SAMOOBRONA,NP,PO,PJN,PPP,PSL,PRAWICA,PIS,RP,SLD,MN
236,T_2209,50554,22266,102,0,9985,379,119,1577,0,4550,2585,1613,0
237,T_2210,28844,11311,53,0,5096,142,70,1145,0,2144,1130,743,0
238,T_2213,96974,42530,149,0,15910,1046,318,4572,0,11680,3223,2633,0
239,T_2214,88205,39426,101,0,16754,865,186,3954,0,9899,3010,2126,0
240,T_2216,34253,12069,78,0,4914,179,82,1195,0,2239,1258,1040,0
241,T_2261,360163,221141,343,0,123336,4454,877,3482,0,52857,19286,10844,0
242,T_2264,32245,21175,21,0,12317,378,59,224,0,5059,1752,886,0
243,T_2299,104,98,0,0,34,5,0,3,0,22,23,2,0
244,T_2201,60485,25739,0,0,11327,646,128,2272,0,5988,1932,1914,0
245,T_2202,73361,35218,0,0,14789,731,215,1814,0,10131,2817,2740,0
246,T_2203,46319,19143,0,0,7349,348,125,2642,0,3083,2094,2000,0
247,T_2205,87220,45300,0,0,18385,1329,244,4623,0,13820,2470,1969,0
248,T_2206,53657,25065,0,0,9735,653,134,1804,0,7680,1888,1782,0
249,T_2208,50752,23789,0,0,10261,722,122,1430,0,5002,2477,2394,0
250,T_2211,60990,31209,0,0,15195,737,165,1982,0,6657,2671,1951,0
251,T_2212,75492,29643,0,0,12458,656,220,2083,0,5676,3396,3255,0
252,T_2215,149191,78804,0,0,36827,2292,422,3836,0,19937,6819,4652,0
253,T_2262,195826,123035,0,0,65452,3362,598,2109,0,27276,11938,8693,0
254,T_2263,76100,39770,0,0,18467,947,201,890,0,8397,4762,4840,0
255,T_2402,124872,68337,0,0,26479,1442,419,6150,591,20759,5760,3564,0
256,T_2403,140115,72239,0,0,32167,1249,426,3709,545,17015,7916,5690,0
257,T_2410,84345,42751,0,0,15082,1256,314,2788,380,14698,3899,2207,0
258,T_2417,121744,61150,0,0,19323,1060,303,6201,536,22764,3974,3247,0
259,T_2461,139887,81722,0,0,38420,1815,451,2295,683,22916,7789,5173,0
260,T_2404,110539,49365,0,864,13211,867,444,7175,0,12874,6304,4636,0
261,T_2406,69845,30144,0,540,7067,400,230,5510,0,7524,3339,3710,0
262,T_2407,62688,27052,0,598,10258,688,241,2086,0,7453,2338,1660,0
263,T_2409,59008,25287,0,403,7888,369,368,2065,0,7273,3675,1892,0
264,T_2464,193215,103702,0,2209,40076,2471,592,2852,0,26305,14393,11649,0
265,T_2405,91803,40371,0,0,18184,903,285,3645,0,9223,3445,2459,0
266,T_2413,112507,53256,0,0,24099,1332,399,3217,0,13388,4610,3879,0
267,T_2462,135743,60681,0,0,28470,1391,577,2047,0,14182,6906,4564,0
268,T_2466,149804,79037,0,0,40826,1740,510,2088,0,16751,8680,6005,0
269,T_2478,144254,59879,0,0,28693,1161,614,3031,0,12180,6679,5025,0
270,T_2408,75022,39175,0,930,18233,924,230,1016,130,10785,3568,1677,0
271,T_2411,89620,36075,0,578,18457,1032,190,1574,169,7027,3349,1695,0
272,T_2412,60202,27615,0,521,10719,804,202,742,88,9076,2091,1693,0
273,T_2415,125969,59383,0,842,24228,3115,374,2905,157,15943,4438,4290,0
274,T_2467,73514,35778,0,656,11729,742,151,1315,107,10820,3231,5440,0
275,T_2473,111753,56135,0,1168,25475,1269,434,1055,129,15614,4779,3881,0
276,T_2479,48230,23390,0,405,9683,562,131,599,62,6239,2348,2232,0
277,T_2414,45741,23288,0,585,8283,870,201,1074,0,8147,1958,1047,0
278,T_2463,88185,43106,0,869,21664,1392,438,1216,0,8258,4759,2843,0
279,T_2469,249350,140380,0,3267,69506,5556,1013,4284,0,29409,14819,8439,0
280,T_2470,60072,30980,0,655,13146,1108,247,939,0,7857,3529,2121,0
281,T_2471,46882,22301,0,423,9956,815,164,441,0,6138,2049,1228,0
282,T_2472,114165,54763,0,1020,23901,1923,480,1121,0,15120,5288,3567,0
283,T_2474,56564,27956,0,563,13884,1090,193,462,0,5698,3169,1823,0
284,T_2476,42258,18381,0,344,8779,650,199,391,0,3997,1986,1290,0
285,T_2477,104407,57124,0,1353,25899,2210,507,1309,0,14113,6327,3346,0
286,T_2401,125263,62473,0,0,26393,1357,420,2079,466,11855,9102,7994,0
