,teryt_code,eligible_voters,issued_ballots,Duda,Komorowski
355,T_3030,59971,32289,14521,17300
356,T_3031,54852,26341,10244,15702
357,T_3061,81158,46880,18361,27871
358,T_3062,61755,35904,17114,18133
359,T_3063,50091,27675,9319,17950
360,T_3064,421979,266536,82860,179627
361,T_3201,38291,17333,6961,10143
362,T_3202,40084,17450,6797,10451
363,T_3203,47203,21501,8289,13014
364,T_3204,65393,31264,12161,18578
365,T_3205,50782,24407,9793,14138
366,T_3206,65936,30851,12885,17469
367,T_3207,40650,19708,7209,12260
368,T_3208,67980,36885,14136,22274
369,T_3209,53333,26618,10447,15761
370,T_3210,53023,24506,10001,14196
371,T_3211,56533,31494,11499,19477
372,T_3212,31954,14821,7201,7411
373,T_3213,46766,22713,9683,12742
374,T_3214,94788,47201,19471,27028
375,T_3215,61819,29271,13007,15829
376,T_3216,38676,17537,7110,10214
377,T_3217,42373,20360,7408,12606
378,T_3218,29701,12762,4937,7598
379,T_3261,85047,49275,17802,30751
380,T_3262,307156,175704,67821,105031
381,T_3263,34069,17894,6468,11150
