,teryt_code,eligible_voters,issued_ballots,UPR,PSL,SAMOOBRONA,PPP,LIBERTAS,SLDUP,ZIELONI,PRAWICA,PO,PIS,PPS,PIAST
77,T_0802,45395,7401,53,409,161,116,70,1528,144,73,3471,1190,0,0
78,T_0803,47912,8664,96,558,215,100,97,2013,103,124,3536,1550,0,0
79,T_0804,69756,12929,303,920,198,187,129,2152,152,163,5558,2895,0,0
80,T_0805,36700,6385,54,415,133,86,88,1160,108,58,2894,1230,0,0
81,T_0806,40382,5861,48,468,147,88,69,1101,90,91,2436,1153,0,0
82,T_0807,28724,4603,47,459,124,38,76,884,38,88,1745,954,0,0
83,T_0808,44409,7820,119,468,134,106,109,1429,113,139,3449,1563,0,0
84,T_0809,72315,14131,168,940,197,143,137,2640,184,193,6756,2383,0,0
85,T_0810,66225,10985,139,1394,256,136,133,1830,188,160,4435,2045,0,0
86,T_0811,79550,13637,154,577,239,192,207,2461,168,173,6310,2850,0,0
87,T_0812,30518,5300,61,296,88,58,52,565,63,82,2118,1773,0,0
88,T_0861,100327,24043,254,549,181,157,206,6422,195,326,9774,5591,0,0
89,T_0862,94028,29625,302,444,144,150,145,6615,333,284,15438,5439,0,0
90,T_1001,91314,17485,212,869,391,419,211,2266,400,280,5608,6424,0,0
91,T_1002,85567,15471,163,1465,717,130,133,2232,355,245,5345,4268,0,0
92,T_1003,40942,7490,57,919,221,57,64,952,148,116,2588,2193,0,0
93,T_1004,44128,7421,64,864,836,50,73,829,193,74,2156,2066,0,0
94,T_1005,66953,12431,124,2346,345,90,97,1379,238,185,3578,3692,0,0
95,T_1006,53150,12303,147,626,204,72,117,1185,312,135,5194,4099,0,0
96,T_1007,63007,13442,100,2738,719,98,124,1257,243,376,2499,4932,0,0
97,T_1008,97855,24436,254,1369,233,179,163,2928,700,216,11349,6676,0,0
98,T_1009,42972,6181,69,760,324,65,62,785,105,61,1519,2243,0,0
99,T_1010,71649,12215,110,1876,688,94,162,817,160,290,2640,5046,0,0
100,T_1011,34509,5717,47,1076,354,40,56,675,159,39,1478,1637,0,0
101,T_1012,95638,16122,138,1682,332,144,146,2471,286,250,5093,5145,0,0
102,T_1013,40265,7720,44,1074,212,36,49,672,100,329,1497,3536,0,0
103,T_1014,98130,18348,142,2119,619,149,301,2509,469,190,5967,5409,0,0
104,T_1015,30322,5288,48,1491,228,31,56,243,59,97,847,2030,0,0
105,T_1016,98025,21121,150,2053,527,130,156,2721,427,316,6778,7359,0,0
106,T_1017,63601,11868,118,1869,448,81,120,1304,232,134,3878,3333,0,0
107,T_1018,33734,6072,54,1591,208,48,50,621,94,83,1611,1521,0,0
108,T_1019,54554,10566,78,582,149,90,108,1216,238,108,4455,3340,0,0
109,T_1020,131682,30745,313,1125,667,230,298,3627,1131,232,14273,8242,0,0
110,T_1021,24849,4892,46,836,132,38,107,383,108,71,1470,1592,0,0
111,T_1061,605839,195408,2033,2124,1068,989,1140,27999,9280,1521,103812,42916,0,0
112,T_1062,63664,15917,181,380,133,121,118,2389,362,315,6917,4676,0,0
113,T_1063,39300,9880,85,556,72,72,77,1463,282,303,4246,2572,0,0
114,T_1201,79035,20054,219,1193,155,77,199,928,249,436,6636,9608,0,0
115,T_1202,70658,17776,169,1198,203,94,285,699,267,622,4516,9321,0,0
116,T_1203,104550,25765,287,654,195,178,183,4065,780,261,10452,8156,0,0
117,T_1204,46839,9969,46,1693,157,38,132,413,94,438,1676,5054,0,0
118,T_1205,86188,19924,182,1176,268,120,176,1579,215,217,5272,10199,0,0
119,T_1206,197081,47802,660,2733,383,191,442,2685,737,458,18467,20224,0,0
120,T_1207,92741,25804,178,3271,251,138,748,721,197,406,4644,14679,0,0
121,T_1208,41216,7043,75,1315,240,52,72,822,140,60,1363,2723,0,0
122,T_1209,90727,21391,298,899,143,119,384,897,237,323,6342,11370,0,0
123,T_1210,152621,42459,403,2344,432,185,356,1770,336,791,8207,26709,0,0
124,T_1211,141928,31815,361,846,325,174,282,1217,344,471,10398,16730,0,0
125,T_1212,93833,20952,326,771,293,154,161,2800,399,208,7220,8156,0,0
126,T_1213,124434,34060,270,2829,200,283,250,3823,500,337,13708,11177,0,0
127,T_1214,35009,5697,45,1612,187,31,56,337,61,38,1135,2055,0,0
128,T_1215,64559,13343,135,685,146,117,110,606,144,150,4048,6848,0,0
129,T_1216,150241,35070,281,2522,376,203,770,1246,416,818,8479,19059,0,0
130,T_1217,52954,13806,90,301,88,38,108,605,293,153,5425,6548,0,0
131,T_1218,123117,28983,230,1509,252,220,301,2201,434,372,10373,12433,0,0
132,T_1219,84474,21012,267,1454,116,91,202,1157,308,223,8215,8645,0,0
133,T_1261,591312,230834,3453,2394,556,680,1526,22079,6046,2178,115778,73967,0,0
134,T_1262,66982,22597,338,337,73,52,107,2578,312,360,8214,9919,0,0
135,T_1263,95130,30830,290,503,100,144,240,2827,796,440,13568,11502,0,0
136,T_1401,26528,4208,45,790,196,25,135,257,56,61,880,1673,0,0
137,T_1402,73796,13638,137,2518,267,97,192,1722,393,203,4174,3591,0,0
138,T_1403,83964,16186,282,2981,367,121,255,638,402,965,3893,5924,0,0
139,T_1404,38346,6454,38,1615,141,64,109,476,117,76,1834,1791,0,0
140,T_1405,64480,18672,206,1449,149,79,175,1434,506,927,9076,4462,0,0
141,T_1406,78523,15924,158,3669,522,112,735,960,356,263,3833,5003,0,0
142,T_1407,51632,8827,109,1117,428,68,286,641,184,154,2488,3157,0,0
143,T_1408,78549,24709,234,756,107,104,199,2031,670,979,14165,5160,0,0
144,T_1409,30580,4365,43,1337,240,46,104,532,77,71,646,1133,0,0
145,T_1410,26794,4993,42,1875,168,27,52,186,253,86,700,1475,0,0
146,T_1411,37745,7378,53,2641,173,105,81,424,100,103,1189,2305,0,0
147,T_1412,112510,26973,323,3069,329,188,370,1551,753,784,10947,8148,0,0
148,T_1413,58821,9241,61,1892,245,80,135,960,196,97,2715,2614,0,0
