,teryt_code,eligible_voters,issued_ballots,UPR,PSL,SAMOOBRONA,PPP,LIBERTAS,SLDUP,ZIELONI,PRAWICA,PO,PIS,PPS,PIAST
328,T_3004,60027,10636,110,1796,371,84,156,1760,255,426,3301,2081,0,0
329,T_3005,38346,7148,98,939,243,83,83,888,278,278,2659,1330,0,0
330,T_3006,56335,10895,131,1402,306,132,128,1839,235,360,3694,2281,0,0
331,T_3007,64271,10072,87,2445,502,89,135,1251,205,559,2167,2309,0,0
332,T_3008,43889,9295,88,1795,219,85,94,1115,103,705,3123,1692,0,0
333,T_3009,71611,12244,163,2348,488,120,289,1580,337,391,3057,3080,0,0
334,T_3010,97127,14529,166,1798,815,153,243,2190,365,396,3996,3903,0,0
335,T_3011,61892,12193,177,1060,345,146,133,1865,393,310,4941,2310,0,0
336,T_3012,60955,12144,107,2704,339,130,107,1442,201,652,3898,2157,0,0
337,T_3013,39585,6835,112,728,245,62,141,1451,174,233,2115,1290,0,0
338,T_3014,28796,5090,52,488,108,60,54,725,461,96,2081,791,0,0
339,T_3015,56469,12135,118,1218,259,126,120,1377,408,223,5702,2151,0,0
340,T_3016,44458,9755,92,1004,214,86,106,1687,392,494,3746,1590,0,0
341,T_3017,127524,29599,241,3769,433,247,279,5630,451,744,9948,7100,0,0
342,T_3018,43044,8772,75,3691,181,48,125,897,127,367,1836,1145,0,0
343,T_3019,107657,25114,263,1412,478,222,241,4690,983,492,10537,5132,0,0
344,T_3020,49280,9201,83,1605,324,92,117,1327,203,375,2898,1822,0,0
345,T_3021,240767,68994,911,2833,926,467,617,6124,3083,1514,40144,10891,0,0
346,T_3022,47777,8461,116,1030,271,92,110,1486,200,328,3247,1273,0,0
347,T_3023,47253,8651,77,1892,337,99,124,1013,536,200,2447,1610,0,0
348,T_3024,70199,14255,179,1246,370,162,168,1804,892,284,6237,2424,0,0
349,T_3025,43625,9088,127,889,204,102,128,1451,334,262,3712,1554,0,0
350,T_3026,46684,9965,99,761,203,93,113,1403,388,211,4666,1754,0,0
351,T_3027,66850,12063,154,1095,545,151,207,1848,352,227,3667,3394,0,0
352,T_3028,53497,10627,118,1442,578,117,112,1897,387,186,3637,1802,0,0
353,T_3029,43012,8590,83,1013,228,110,115,1278,277,204,3325,1612,0,0
354,T_3030,59467,12793,410,1266,361,191,124,1754,625,391,4910,2433,0,0
355,T_3031,54761,10848,126,922,323,135,113,1997,239,200,4106,2296,0,0
356,T_3061,86025,23876,275,932,146,171,150,4284,693,1319,10994,4539,0,0
357,T_3062,64131,17602,160,378,148,99,127,5103,602,397,6421,3801,0,0
358,T_3063,51017,13867,186,203,75,63,194,4537,310,354,5404,2255,0,0
359,T_3064,439612,165776,1978,2225,1032,1018,1249,18474,7968,3596,97891,28019,0,0
360,T_3201,38623,6226,61,270,179,67,68,1019,71,66,2923,1315,0,0
361,T_3202,40556,5729,62,1006,170,54,91,998,89,55,2180,869,0,0
362,T_3203,47705,7832,100,466,248,98,86,1390,99,116,3504,1497,0,0
363,T_3204,64433,11792,138,667,235,170,174,2282,127,427,5464,1784,0,0
364,T_3205,50149,9191,99,578,249,114,152,1860,83,120,4013,1711,0,0
365,T_3206,66234,10707,433,565,410,135,173,1725,131,144,4453,2219,0,0
366,T_3207,40034,7865,90,360,144,96,199,1664,124,107,3621,1296,0,0
367,T_3208,63260,15518,99,428,198,98,139,2869,147,133,7419,3664,0,0
368,T_3209,51534,8973,124,828,285,87,86,1296,122,119,4312,1471,0,0
369,T_3210,54119,8740,104,588,318,118,143,1506,102,92,3747,1827,0,0
370,T_3211,51646,12194,177,456,87,94,361,2270,230,129,5975,2136,0,0
371,T_3212,32290,4780,38,444,225,66,95,904,105,49,1754,1006,0,0
372,T_3213,46113,7729,77,1200,357,132,60,1033,79,84,3159,1346,0,0
373,T_3214,95707,18970,195,848,326,180,282,3489,404,235,8814,3785,0,0
374,T_3215,62665,11860,136,602,246,136,143,1917,126,142,5716,2394,0,0
375,T_3216,39723,6731,66,472,213,88,84,1270,98,94,2759,1390,0,0
376,T_3217,43370,7584,78,425,145,102,72,1397,123,88,3740,1184,0,0
377,T_3218,30668,4285,34,282,273,64,75,772,59,98,1847,644,0,0
378,T_3261,87065,25170,224,500,306,151,287,5085,387,243,13087,4488,0,0
379,T_3262,320523,91793,1296,2633,711,784,3599,19637,1504,1109,39372,19439,0,0
380,T_3263,33722,8846,84,182,54,73,138,2544,86,96,3785,1668,0,0
381,T_3299,54,54,2,5,0,1,6,7,0,0,18,9,0,0
