,teryt_code,eligible_voters,issued_ballots,PO,PPP,SAMOOBRONA,SLDUP,UPR,NKWW,IDP,WSP,PIS,LPR,OKO,UW,PSL,KPEIRPLD,RACJA,PPN,ROB,ZIELONI,NOP,RDP,DPL
339,T_1606,34333,7278,1175,61,1113,837,144,31,56,166,1422,966,21,165,664,42,58,0,25,42,15,0,0
340,T_1607,117442,20859,3723,136,3134,2924,693,1651,137,579,1391,3559,80,637,903,173,237,0,86,114,39,0,0
341,T_1608,54409,6760,1734,49,1296,789,200,51,50,244,480,712,21,248,373,52,72,0,29,45,23,0,0
342,T_1609,105911,11954,4365,117,1111,1065,473,100,112,304,1022,1281,80,423,499,106,119,0,58,108,44,0,0
343,T_1610,47556,7581,1821,82,1298,902,269,43,56,203,556,1394,22,205,238,54,65,0,31,50,23,0,0
344,T_1611,64945,7728,2454,80,787,891,281,37,78,242,673,918,32,300,176,82,87,0,42,108,54,0,0
345,T_1661,99824,24080,10123,64,808,2899,1239,106,206,949,2268,2243,111,1339,310,330,242,0,66,273,38,0,0
346,T_0801,48685,7532,1383,49,1451,606,91,386,47,432,938,818,41,288,429,61,0,0,114,0,0,0,64
347,T_0802,44942,6131,1320,107,985,817,56,75,51,355,520,740,135,193,253,68,0,0,110,0,0,0,86
348,T_0803,46841,7705,1500,69,1204,1079,139,44,41,432,774,1009,63,347,367,75,0,0,121,0,0,0,74
349,T_0804,68754,10906,2503,58,1773,1074,440,48,74,598,901,1737,58,467,416,91,0,0,154,0,0,0,112
350,T_0805,35708,5182,1288,40,793,536,69,43,41,279,521,622,42,171,242,57,0,0,90,0,0,0,50
351,T_0806,39540,5557,955,32,1274,446,47,20,40,352,597,505,44,487,318,68,0,0,69,0,0,0,64
352,T_0807,28145,4381,824,34,785,386,53,23,17,241,519,620,29,155,233,29,0,0,186,0,0,0,41
353,T_0808,43851,6908,1584,49,908,664,97,53,40,404,624,1152,47,342,398,78,0,0,112,0,0,0,84
354,T_0809,67760,10125,2539,72,1351,986,267,58,99,587,841,1479,74,442,499,88,0,0,168,0,0,0,123
355,T_0810,65934,9669,1932,76,2187,1203,105,51,58,511,683,1360,56,305,351,89,0,0,173,0,0,0,115
356,T_0811,78457,11233,2335,71,1618,1939,118,449,55,490,883,1578,98,327,395,124,0,0,153,0,0,0,128
357,T_0812,29308,4521,893,29,802,440,74,32,13,180,426,778,69,189,223,44,0,0,69,0,0,0,42
358,T_0861,99675,20742,5251,61,1785,2246,350,82,95,1506,4996,1880,72,1140,251,112,0,0,217,0,0,0,204
359,T_0862,93508,22083,6863,72,1223,2660,277,58,193,2029,2340,3349,103,1492,443,123,0,0,216,0,0,0,181
360,T_3201,37335,5423,1121,33,1133,450,48,35,18,261,615,622,30,179,352,54,0,0,76,0,0,0,187
361,T_3202,40475,5247,1179,27,1098,613,50,54,29,239,440,418,45,248,405,55,0,0,52,0,0,0,84
362,T_3203,47028,6963,1348,62,1357,879,84,65,34,331,595,787,63,477,275,60,0,0,158,0,0,0,74
363,T_3204,61692,10024,2175,66,1704,1302,130,551,83,388,860,942,66,315,584,113,0,0,141,0,0,0,198
364,T_3205,48645,7507,1710,62,1108,929,69,103,56,297,641,839,46,375,512,76,0,0,216,0,0,0,213
365,T_3206,64726,10156,2090,59,1504,942,568,134,86,422,1481,1143,76,331,423,284,0,0,107,0,0,0,118
366,T_3207,38886,6304,1665,60,913,769,86,69,54,333,595,652,59,260,238,52,0,0,80,0,0,0,215
367,T_3208,60493,12045,2061,43,1176,1074,119,52,34,478,4488,875,38,530,289,57,0,0,99,0,0,0,224
368,T_3209,48703,7450,1746,51,1742,573,104,57,24,454,552,751,52,253,372,170,0,0,106,0,0,0,100
369,T_3210,53246,8260,1394,56,1371,736,87,129,34,355,760,1151,55,957,354,164,0,0,127,0,0,0,237
370,T_3211,46384,8814,2738,21,743,775,151,157,142,588,1157,685,82,970,167,57,0,0,82,0,0,0,89
371,T_3212,31943,5078,885,27,1061,476,52,40,30,279,374,736,16,249,429,97,0,0,73,0,0,0,63
372,T_3213,45264,6625,1284,48,2015,528,63,45,19,332,429,616,37,244,284,71,0,0,91,0,0,0,257
373,T_3214,93969,16506,4990,98,2420,1768,184,161,100,727,1286,2199,112,637,501,120,0,0,195,0,0,0,454
374,T_3215,61478,10501,3214,42,1557,1589,102,85,20,450,740,1115,55,468,370,75,0,0,138,0,0,0,127
375,T_3216,39556,6040,1057,43,1292,615,67,34,29,278,762,643,32,222,291,55,0,0,305,0,0,0,51
376,T_3217,43218,6860,1703,50,1012,753,82,31,29,516,605,731,49,472,260,102,0,0,136,0,0,0,63
377,T_3218,30510,4207,664,23,742,405,45,49,39,243,233,446,23,213,730,84,0,0,55,0,0,0,36
378,T_3261,87283,20558,6337,66,2476,2129,323,188,64,2192,1849,2107,64,1403,339,190,0,0,153,0,0,0,246
379,T_3262,323035,80804,24385,248,4762,9920,1500,1544,2080,5560,9540,9244,664,6683,1096,690,0,0,701,0,0,0,969
380,T_3263,33699,6738,1924,16,543,1014,265,49,35,528,661,733,43,393,125,83,0,0,58,0,0,0,139
381,T_3299,122,116,18,2,8,7,5,2,2,4,10,2,7,11,3,3,0,0,2,0,0,0,1
