,teryt_code,eligible_voters,issued_ballots,BS,TD,LEWICA,PIS,KONFEDERACJA,PO,PJJ,DIP,NK,ANTYPARTIA,RNP,MN
220,T_2003,41433,28107,232,5013,1416,11620,2685,6088,319,163,0,0,0,0
221,T_2004,34932,22146,224,3581,792,11291,2028,3127,453,83,0,0,0,0
222,T_2005,34229,22624,230,5345,1762,5751,2169,6334,234,275,0,0,0,0
223,T_2006,28893,18215,193,2697,509,10411,1678,1798,451,117,0,0,0,0
224,T_2007,39077,26098,268,3383,572,15083,2653,2863,602,164,0,0,0,0
225,T_2008,30259,18635,204,3159,551,9594,2067,2336,273,53,0,0,0,0
226,T_2009,15207,9738,146,2056,528,3888,774,1855,118,142,0,0,0,0
227,T_2010,33506,21339,212,3620,908,9580,2069,3995,332,177,0,0,0,0
228,T_2011,50227,32527,355,5470,1136,16054,3156,5064,492,121,0,0,0,0
229,T_2012,27064,18417,267,3294,787,8518,2017,2601,344,125,0,0,0,0
230,T_2013,42840,30305,301,4182,626,18368,3082,2686,537,66,0,0,0,0
231,T_2014,33061,22291,213,4075,639,11456,2091,2948,387,60,0,0,0,0
232,T_2061,215144,167133,1884,36932,10921,51738,15980,44811,2391,619,0,0,0,0
233,T_2062,43912,31104,303,4668,1088,13645,2596,7825,529,78,0,0,0,0
234,T_2063,49986,34919,611,5998,1794,12838,3143,9256,558,200,0,0,0,0
235,T_2201,57426,38786,637,4567,2831,14115,2919,12153,755,0,0,0,0,0
236,T_2202,71034,50707,908,6825,3717,18623,4057,14630,1003,0,0,0,0,0
237,T_2203,41687,27461,552,3536,2367,8519,1919,9449,421,0,0,0,0,0
238,T_2204,90985,70603,1112,11726,5044,15536,5000,29913,1050,0,0,0,0,0
239,T_2205,105414,82479,1336,11425,4950,27074,7016,25536,3797,0,0,0,0,0
240,T_2206,53688,39690,645,5669,2372,14799,2929,11517,975,0,0,0,0,0
241,T_2207,59656,39692,799,5064,4200,12573,2789,12588,558,0,0,0,0,0
242,T_2208,47011,33666,513,4334,2772,9795,2435,12632,602,0,0,0,0,0
243,T_2209,45807,31554,587,4871,2764,8719,2038,11551,307,0,0,0,0,0
244,T_2210,27425,18868,362,2563,1291,5354,1168,7445,201,0,0,0,0,0
245,T_2211,68212,52252,946,7813,3743,14785,3750,19431,962,0,0,0,0,0
246,T_2212,72802,49085,781,6250,3991,14963,3460,17829,763,0,0,0,0,0
247,T_2213,92744,64909,1024,9059,4208,24295,4506,18713,1423,0,0,0,0,0
248,T_2214,82523,58287,984,9303,4163,18388,4074,19034,934,0,0,0,0,0
249,T_2215,162157,124290,2126,17170,9099,34376,9926,47236,2687,0,0,0,0,0
250,T_2216,30459,18867,357,2571,1379,6158,1036,6416,206,0,0,0,0,0
251,T_2261,369589,301518,3434,43187,32730,59689,16843,139254,3230,0,0,0,0,0
252,T_2262,183307,148582,2049,20127,16573,29843,8136,68851,1726,0,0,0,0,0
253,T_2263,63200,46387,591,5077,4472,12817,2656,19645,623,0,0,0,0,0
254,T_2264,27963,22718,212,2255,2188,4606,952,12095,208,0,0,0,0,0
255,T_2401,112981,86035,1425,8412,18337,23026,4727,27780,1258,0,0,0,0,0
256,T_2402,126062,99357,1541,15562,7428,34373,8083,28405,2535,0,275,0,0,0
257,T_2403,136796,102046,2199,16415,9225,33164,7873,29118,2351,0,314,0,0,0
258,T_2404,105199,78408,1930,11797,6550,31150,5145,18841,1103,0,0,0,0,0
259,T_2405,85729,61363,1273,8918,4542,19845,4462,19121,2147,0,0,0,0,0
260,T_2406,65800,48270,826,11540,3335,18305,3109,9138,921,0,0,0,0,0
261,T_2407,59587,40914,926,5585,1957,15178,3151,11873,1210,0,0,0,0,0
262,T_2408,74306,57878,1001,8802,3562,17937,4613,19872,1299,0,0,0,0,0
263,T_2409,54328,39709,667,4711,3650,15575,2671,10913,668,0,0,0,0,0
264,T_2410,82589,64288,1236,7863,4233,26331,5181,16571,1874,0,198,0,0,0
265,T_2411,78721,50684,952,6613,3262,18228,3714,15510,1238,0,0,0,0,0
266,T_2412,57856,42644,985,5324,2646,17983,3594,10148,1127,0,0,0,0,0
267,T_2413,107314,79355,1351,11523,6027,25530,5273,26359,2268,0,0,0,0,0
268,T_2414,44674,34124,743,4335,1964,14735,2880,8029,946,0,0,0,0,0
269,T_2415,115529,84095,2055,9403,4848,33985,6719,23473,2191,0,0,0,0,0
270,T_2416,90704,66965,996,7896,8351,25589,4653,17518,908,0,0,0,0,0
271,T_2417,116066,86647,1421,10764,5060,40169,6673,18832,2020,0,252,0,0,0
272,T_2461,125690,98839,1286,14174,8655,29469,7099,34751,2170,0,203,0,0,0
273,T_2462,109262,75154,1428,9135,7665,23072,5202,25903,1533,0,0,0,0,0
274,T_2463,74222,53850,1023,6533,4762,14475,3593,21636,1075,0,0,0,0,0
275,T_2464,160015,123073,2426,14065,15005,37548,7180,43548,1744,0,0,0,0,0
276,T_2465,88190,67526,886,5937,17745,18465,3408,19450,878,0,0,0,0,0
277,T_2466,129416,99874,1665,12558,9764,25641,6515,40642,1907,0,0,0,0,0
278,T_2467,63206,45548,1122,4360,3757,19120,3414,11968,980,0,0,0,0,0
279,T_2468,67099,50480,854,4963,8077,15465,3326,16295,834,0,0,0,0,0
280,T_2469,218075,171998,2856,21672,17239,44275,10440,70649,2796,0,0,0,0,0
281,T_2470,53416,40461,751,5006,3576,13831,2947,13181,659,0,0,0,0,0
282,T_2471,39782,29277,443,2610,1614,10665,1714,11205,539,0,0,0,0,0
283,T_2472,98989,71928,1362,10618,4936,25188,4868,22606,1341,0,0,0,0,0
284,T_2473,98859,73307,1810,8990,5651,26184,5692,22238,1686,0,0,0,0,0
285,T_2474,47853,35799,508,4397,3092,9599,2144,13650,1917,0,0,0,0,0
286,T_2475,147145,111722,1338,10013,29136,29844,5398,33476,1295,0,0,0,0,0
287,T_2476,34432,23891,494,2850,1856,7551,1671,8601,435,0,0,0,0,0
288,T_2477,91441,71892,1308,11804,5470,22139,4983,24039,1343,0,0,0,0,0
289,T_2478,118388,77561,1661,9547,7675,22739,5482,27686,1349,0,0,0,0,0
290,T_2479,45367,34091,722,4033,2391,11793,2781,11195,627,0,0,0,0,0
291,T_2601,57929,40580,1253,6285,2407,20034,2260,6680,576,117,71,0,0,0
292,T_2602,65945,46339,1065,6395,2490,24479,2952,7171,537,164,67,0,0,0
293,T_2603,26759,17045,258,3084,826,8941,1023,2246,146,132,21,0,0,0
294,T_2604,164814,120033,4600,14416,6966,60133,8931,19611,2199,323,269,0,0,0
295,T_2605,61775,43463,1002,4941,3836,21827,2569,7522,633,91,68,0,0,0
296,T_2606,40074,26756,546,3687,1391,14720,1877,3208,325,104,82,0,0,0
297,T_2607,80764,54774,1162,7728,4269,23048,3253,13145,571,307,116,0,0,0
298,T_2608,30969,20901,600,3019,1236,10502,1272,3401,237,75,35,0,0,0
299,T_2609,59344,40145,537,8663,2169,18483,2541,6237,407,145,86,0,0,0
300,T_2610,55774,40139,947,4193,2917,15828,2322,12450,537,141,98,0,0,0
301,T_2611,66999,46795,1118,5783,2954,21237,3213,10688,531,229,112,0,0,0
302,T_2612,55186,37950,1064,4611,1884,20783,2705,5300,501,115,86,0,0,0
303,T_2613,35318,24918,459,3776,1335,13917,1588,2902,240,130,50,0,0,0
304,T_2661,144403,112834,4350,14394,10368,36334,6691,37380,1650,237,183,0,0,0
305,T_2801,42268,26747,356,3186,1760,9420,1523,9183,329,0,79,0,0,0
306,T_2802,29423,18699,245,2839,1375,6509,1204,5578,267,0,64,0,0,0
307,T_2803,47967,32269,531,4560,2496,13595,2152,7483,316,0,98,0,0,0
308,T_2804,42452,27368,415,3982,1991,9330,1722,8660,309,0,106,0,0,0
309,T_2805,63813,40396,741,5627,2570,14511,3301,11943,722,0,0,0,0,0
310,T_2806,41467,28175,746,4477,1863,8554,1783,9606,359,0,0,0,0,0
311,T_2807,68794,47402,701,8438,3202,16836,3499,12771,490,0,135,0,0,0
312,T_2808,45107,27943,527,3809,2289,9528,1759,8799,355,0,0,0,0,0
313,T_2809,29627,19034,358,2484,1282,6340,1248,6450,208,0,61,0,0,0
314,T_2810,36613,24538,523,4069,1370,7672,1612,8101,509,0,0,0,0,0
315,T_2811,23998,15629,299,1973,1010,6542,1092,3921,223,0,0,0,0,0
316,T_2812,32190,21974,301,5035,1069,9160,1717,3720,246,0,65,0,0,0
317,T_2813,23995,14737,304,2180,723,5504,1134,4198,250,0,0,0,0,0
318,T_2814,97957,67556,1224,11824,5555,18811,4743,22491,948,0,0,0,0,0
319,T_2815,76368,51026,698,7628,4448,15961,3244,16745,515,0,148,0,0,0
320,T_2816,40834,25777,653,3619,1192,11296,1678,6278,319,0,0,0,0,0
321,T_2817,52829,35131,557,6488,2542,12673,2351,8738,537,0,0,0,0,0
322,T_2818,18881,11698,414,1792,742,4086,659,3495,131,0,0,0,0,0
