,teryt_code,eligible_voters,issued_ballots,BS,TD,LEWICA,PIS,KONFEDERACJA,PO,PJJ,DIP,NK,ANTYPARTIA,RNP,MN
70,T_0618,62858,40689,1044,4762,1716,22389,3143,5719,948,154,0,0,0,0
71,T_0619,29281,19670,328,3090,1319,8724,1372,3813,415,89,0,0,0,0
72,T_0620,81462,54733,1421,6365,2327,30491,4332,6705,1585,349,0,0,0,0
73,T_0661,42256,31240,512,3505,1996,12589,2250,8863,950,142,0,0,0,0
74,T_0662,45531,31367,528,3312,2316,12185,2078,9707,670,127,0,0,0,0
75,T_0663,257526,195119,2835,34490,14776,63744,14736,58388,3784,540,0,0,0,0
76,T_0664,45930,32251,531,4633,2350,13401,2173,7913,722,131,0,0,0,0
77,T_0801,54222,39331,890,5699,3814,10202,2968,14316,413,0,0,78,0,0
78,T_0802,40830,28024,595,3867,1846,7366,1589,11646,223,0,0,58,0,0
79,T_0803,42919,29701,840,5053,2620,8322,1947,9659,260,0,0,70,0,0
80,T_0804,62801,43885,945,6253,3289,13464,2693,15551,569,0,0,98,0,0
81,T_0805,35993,25346,534,3434,3230,6243,1678,9232,248,0,0,42,0,0
82,T_0806,36211,24250,422,4732,1811,7528,1332,7291,324,0,0,41,0,0
83,T_0807,25903,17638,757,2272,1165,5587,1160,5743,167,0,0,42,0,0
84,T_0808,41249,29218,715,4573,2256,8285,1988,10239,339,0,0,60,0,0
85,T_0809,56889,40709,1200,6161,3441,10269,2793,15150,438,0,0,85,0,0
86,T_0810,56558,38086,846,5634,3051,12222,2334,12495,400,0,0,88,0,0
87,T_0811,69712,47802,939,6480,4352,13575,3280,17473,437,0,0,122,0,0
88,T_0812,28678,19390,354,3043,1330,7238,1239,5315,274,0,0,44,0,0
89,T_0861,86213,64116,1300,9248,6042,16297,4057,25109,847,0,0,221,0,0
90,T_0862,103739,82084,1617,11484,9664,16932,4614,35872,855,0,0,107,0,0
91,T_1001,84311,63994,2627,7072,4374,29072,6524,11539,984,372,0,0,0,0
92,T_1002,72674,51462,927,5427,4657,22508,2871,13042,534,187,0,0,0,0
93,T_1003,38758,29207,395,4362,2087,11950,1928,7350,381,123,0,0,0,0
94,T_1004,38870,27231,478,3225,1522,13050,1879,5760,354,151,0,0,0,0
95,T_1005,60190,44572,737,7244,2774,20205,4178,7532,585,138,0,0,0,0
96,T_1006,57888,46435,658,6103,3994,16604,3275,14477,783,0,0,0,0,0
97,T_1007,57146,43233,606,6263,1875,24437,3197,5361,481,149,0,0,0,0
98,T_1008,91368,71546,1061,8951,7759,22126,4426,24560,933,479,0,0,0,0
99,T_1009,39358,28874,379,4610,1680,14939,1829,4232,320,143,0,0,0,0
100,T_1010,70688,52544,845,8225,2591,27191,3975,7656,715,204,0,0,0,0
101,T_1011,32585,23655,391,4613,1371,10717,1364,3971,439,87,0,0,0,0
102,T_1012,85438,61584,1435,6269,3727,28181,3742,15700,729,383,0,0,0,0
103,T_1013,37200,27010,419,4695,1287,12863,2278,4226,411,75,0,0,0,0
104,T_1014,89584,65564,1243,9344,3962,29300,4453,14256,1240,215,0,0,0,0
105,T_1015,29784,23046,442,3516,1441,11898,1918,2698,464,86,0,0,0,0
106,T_1016,86678,65811,1149,9223,4021,27981,4384,16648,772,226,0,0,0,0
107,T_1017,58142,42863,585,6591,2613,19392,2661,9383,634,140,0,0,0,0
108,T_1018,32988,23808,349,3954,1610,9804,1945,4452,509,628,0,0,0,0
109,T_1019,49182,36588,494,5825,1974,14292,2245,10357,594,117,0,0,0,0
110,T_1020,128176,99830,1614,13167,9179,32748,6604,33143,1224,367,0,0,0,0
111,T_1021,24008,18154,315,2523,1364,8004,1299,4058,258,0,0,0,0,0
112,T_1061,499671,396615,4651,45657,50412,97825,20854,168992,4446,0,0,0,0,0
113,T_1062,53424,40126,565,4873,3273,14161,2378,13737,471,100,0,0,0,0
114,T_1063,35400,28006,509,4343,2751,9145,1851,8518,430,92,0,0,0,0
115,T_1201,81728,61797,713,11450,2065,31630,4914,8666,1417,0,0,0,0,0
116,T_1202,70436,49226,628,8077,1679,25387,4476,6708,1368,0,0,0,0,0
117,T_1203,93368,70074,1128,10088,5865,24663,4647,21772,912,0,0,0,0,0
118,T_1204,44970,28278,385,4237,698,17241,1979,2728,439,0,0,0,0,0
119,T_1205,82316,56783,1170,8087,2142,28917,4475,9272,1730,0,0,0,0,0
120,T_1206,221819,173724,2561,28138,11170,67763,14616,43605,3052,0,0,0,0,0
121,T_1207,98010,71562,1495,9631,1759,42203,6059,6547,2722,0,0,0,0,0
122,T_1208,37909,26513,411,3876,1534,13701,1976,3825,625,0,0,0,0,0
123,T_1209,98121,75062,1078,12318,2750,36454,7010,12430,1825,0,0,0,0,0
124,T_1210,163827,121751,3461,11708,3192,70795,11059,14627,4977,0,0,0,0,0
125,T_1211,146968,97061,2559,10033,2979,50009,8773,16161,4623,0,0,0,0,0
126,T_1212,84150,63323,1486,9017,6217,26009,4422,14142,948,0,0,0,0,0
127,T_1213,115061,87990,1949,12165,7028,33439,5960,24715,1569,0,0,0,0,0
128,T_1214,33742,23509,268,4631,919,12240,1908,2601,368,0,0,0,0,0
129,T_1215,64175,46012,664,5886,1902,22869,4113,8681,1049,0,0,0,0,0
130,T_1216,152814,106571,1697,17133,3327,58720,8518,12665,2711,0,0,0,0,0
131,T_1217,58090,41433,1057,4854,1612,18205,3236,9714,2169,0,0,0,0,0
132,T_1218,121841,91301,1668,14128,4491,38883,7024,20810,2738,0,0,0,0,0
133,T_1219,103342,81567,1158,17636,4301,29656,6658,19428,1721,0,0,0,0,0
134,T_1261,613943,503138,6958,86662,64712,124957,37421,171227,6491,0,0,0,0,0
135,T_1262,60529,45710,901,5174,1910,19458,3699,12483,1655,0,0,0,0,0
136,T_1263,81545,58993,717,12065,3163,21559,3788,15894,1256,0,0,0,0,0
137,T_1401,26125,19778,277,2491,825,10992,1421,2976,227,78,0,0,0,0
138,T_1402,67241,48632,823,7065,3098,22320,3226,10444,716,0,0,0,0,0
139,T_1403,82911,64410,1122,9102,2442,34815,5118,8726,1443,0,103,0,85,0
140,T_1404,34253,24133,501,3263,1193,11396,1469,5436,284,0,0,0,0,0
141,T_1405,76274,62797,1386,10327,4348,17995,4528,22552,1024,0,0,0,0,0
142,T_1406,80216,61872,881,12782,4064,24464,4404,12891,848,473,0,0,0,0
143,T_1407,46815,34671,521,4728,1678,17297,2397,6625,535,173,0,0,0,0
144,T_1408,95373,79420,1780,11383,5689,22696,5101,30993,1049,0,0,0,0,0
145,T_1409,26091,17496,424,2321,943,9634,1184,2270,252,54,0,0,0,0
146,T_1410,23294,16529,208,2572,743,9159,1470,1594,335,0,42,0,21,0
