,teryt_code,eligible_voters,issued_ballots,Bochniarz,Borowski,Bubel,Ilasz,Kaczynski,Kalinowski,KorwinMikke,Lepper,Pyszko,Slomka,Tusk,Tyminski
75,T_0664,53948,26149,316,3215,40,63,11292,438,483,2826,21,16,7250,37
76,T_0801,49669,21860,333,2486,21,68,5837,270,203,4424,14,22,7951,42
77,T_0802,45019,18501,262,2612,19,54,3720,193,235,3578,21,11,7620,49
78,T_0803,47219,20575,394,3003,25,69,4482,325,250,3950,12,9,7826,54
79,T_0804,68983,31663,448,3870,39,77,8166,443,395,5801,18,21,12123,67
80,T_0805,36160,15761,281,1987,13,41,3337,205,148,2750,7,11,6783,37
81,T_0806,39961,16273,235,2036,11,31,3470,324,140,3936,7,7,5878,34
82,T_0807,28042,11719,197,1249,9,29,2860,243,174,2672,7,13,4141,31
83,T_0808,43883,19361,372,2456,16,51,4821,264,258,2862,17,10,8082,39
84,T_0809,68675,30722,553,3755,49,104,7126,383,429,4749,28,23,13205,65
85,T_0810,66039,26862,419,3754,32,77,5928,425,346,5066,20,14,10525,53
86,T_0811,79063,31863,467,3848,35,98,7280,360,401,5266,25,24,13746,66
87,T_0812,29725,13571,227,1427,12,57,3421,252,165,3245,12,12,4615,45
88,T_0861,99767,51274,897,7469,55,91,16126,272,744,4460,44,23,20758,54
89,T_0862,94068,51974,1182,9092,46,91,13261,306,949,3244,22,13,23442,72
90,T_1001,88803,44102,614,4301,82,109,16343,823,698,10607,47,39,10005,66
91,T_1002,86393,38629,458,4439,72,79,11129,1113,508,11417,18,13,8967,82
92,T_1003,40690,18493,216,1954,34,44,5553,619,335,5387,5,15,4164,27
93,T_1004,44354,18907,145,1603,42,33,4777,746,190,7141,5,9,4006,38
94,T_1005,66876,30586,303,2817,53,74,9670,1713,342,8111,16,26,7159,51
95,T_1006,50818,25773,335,2097,34,43,9701,550,497,4930,23,13,7341,35
96,T_1007,62119,31977,262,2124,50,97,10247,1313,316,11822,17,27,5369,42
97,T_1008,97427,49657,844,5873,73,88,17036,742,1130,5990,19,34,17414,70
98,T_1009,42567,18460,195,1551,43,42,5648,547,221,6704,14,15,3308,33
99,T_1010,70611,33714,295,1690,59,80,10817,1528,321,13356,11,12,5172,56
100,T_1011,34505,15042,126,1262,21,24,3557,764,130,6330,6,8,2636,41
101,T_1012,95418,42489,535,3944,85,119,12653,1178,545,13203,21,21,9705,82
102,T_1013,39791,17231,177,1396,35,29,4929,801,179,6209,13,26,3273,34
103,T_1014,97314,47232,550,4801,70,134,13231,1815,521,15474,20,25,10148,90
104,T_1015,29901,14296,101,724,21,26,4342,1038,125,5714,9,9,2028,19
105,T_1016,97903,48379,602,5078,91,102,15703,1421,665,11197,39,34,12934,49
106,T_1017,62578,29646,362,3088,42,67,8274,1333,383,8582,17,14,7169,57
107,T_1018,33382,15484,153,1277,20,57,4174,747,160,5186,7,12,3558,25
108,T_1019,53888,26252,356,2886,55,59,8773,551,444,5038,12,17,7793,40
109,T_1020,129817,62682,936,7542,116,126,20583,980,1067,10489,39,39,20203,101
110,T_1021,24487,11607,134,933,15,18,3754,494,152,3672,10,9,2295,26
111,T_1061,626835,337391,6066,54798,562,502,101266,2361,7877,23354,221,183,137173,784
112,T_1062,64150,34375,465,4753,61,94,12420,335,579,4551,23,25,10794,57
113,T_1063,38628,20109,315,3176,47,60,6386,341,416,2082,20,12,7107,27
114,T_1201,76126,40502,336,2080,26,65,19694,922,458,5396,22,23,11141,40
115,T_1202,68281,35011,267,1478,42,59,17520,732,360,4484,21,16,9733,38
116,T_1203,103995,52012,669,6818,56,137,16908,445,836,5910,16,35,19686,95
117,T_1204,45472,21160,163,750,14,32,10808,1010,168,4640,12,6,3376,30
118,T_1205,83601,40569,291,2529,44,104,17849,956,510,7373,28,17,10500,61
119,T_1206,187976,95352,832,4890,88,167,40244,1576,1442,11536,42,42,33777,110
120,T_1207,89029,46174,291,1647,41,113,25930,965,367,6151,21,23,10211,45
121,T_1208,41442,16940,132,1416,23,30,4457,769,178,6392,14,9,3298,33
122,T_1209,86532,45495,301,1772,46,78,23014,609,653,4987,25,20,13607,59
123,T_1210,145498,79758,475,2789,65,166,45810,1472,619,10213,47,42,17424,90
124,T_1211,136466,65832,437,2196,83,150,31575,753,634,6776,39,25,22660,71
125,T_1212,92832,44512,576,5185,54,110,14455,671,799,8820,23,15,13376,85
126,T_1213,122421,65980,815,7084,52,144,25780,836,904,5849,46,33,23879,102
127,T_1214,34390,13672,89,750,8,15,3893,825,146,5440,5,12,2380,17
128,T_1215,62842,32337,240,1269,32,69,15649,471,282,3904,15,26,10034,69
129,T_1216,144386,72979,492,2553,66,136,39246,1739,592,10998,34,40,16461,90
130,T_1217,52785,26974,202,1056,36,29,12208,208,276,1690,7,13,11046,30
131,T_1218,119251,62531,632,3925,56,137,27501,928,630,6894,27,27,21285,97
132,T_1219,79254,40818,312,1933,36,66,17861,574,606,3249,15,20,15834,37
133,T_1261,593748,352682,4322,31233,293,385,125232,1644,7969,10257,110,121,169169,256
134,T_1262,65599,37341,426,3310,33,76,18057,303,714,2003,21,19,12116,49
135,T_1263,95029,50162,664,4867,42,73,21564,334,984,2275,14,27,18985,51
136,T_1401,25950,11871,70,583,18,24,4270,509,97,3867,7,6,2292,15
137,T_1402,72607,32766,315,3602,42,68,10479,1256,334,8216,15,15,8178,41
138,T_1403,82018,41283,367,2191,70,89,16373,1678,414,10910,33,30,8771,63
139,T_1404,37781,16626,194,1395,32,39,5059,869,140,5228,14,7,3497,32
140,T_1405,61586,32771,396,2672,57,55,12035,469,565,2588,23,21,13661,38
141,T_1406,77322,35727,317,2626,75,65,12962,1890,351,9422,18,18,7666,49
142,T_1407,50965,23455,201,1627,42,62,8227,725,293,7008,3,15,5054,31
143,T_1408,74114,41038,535,4248,47,56,14547,875,653,2712,75,22,16559,439
144,T_1409,30593,12330,83,818,23,26,2579,927,118,5569,8,0,2049,19
145,T_1410,26513,13261,78,711,24,30,4116,855,128,5322,7,10,1866,24
146,T_1411,37346,16697,120,1182,20,48,5992,1465,134,4693,6,7,2857,28
147,T_1412,108641,56105,713,4603,147,82,21338,1455,779,7985,39,29,18141,77
148,T_1413,58064,24551,208,2316,21,80,7669,1254,212,6609,18,10,5935,48
149,T_1414,59659,27615,329,2891,33,57,10812,530,398,3457,16,12,8843,30
150,T_1415,64218,28255,146,1035,31,71,11391,2631,215,7577,22,15,4804,56
151,T_1416,59636,27413,233,1535,25,44,12138,1222,206,6821,20,11,4899,74
152,T_1417,89270,51640,618,3115,79,65,22224,880,938,4094,38,24,19183,58
153,T_1418,107034,60387,764,4645,67,74,20999,790,987,4043,19,22,27517,62
154,T_1419,81762,33148,292,2183,43,61,11070,1662,247,10840,26,18,6358,56
155,T_1420,70065,27920,204,2248,24,52,10218,1074,232,7040,11,17,6558,50
156,T_1421,113732,67775,895,5040,103,82,25659,628,1213,3489,40,23,30103,90
157,T_1422,42025,18320,167,1350,25,53,6565,1185,137,4816,9,15,3848,30
158,T_1423,35593,17734,133,879,23,30,5817,829,162,7312,11,27,2337,17
159,T_1424,39492,17805,126,1231,17,31,6707,1691,166,3793,9,6,3875,24
160,T_1425,110645,50804,384,2917,77,119,19926,1659,494,13615,19,32,11072,72
161,T_1426,61538,31117,205,1299,66,72,11138,1857,268,11717,30,8,4199,32
162,T_1427,42239,17778,120,1485,22,61,5661,783,146,5530,6,5,3826,28
163,T_1428,65834,29280,324,2516,45,54,11356,752,312,5273,17,15,8373,36
164,T_1429,46858,24561,191,1381,57,55,8756,1853,231,7747,14,9,4015,51
165,T_1430,31871,14235,122,928,26,48,5055,429,128,4399,8,9,2949,28
166,T_1432,74995,42104,498,2716,51,44,16182,481,745,3270,11,18,17804,31
167,T_1433,54636,26247,259,1540,57,64,10043,1581,208,7367,18,11,4797,45
168,T_1434,150743,83360,831,4611,125,122,39890,1251,1233,6794,38,33,27840,91
169,T_1435,55119,26739,210,1457,40,48,11712,2640,254,4274,10,15,5835,20
170,T_1436,29430,13651,98,723,25,29,3556,778,143,6077,4,11,2093,9
171,T_1437,32167,13324,75,1204,11,22,3907,886,88,4192,4,5,2788,19
172,T_1438,58973,27866,378,2691,37,44,10409,444,377,3566,24,22,9627,44
173,T_1461,42748,21609,286,2195,49,61,9586,536,305,1676,11,6,6738,38
174,T_1462,102116,53129,771,7103,54,95,19182,616,790,4712,35,22,19302,94
175,T_1463,180597,97031,1144,10615,153,219,40146,1012,1766,7927,54,60,33180,95
176,T_1464,59935,32866,522,4113,68,70,12856,680,700,3487,63,17,10034,50
177,T_1465,1352256,859394,13297,101630,1175,983,275968,5494,17219,24224,369,299,412903,709
178,T_1499,74115,52975,694,3392,82,29,20578,244,799,936,58,18,25699,88
179,T_1601,73185,33660,357,3168,43,82,10532,430,519,5583,26,18,12628,53
180,T_1602,40145,17550,146,1223,27,40,5033,295,162,3905,14,8,6520,35
181,T_1603,81070,32718,472,3216,43,105,7598,231,639,3433,30,22,16658,59
182,T_1604,55647,22444,253,1802,33,57,6278,373,286,4012,12,19,9144,39
183,T_1605,54092,17549,227,1251,24,49,3322,144,282,2112,17,11,9949,41
184,T_1606,34521,16289,193,1442,21,43,4340,433,202,3717,6,18,5714,26
185,T_1607,118254,53021,538,4576,53,176,15494,830,756,10183,28,30,19920,84
186,T_1608,54556,19941,229,2007,37,67,4198,463,211,4489,18,19,7974,46
187,T_1609,106443,35701,472,2327,46,77,7990,341,583,4446,32,27,19002,75
188,T_1610,47613,19652,244,1505,23,47,5605,244,245,3727,21,15,7812,28
189,T_1611,65081,22066,264,1693,30,74,5293,215,263,2966,21,20,10966,66
190,T_1661,99879,51891,949,7521,57,119,12354,282,1212,2068,15,31,26956,65
191,T_1801,17636,7082,72,666,13,13,2493,199,81,1248,5,4,2217,14
192,T_1802,50194,23783,136,901,16,67,12787,500,215,4736,17,17,4197,31
193,T_1803,101974,52489,378,2843,69,113,26920,1022,553,8726,22,21,11380,63
194,T_1804,94579,48369,306,2396,43,93,23067,2079,394,9979,28,33,9606,69
195,T_1805,90208,43551,327,2440,38,109,20815,1116,519,8249,25,21,9511,80
196,T_1806,46670,22252,166,927,21,39,12365,742,172,3911,20,12,3712,30
197,T_1807,84888,41840,337,2301,36,89,20997,862,448,7269,28,18,9115,72
198,T_1808,53385,26851,186,1066,27,52,14813,682,261,4805,12,17,4707,31
199,T_1809,45406,21619,168,1346,41,52,7561,972,175,6750,14,8,4299,49
200,T_1810,59294,32097,193,1315,48,80,19431,925,327,3673,19,16,5823,34
201,T_1811,103078,51250,420,3532,71,127,23566,1647,582,9323,25,22,11625,46
202,T_1812,51651,22884,190,1090,47,53,11593,677,267,4217,29,25,4492,31
203,T_1813,54986,25648,139,1156,34,53,11598,618,152,6186,21,21,5349,64
204,T_1814,60776,29848,192,1518,42,68,14306,1300,272,7342,14,11,4551,48
205,T_1815,53849,28761,161,1025,18,67,16049,845,231,5869,15,20,4250,26
206,T_1816,131756,72860,492,2842,89,123,42928,1510,750,9371,36,35,14187,86
207,T_1817,75194,33402,346,2902,48,76,13752,744,414,5507,31,18,9275,74
208,T_1818,87469,40708,418,3279,76,104,19939,610,632,4455,27,25,10847,56
209,T_1819,47525,23400,162,1070,31,63,12077,788,248,4287,20,8,4481,41
210,T_1820,42607,19720,170,1196,26,35,8331,423,218,4363,13,22,4722,36
211,T_1821,21955,10049,95,723,16,30,3997,207,116,1766,8,7,2997,13
212,T_1861,38694,20041,222,2077,18,45,8774,231,396,1595,10,10,6536,25
213,T_1862,53663,26265,280,3024,30,56,12220,166,314,1730,16,27,8221,28
214,T_1863,122212,70653,943,8630,96,112,32138,615,1548,2733,20,26,23373,48
215,T_1864,39108,19019,251,2385,20,24,7023,231,303,1999,16,17,6641,14
216,T_2001,46704,20877,211,1347,26,42,7343,661,212,5345,17,3,5521,26
217,T_2002,109590,51346,508,3291,69,96,24346,835,632,8644,25,29,12444,66
218,T_2003,49191,21892,138,2037,32,38,8417,497,142,6825,10,15,3559,23
219,T_2004,39152,15776,137,1022,20,55,5908,643,148,4080,9,11,3575,39
220,T_2005,42057,16551,170,2413,29,28,1789,263,149,7896,15,5,3611,39
221,T_2006,31314,12799,72,588,22,31,4760,820,91,4088,104,1,2097,17
222,T_2007,39553,17023,74,475,23,27,7910,862,93,5119,113,5,2111,53
223,T_2008,34540,13879,98,665,17,25,5166,539,143,4491,177,13,2392,53
224,T_2009,17134,6730,59,506,5,17,1522,224,56,2902,10,5,1362,14
225,T_2010,40087,16425,99,1289,25,28,5766,589,115,5488,9,7,2882,30
226,T_2011,59241,24460,187,1576,31,50,9045,780,206,7059,20,10,5322,30
227,T_2012,27191,11595,94,522,23,27,3476,499,94,4770,12,8,1986,17
228,T_2013,47934,23872,122,890,40,44,13164,1083,147,5167,15,11,2981,28
229,T_2014,36175,16099,139,1013,15,38,7307,622,163,3362,3,7,3285,28
230,T_2061,224434,118918,1634,14339,138,196,46318,966,2293,8159,46,35,43922,111
231,T_2062,48997,23362,251,2262,21,35,11041,303,350,1884,10,10,7026,28
232,T_2063,52356,24661,398,2551,69,46,9139,263,340,3650,13,15,8004,44
233,T_2201,57758,26715,242,2079,39,60,6996,302,236,5459,12,10,11031,55
234,T_2202,70322,36725,416,3302,25,95,11099,422,354,7088,18,18,13550,47
235,T_2203,45518,20327,238,2410,34,58,3449,400,186,5227,13,15,8073,43
236,T_2204,63107,31670,307,2283,27,46,9254,280,408,2562,8,14,16242,46
237,T_2205,76513,44508,311,1641,36,91,16647,337,318,5597,31,26,19119,46
238,T_2206,50552,27272,229,1627,30,49,9246,344,192,3931,18,21,11358,34
239,T_2207,62505,26674,295,2588,31,63,6793,303,257,4598,16,14,11506,51
240,T_2208,49135,23679,247,2775,32,59,6597,215,278,3123,13,18,10094,35
241,T_2209,50219,22879,310,2607,27,45,5687,382,324,3278,11,18,10007,38
242,T_2210,28162,11686,125,1010,25,23,2766,229,129,2226,9,9,5010,28
243,T_2211,56044,30902,253,1878,35,76,7751,215,337,3087,12,21,16909,43
244,T_2212,72607,28592,357,3122,38,77,6110,465,318,6131,15,17,11635,50
245,T_2213,92494,46035,500,3379,46,114,15169,554,396,7283,47,20,18114,99
246,T_2214,86451,42191,495,3513,37,87,12905,453,442,4816,21,23,19092,59
247,T_2215,134026,75489,738,4794,74,149,24189,464,789,6031,45,33,37629,72
248,T_2216,33877,13940,169,1281,16,40,3096,241,135,2915,8,12,5851,44
249,T_2261,365236,224113,2400,17991,173,282,67700,831,3368,6517,74,68,123196,163
250,T_2262,200564,123178,1543,12696,114,184,34609,418,2101,3804,26,64,66868,98
251,T_2263,78223,40208,540,6175,43,90,11205,261,556,3732,14,22,17300,50
252,T_2264,33782,21640,242,1774,15,17,6404,67,302,421,5,11,12277,10
253,T_2299,211,210,0,11,0,0,77,0,12,4,1,0,103,0
254,T_2401,126745,58752,999,10421,98,153,15188,596,1035,6800,36,53,22799,136
255,T_2402,116888,65008,700,5806,51,156,26651,695,814,4661,36,46,24909,93
256,T_2403,134749,68498,1009,9457,74,234,20231,838,908,6881,121,46,28138,134
257,T_2404,106417,47631,621,4579,87,143,13429,1184,564,12878,27,37,13495,121
258,T_2405,92379,41095,553,3676,33,105,13809,325,461,4010,34,25,17698,71
259,T_2406,67422,29990,339,3129,49,65,9303,787,383,7784,25,17,7764,70
260,T_2407,60773,28094,324,1939,26,54,9367,287,327,3824,19,28,11604,58
261,T_2408,71640,38557,564,2924,29,97,14100,542,522,2942,71,41,16417,52
262,T_2409,58159,25253,316,2607,37,75,7338,434,406,5828,13,14,7933,45
263,T_2410,80485,43832,471,3173,28,87,18399,505,517,3954,36,25,16321,68
264,T_2411,90810,35814,392,3123,41,100,9040,276,445,4172,37,28,17846,66
265,T_2412,57629,28963,326,2279,21,96,11720,251,273,3231,18,20,10481,40
266,T_2413,112581,54270,719,4564,48,147,17734,365,726,4258,42,39,25197,80
267,T_2414,43463,22765,243,1504,13,66,10776,178,270,1980,15,17,7527,34
268,T_2415,123676,62213,782,6230,55,190,23857,499,675,6392,58,46,22958,126
269,T_2416,103368,46846,615,6526,68,142,12206,1029,686,10591,17,26,14460,103
270,T_2417,117029,60785,534,4070,50,145,26796,774,596,6413,29,28,20843,78
271,T_2461,141428,80768,1071,8795,60,189,29363,450,1301,3773,41,33,35182,74
272,T_2462,152742,65396,1024,7577,61,145,19769,336,873,4814,38,48,30143,104
273,T_2463,92701,43442,733,5076,43,79,11091,172,648,2618,17,23,22646,77
274,T_2464,200214,104357,1621,13735,160,182,35060,705,2049,6886,55,83,42931,133
275,T_2465,106273,49773,838,9111,58,124,13225,363,1019,4941,20,40,19545,118
276,T_2466,159455,80427,1379,9857,71,166,21965,458,1318,4734,47,51,39785,115
277,T_2467,75980,38374,449,4701,45,111,16707,255,497,3355,23,18,11937,57
278,T_2468,76814,37285,599,5356,28,65,12188,272,592,3089,23,31,14701,69
279,T_2469,260109,141955,2224,17648,126,276,41594,1027,2450,6668,128,126,68648,202
280,T_2470,60546,31414,503,3628,29,38,11503,154,445,2362,18,27,12486,47
281,T_2471,48326,23705,359,2003,24,57,9326,119,281,1490,13,21,9792,42
282,T_2472,117036,57016,712,6340,47,139,20547,252,662,4184,34,67,23495,96
283,T_2473,111879,57291,773,5571,39,164,19911,367,723,4916,36,34,24377,89
284,T_2474,59606,28765,472,3304,24,43,7943,136,438,1883,13,32,14236,49
285,T_2475,189522,91706,1580,18154,120,203,25184,517,1714,8073,39,46,35330,154
286,T_2476,44672,19204,292,2074,21,52,5432,83,308,1317,7,20,9399,47
287,T_2477,106480,58647,868,6447,39,122,19696,327,1016,3327,37,43,26274,69
288,T_2478,151900,61711,1041,7594,63,148,17514,345,890,5246,35,44,28276,103
289,T_2479,49885,25089,368,2773,15,54,9171,200,354,2310,17,18,9631,51
290,T_2601,62176,26902,196,2264,38,51,6612,1613,223,10133,21,19,5496,33
291,T_2602,72117,30847,248,2440,43,89,7908,1427,316,12073,20,19,5976,55
292,T_2603,29959,10525,78,780,14,14,2545,728,66,4542,6,1,1677,11
293,T_2604,151710,66051,571,4704,82,158,22782,2261,666,19337,43,56,14792,84
294,T_2605,70245,31619,304,3068,63,68,10068,726,336,9175,20,35,7449,46
295,T_2606,45998,18257,116,1443,42,46,4101,1201,174,8129,13,9,2774,30
296,T_2607,96876,40066,370,5583,70,137,10842,975,561,9582,28,33,11538,84
297,T_2608,35094,14950,140,1489,41,29,2796,637,109,6713,14,0,2823,20
298,T_2609,66372,28906,242,2690,32,61,8619,1811,305,9117,10,14,5760,18
299,T_2610,67484,30914,309,4091,56,109,10481,432,579,4367,21,14,10199,58
300,T_2611,77656,34163,346,4011,53,114,10775,830,522,7383,28,29,9776,61
301,T_2612,59536,24614,181,2043,33,52,7635,1019,217,8133,13,18,5038,37
302,T_2613,37693,17346,151,1263,17,41,4488,688,174,7005,8,10,3317,31
303,T_2661,167084,92072,1332,15303,139,153,30918,1001,1729,6689,51,39,34100,100
304,T_2801,51272,21151,309,2424,26,67,4662,374,237,5468,13,11,7293,34
305,T_2802,34836,14104,223,1660,23,42,2925,239,170,3694,8,3,4987,34
306,T_2803,51331,22275,260,2132,24,66,6426,520,164,5238,15,19,7178,77
307,T_2804,44044,16700,219,1457,14,25,4000,339,156,4568,16,11,5748,37
308,T_2805,64949,25904,317,2284,40,78,8244,428,328,4687,20,20,9156,48
309,T_2806,45780,19230,258,2084,19,54,4374,401,282,3503,16,7,7825,26
310,T_2807,70936,32648,479,3341,34,92,8185,736,330,7826,18,23,11254,80
311,T_2808,54680,22088,295,2426,22,78,4896,374,278,4756,9,13,8662,57
312,T_2809,34294,14515,204,1498,27,37,3541,218,157,3399,5,7,5285,29
313,T_2810,39939,17191,228,1747,26,45,4273,552,192,2573,120,10,7169,51
314,T_2811,26805,11061,108,1123,8,34,3211,288,108,2641,4,4,3329,29
315,T_2812,33207,15350,142,1204,18,50,3893,403,95,5024,12,10,4317,34
316,T_2813,26726,10640,133,959,17,41,3145,229,159,2740,6,8,3044,37
317,T_2814,88420,36797,745,3599,38,112,9236,613,495,6203,31,20,15170,109
318,T_2815,83877,34966,543,4184,43,104,8363,527,402,6538,28,23,13892,70
319,T_2816,44865,19174,206,1508,17,69,5659,427,177,3951,17,9,6819,41
320,T_2817,54842,23429,297,2323,22,83,6108,687,203,4497,19,29,8825,44
321,T_2818,21344,7479,82,767,17,11,1909,163,53,1626,10,4,2715,20
322,T_2819,19510,7424,107,836,6,27,1433,142,71,1908,8,3,2781,22
323,T_2861,99990,50885,771,6476,65,96,14812,320,847,4832,16,24,22173,77
324,T_2862,134091,76018,1700,11232,45,140,21923,551,1412,3995,39,27,34108,84
325,T_3001,36660,19039,236,3298,26,39,3898,368,193,3054,12,10,7709,34
326,T_3002,67353,33138,417,4926,54,83,7927,564,294,5286,19,23,13213,65
327,T_3003,110397,56628,737,8297,56,146,15542,1249,628,10101,35,28,19276,128
328,T_3004,58335,27378,364,3281,30,80,6597,826,269,7338,17,26,8286,70
329,T_3005,37152,17525,233,1804,11,39,4190,504,172,4368,13,16,5992,47
330,T_3006,54958,26763,349,3299,39,91,6947,601,325,6169,14,26,8600,55
331,T_3007,62231,27966,220,1881,28,80,7376,1225,227,11359,16,20,5295,56
332,T_3008,42683,21083,241,1801,24,65,5862,609,186,4704,16,14,7341,43
333,T_3009,70852,32098,281,2919,39,76,8980,998,264,11320,13,22,6915,43
