,teryt_code,eligible_voters,issued_ballots,Bochniarz,Borowski,Bubel,Ilasz,Kaczynski,Kalinowski,KorwinMikke,Lepper,Pyszko,Slomka,Tusk,Tyminski
334,T_3010,93559,41454,387,2940,51,95,12668,1234,331,13866,23,21,9422,73
335,T_3011,60306,29478,439,3371,25,80,7093,722,381,6407,34,16,10534,78
336,T_3012,59517,30165,382,3154,25,94,7338,1266,290,7884,23,16,9396,62
337,T_3013,37601,18103,240,1927,16,54,4016,511,207,4583,21,10,6288,56
338,T_3014,28134,12233,208,1752,19,51,2525,407,155,2404,6,17,4529,36
339,T_3015,54961,27157,365,2958,34,98,6507,681,262,4761,17,15,11190,68
340,T_3016,43193,20933,340,3202,22,54,5361,419,218,3253,15,15,7825,52
341,T_3017,124258,63535,786,6943,65,183,18275,1395,780,13304,50,38,21181,119
342,T_3018,41737,19112,210,1954,26,63,4869,779,206,5322,10,15,5406,54
343,T_3019,105896,56992,722,9774,68,127,13918,813,583,8456,33,34,21983,108
344,T_3020,48135,22215,258,2179,26,57,5278,847,178,6106,26,20,6987,59
345,T_3021,217387,116232,1749,11451,91,199,30505,1526,1762,10020,72,59,57860,172
346,T_3022,46764,21898,368,2842,22,71,4642,795,266,5178,20,23,7398,61
347,T_3023,46305,20864,214,2234,38,56,5556,725,186,5846,14,17,5760,35
348,T_3024,68206,31996,430,4299,46,80,7699,648,262,5007,15,24,13128,60
349,T_3025,42244,20602,328,2592,26,75,4850,516,342,4490,15,7,7151,43
350,T_3026,45442,22348,336,3235,25,84,5439,506,277,4073,24,7,8111,49
351,T_3027,65271,31219,298,2904,41,78,9074,790,306,9799,16,29,7607,62
352,T_3028,52101,25411,294,4051,24,62,5978,896,229,5943,12,14,7691,51
353,T_3029,41679,20854,361,2304,25,65,4459,751,276,4670,15,16,7657,43
354,T_3030,57791,30183,407,3989,38,71,7167,815,603,6988,17,13,9826,52
355,T_3031,53341,25724,226,3801,27,50,6069,462,239,5266,17,10,9324,39
356,T_3061,86780,45960,648,6971,56,96,13369,336,757,4273,32,14,19076,58
357,T_3062,64740,35192,492,5448,27,63,10707,645,489,3462,160,17,13459,38
358,T_3063,50531,27570,424,4388,32,73,6274,174,470,1886,28,5,13629,23
359,T_3064,450736,267829,4219,33974,241,359,68165,1164,4713,9806,95,600,142697,274
360,T_3201,37903,15529,195,1935,15,32,3274,164,125,3568,8,17,6024,32
361,T_3202,40277,15320,209,1822,18,52,3076,298,154,4094,3,10,5435,40
362,T_3203,47334,20135,229,2516,12,55,4083,225,230,5071,10,13,7482,49
363,T_3204,62647,27068,386,3229,30,60,5640,449,391,4935,26,19,11596,75
364,T_3205,48635,20312,288,2587,18,41,4018,283,198,4346,14,13,8278,45
365,T_3206,64980,27441,383,2840,29,68,6502,331,561,5751,5,20,10658,56
366,T_3207,38964,16372,215,2192,24,38,3449,188,215,2794,6,11,7098,29
367,T_3208,61273,28447,472,3964,28,68,6457,284,388,4014,13,13,12517,41
368,T_3209,49288,20314,311,1996,31,55,4337,281,220,4969,16,22,7852,49
369,T_3210,53303,22804,277,2417,41,63,5166,314,235,4853,19,14,9164,36
370,T_3211,47725,23429,436,2715,22,54,5612,132,421,1986,12,11,11829,43
371,T_3212,31971,13582,206,1388,17,26,3064,290,143,3852,6,9,4426,36
372,T_3213,45266,19105,267,1906,22,38,3672,263,196,6779,7,8,5782,32
373,T_3214,94518,43491,662,5412,51,78,10183,502,654,7556,22,30,17955,90
374,T_3215,61726,26869,351,3140,29,49,6222,309,317,5222,11,19,10925,63
375,T_3216,39496,16521,229,2008,33,41,3213,249,164,4379,7,9,6015,40
376,T_3217,43237,19218,238,3303,26,32,3693,259,256,3483,15,10,7730,39
377,T_3218,30433,11996,132,1486,18,41,2167,195,152,3242,11,9,4395,30
378,T_3261,87704,46495,933,7799,40,104,10984,304,615,5240,25,22,20157,51
379,T_3262,324801,178591,3130,24647,248,312,49788,1325,3539,11209,159,76,82871,215
380,T_3263,33892,16375,218,2733,12,36,4259,81,300,959,6,9,7656,21
381,T_3299,44,44,0,3,0,0,14,0,6,5,0,0,15,0
